Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,427997,195779,LotusPICK,bo1,0.91,174,14,11,2,1.27,74%,120,29%,2,4
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,427997,195779,LotusPICK,bo1,1.23,238,15,15,5,1.0,74%,174,22%,1,2
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,427997,195779,LotusPICK,bo1,0.87,167,10,16,11,0.62,58%,111,12%,2,2
neT,C9,https://www.vlr.gg/player/6582/net,Americas,427997,195779,LotusPICK,bo1,0.74,186,12,16,1,0.75,53%,124,39%,0,1
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,427997,195779,LotusPICK,bo1,0.54,112,7,15,6,0.47,63%,67,20%,2,1
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,427997,195779,LotusPICK,bo1,0.42,141,9,17,1,0.53,53%,94,36%,1,7
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,427997,195780,AbyssPICK,bo1,1.53,246,18,11,17,1.64,90%,148,30%,3,1
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,427997,195780,AbyssPICK,bo1,1.49,271,22,12,3,1.83,62%,168,28%,5,2
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,427997,195780,AbyssPICK,bo1,1.43,210,17,8,3,2.12,76%,157,50%,1,1
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,427997,195780,AbyssPICK,bo1,0.93,155,10,14,9,0.71,76%,99,19%,0,1
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Americas,427997,195780,AbyssPICK,bo1,0.89,177,13,15,9,0.87,67%,135,22%,4,3
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,427997,195780,AbyssPICK,bo1,1.00,237,19,17,2,1.12,57%,166,20%,4,4
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,427997,195780,AbyssPICK,bo1,0.96,168,12,13,8,0.92,67%,117,24%,0,0
neT,C9,https://www.vlr.gg/player/6582/net,Americas,427997,195780,AbyssPICK,bo1,0.74,171,13,16,3,0.81,52%,108,48%,2,6
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,427997,195780,AbyssPICK,bo1,0.70,173,10,18,12,0.56,57%,104,27%,1,2
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,427997,195780,AbyssPICK,bo1,0.46,107,6,16,6,0.38,62%,76,18%,1,1
heat,FUR,https://www.vlr.gg/player/8673/heat,Americas,428003,195799,AbyssPICK,bo1,1.17,222,16,12,1,1.33,75%,144,59%,4,0
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Americas,428003,195799,AbyssPICK,bo1,1.02,206,15,15,6,1.0,75%,124,35%,3,0
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Americas,428003,195799,AbyssPICK,bo1,0.90,149,9,13,7,0.69,65%,128,34%,0,1
havoc,FUR,https://www.vlr.gg/player/8706/havoc,Americas,428003,195799,AbyssPICK,bo1,0.60,177,13,17,2,0.76,55%,106,26%,3,4
raafa,FUR,https://www.vlr.gg/player/25743/raafa,Americas,428003,195799,AbyssPICK,bo1,0.40,126,6,18,8,0.33,50%,91,30%,1,4
Derrek,EG,https://www.vlr.gg/player/1533/derrek,Americas,428003,195799,AbyssPICK,bo1,1.47,260,20,12,4,1.67,90%,166,37%,1,3
icy,EG,https://www.vlr.gg/player/8402/icy,Americas,428003,195799,AbyssPICK,bo1,1.26,281,19,13,6,1.46,70%,175,21%,4,6
yay,EG,https://www.vlr.gg/player/881/yay,Americas,428003,195799,AbyssPICK,bo1,1.23,188,14,10,4,1.4,80%,115,36%,3,0
NaturE,EG,https://www.vlr.gg/player/4927/nature,Americas,428003,195799,AbyssPICK,bo1,1.06,153,11,10,5,1.1,70%,112,32%,0,2
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,428003,195799,AbyssPICK,bo1,0.76,159,11,14,5,0.79,80%,100,46%,1,0
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Americas,428003,195800,FracturePICK,bo1,1.41,264,19,14,6,1.36,85%,184,37%,1,0
havoc,FUR,https://www.vlr.gg/player/8706/havoc,Americas,428003,195800,FracturePICK,bo1,0.92,230,15,16,5,0.94,70%,163,20%,2,4
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Americas,428003,195800,FracturePICK,bo1,0.76,141,10,14,6,0.71,65%,80,19%,3,3
heat,FUR,https://www.vlr.gg/player/8673/heat,Americas,428003,195800,FracturePICK,bo1,0.73,156,11,15,4,0.73,70%,108,33%,0,2
raafa,FUR,https://www.vlr.gg/player/25743/raafa,Americas,428003,195800,FracturePICK,bo1,0.66,174,12,16,3,0.75,55%,105,24%,1,4
NaturE,EG,https://www.vlr.gg/player/4927/nature,Americas,428003,195800,FracturePICK,bo1,1.42,215,18,11,8,1.64,75%,139,22%,0,0
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,428003,195800,FracturePICK,bo1,1.21,204,13,11,13,1.18,80%,151,47%,4,2
yay,EG,https://www.vlr.gg/player/881/yay,Americas,428003,195800,FracturePICK,bo1,1.16,216,14,13,8,1.08,80%,150,21%,5,0
icy,EG,https://www.vlr.gg/player/8402/icy,Americas,428003,195800,FracturePICK,bo1,1.16,270,19,17,3,1.12,80%,180,26%,4,2
Derrek,EG,https://www.vlr.gg/player/1533/derrek,Americas,428003,195800,FracturePICK,bo1,0.71,149,11,15,7,0.73,70%,97,36%,0,3
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,428004,195802,LotusPICK,bo1,1.68,243,21,8,10,2.62,90%,170,44%,1,0
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,428004,195802,LotusPICK,bo1,1.44,329,24,15,4,1.6,80%,206,29%,8,4
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,428004,195802,LotusPICK,bo1,1.17,192,12,12,17,1.0,80%,117,16%,3,2
neT,C9,https://www.vlr.gg/player/6582/net,Americas,428004,195802,LotusPICK,bo1,0.94,157,11,12,11,0.92,80%,106,32%,1,0
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,428004,195802,LotusPICK,bo1,0.72,127,9,12,5,0.75,75%,92,18%,1,0
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,428004,195802,LotusPICK,bo1,0.96,218,15,16,3,0.94,65%,165,27%,1,4
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,428004,195802,LotusPICK,bo1,0.96,229,15,16,6,0.94,55%,135,25%,4,7
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,428004,195802,LotusPICK,bo1,0.93,188,13,14,6,0.93,70%,125,21%,0,1
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,428004,195802,LotusPICK,bo1,0.81,132,9,14,6,0.64,60%,80,24%,0,0
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,428004,195802,LotusPICK,bo1,0.46,113,7,17,7,0.41,55%,85,36%,1,2
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,428004,195803,AbyssPICK,bo1,1.12,288,23,19,2,1.21,65%,177,27%,6,4
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,428004,195803,AbyssPICK,bo1,0.97,172,14,16,8,0.88,70%,119,18%,1,1
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,428004,195803,AbyssPICK,bo1,0.86,153,12,17,8,0.71,74%,104,43%,1,0
neT,C9,https://www.vlr.gg/player/6582/net,Americas,428004,195803,AbyssPICK,bo1,0.63,159,14,19,8,0.74,61%,92,80%,1,3
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,428004,195803,AbyssPICK,bo1,0.50,136,9,18,13,0.5,57%,82,16%,0,5
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,428004,195803,AbyssPICK,bo1,1.67,280,25,10,2,2.5,87%,180,19%,5,2
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,428004,195803,AbyssPICK,bo1,1.34,206,19,12,11,1.58,83%,133,47%,1,0
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,428004,195803,AbyssPICK,bo1,0.98,229,19,19,3,1.0,87%,160,51%,4,3
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,428004,195803,AbyssPICK,bo1,0.82,153,11,16,13,0.69,78%,99,17%,1,2
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,428004,195803,AbyssPICK,bo1,0.82,137,10,15,9,0.67,70%,103,29%,2,2
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,428004,195804,Pearl,bo1,1.35,255,18,13,8,1.38,75%,158,23%,2,1
neT,C9,https://www.vlr.gg/player/6582/net,Americas,428004,195804,Pearl,bo1,1.00,228,15,15,3,1.0,70%,154,47%,6,1
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,428004,195804,Pearl,bo1,0.59,158,11,17,3,0.65,70%,108,27%,1,3
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,428004,195804,Pearl,bo1,0.53,145,10,17,5,0.59,55%,103,30%,1,4
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,428004,195804,Pearl,bo1,0.45,84,5,16,4,0.31,50%,61,21%,0,1
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,428004,195804,Pearl,bo1,1.65,262,18,9,9,2.0,85%,191,26%,1,0
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,428004,195804,Pearl,bo1,1.34,186,15,9,10,1.67,80%,129,19%,0,1
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,428004,195804,Pearl,bo1,1.32,258,19,15,9,1.27,75%,150,19%,3,1
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,428004,195804,Pearl,bo1,1.11,241,17,14,5,1.21,70%,151,18%,5,7
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,428004,195804,Pearl,bo1,0.73,119,9,12,1,0.75,70%,80,23%,1,1
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,428006,195808,AbyssPICK,bo1,1.58,328,18,8,4,2.25,88%,209,27%,5,2
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,428006,195808,AbyssPICK,bo1,1.41,264,16,8,4,2.0,88%,158,44%,3,2
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,428006,195808,AbyssPICK,bo1,1.25,202,11,8,10,1.38,88%,119,18%,1,1
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,428006,195808,AbyssPICK,bo1,1.09,196,12,9,2,1.33,75%,130,35%,2,0
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,428006,195808,AbyssPICK,bo1,1.00,145,8,7,6,1.14,75%,96,29%,0,0
gobera,2G,https://www.vlr.gg/player/14950/gobera,Americas,428006,195808,AbyssPICK,bo1,1.27,241,13,12,3,1.08,69%,143,34%,2,0
pryze,2G,https://www.vlr.gg/player/662/pryze,Americas,428006,195808,AbyssPICK,bo1,0.62,133,6,12,4,0.5,63%,97,19%,1,1
lz,2G,https://www.vlr.gg/player/6195/lz,Americas,428006,195808,AbyssPICK,bo1,0.58,152,9,14,2,0.64,56%,96,37%,0,6
silentzz,2G,https://www.vlr.gg/player/11921/silentzz,Americas,428006,195808,AbyssPICK,bo1,0.44,127,7,14,2,0.5,56%,78,58%,0,2
Zap,2G,https://www.vlr.gg/player/3169/zap,Americas,428006,195808,AbyssPICK,bo1,0.39,86,5,13,1,0.38,44%,59,27%,2,2
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,428006,195809,SplitPICK,bo1,1.52,217,12,6,5,2.0,87%,158,39%,1,1
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,428006,195809,SplitPICK,bo1,1.42,262,15,8,3,1.88,80%,162,21%,1,1
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,428006,195809,SplitPICK,bo1,1.22,231,12,10,12,1.2,80%,169,30%,1,2
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,428006,195809,SplitPICK,bo1,1.22,257,14,11,7,1.27,80%,152,34%,2,4
