Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
neT,C9,https://www.vlr.gg/player/6582/net,Americas,459517,206933,LotusPICK,bo1,1.06,227,16,16,2,1.0,63%,139,42%,2,1
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,459517,206933,LotusPICK,bo1,0.78,164,11,15,2,0.73,63%,110,31%,1,3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,459517,206933,LotusPICK,bo1,0.76,183,11,16,3,0.69,68%,129,30%,2,2
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,459517,206933,LotusPICK,bo1,0.74,152,10,16,3,0.62,58%,109,31%,1,2
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,459517,206933,LotusPICK,bo1,0.44,149,9,18,1,0.5,47%,111,25%,1,4
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,459517,206933,LotusPICK,bo1,1.63,346,24,11,5,2.18,84%,218,32%,4,1
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Americas,459517,206933,LotusPICK,bo1,1.49,237,19,9,7,2.11,84%,148,27%,1,0
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,459517,206933,LotusPICK,bo1,1.27,248,18,14,11,1.29,100%,152,22%,2,1
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,459517,206933,LotusPICK,bo1,1.11,156,10,8,8,1.25,89%,117,13%,0,0
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,459517,206933,LotusPICK,bo1,0.61,172,10,15,5,0.67,63%,107,26%,5,5
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,459517,206934,FracturePICK,bo1,1.81,309,22,9,3,2.44,78%,202,27%,2,2
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,459517,206934,FracturePICK,bo1,1.34,243,16,12,14,1.33,89%,149,20%,0,1
neT,C9,https://www.vlr.gg/player/6582/net,Americas,459517,206934,FracturePICK,bo1,1.07,160,11,9,4,1.22,61%,99,58%,2,2
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,459517,206934,FracturePICK,bo1,1.04,143,10,11,16,0.91,89%,76,11%,2,1
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,459517,206934,FracturePICK,bo1,0.91,254,15,17,5,0.88,78%,169,34%,4,2
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,459517,206934,FracturePICK,bo1,1.09,229,15,14,3,1.07,72%,145,18%,2,1
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,459517,206934,FracturePICK,bo1,0.89,220,14,15,6,0.93,83%,131,22%,2,1
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,459517,206934,FracturePICK,bo1,0.84,169,10,15,16,0.67,78%,113,22%,1,3
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Americas,459517,206934,FracturePICK,bo1,0.61,147,10,16,3,0.62,56%,103,23%,0,1
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,459517,206934,FracturePICK,bo1,0.61,161,9,15,3,0.6,56%,120,20%,3,4
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,459517,206935,Pearl,bo1,1.52,313,24,16,3,1.5,82%,193,23%,4,1
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,459517,206935,Pearl,bo1,1.12,145,12,12,16,1.0,68%,91,35%,2,4
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,459517,206935,Pearl,bo1,1.04,223,17,15,7,1.13,73%,142,30%,2,2
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,459517,206935,Pearl,bo1,1.04,211,18,15,8,1.2,82%,140,23%,3,0
neT,C9,https://www.vlr.gg/player/6582/net,Americas,459517,206935,Pearl,bo1,0.87,143,12,13,5,0.92,68%,101,41%,3,1
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,459517,206935,Pearl,bo1,1.49,257,18,14,16,1.29,86%,167,28%,1,0
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,459517,206935,Pearl,bo1,1.13,264,19,17,8,1.12,68%,172,25%,4,5
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Americas,459517,206935,Pearl,bo1,1.04,166,15,15,4,1.0,73%,110,23%,1,3
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,459517,206935,Pearl,bo1,0.68,179,13,18,1,0.72,73%,131,30%,1,3
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,459517,206935,Pearl,bo1,0.25,99,6,19,3,0.32,32%,67,3%,1,3
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,459518,206936,FracturePICK,bo1,0.86,176,9,13,3,0.69,56%,133,18%,2,1
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,459518,206936,FracturePICK,bo1,0.70,183,11,16,3,0.69,69%,99,13%,2,1
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,459518,206936,FracturePICK,bo1,0.60,172,8,15,5,0.53,63%,112,26%,1,3
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,459518,206936,FracturePICK,bo1,0.56,120,7,14,1,0.5,44%,73,20%,1,0
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,459518,206936,FracturePICK,bo1,0.22,103,5,16,3,0.31,44%,78,21%,0,5
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,459518,206936,FracturePICK,bo1,1.79,290,18,6,7,3.0,88%,203,31%,3,1
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,459518,206936,FracturePICK,bo1,1.53,276,17,9,5,1.89,94%,167,29%,2,0
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,459518,206936,FracturePICK,bo1,1.49,217,11,7,11,1.57,100%,155,29%,2,2
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,459518,206936,FracturePICK,bo1,1.39,243,13,6,12,2.17,100%,158,18%,2,2
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,459518,206936,FracturePICK,bo1,1.17,232,15,12,12,1.25,88%,145,30%,1,1
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,459518,206937,HavenPICK,bo1,1.87,350,20,9,6,2.22,87%,219,25%,6,1
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,459518,206937,HavenPICK,bo1,1.58,253,14,8,10,1.75,100%,175,23%,1,0
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,459518,206937,HavenPICK,bo1,1.56,262,14,6,9,2.33,93%,139,25%,2,1
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,459518,206937,HavenPICK,bo1,1.16,215,14,8,3,1.75,80%,133,17%,1,2
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,459518,206937,HavenPICK,bo1,0.90,134,7,7,3,1.0,93%,87,6%,0,1
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,459518,206937,HavenPICK,bo1,1.10,239,12,13,5,0.92,80%,162,44%,1,0
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,459518,206937,HavenPICK,bo1,0.87,231,11,14,2,0.79,67%,152,24%,3,4
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,459518,206937,HavenPICK,bo1,0.58,131,7,13,2,0.54,60%,100,39%,1,1
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,459518,206937,HavenPICK,bo1,0.27,126,6,14,0,0.43,47%,82,20%,0,3
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,459518,206937,HavenPICK,bo1,0.10,50,2,15,4,0.13,47%,34,27%,0,2
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,459518,206938,Split,bo1,1.38,211,18,12,9,1.5,78%,151,28%,2,1
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,459518,206938,Split,bo1,1.26,285,25,14,2,1.79,78%,167,18%,5,3
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,459518,206938,Split,bo1,1.19,182,14,13,11,1.08,74%,118,26%,1,2
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,459518,206938,Split,bo1,1.15,194,15,15,13,1.0,83%,119,17%,3,0
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,459518,206938,Split,bo1,0.89,221,16,18,7,0.89,74%,159,26%,2,4
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,459518,206938,Split,bo1,0.99,215,16,16,4,1.0,61%,152,19%,2,5
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,459518,206938,Split,bo1,0.77,164,13,17,3,0.76,57%,107,32%,2,2
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,459518,206938,Split,bo1,0.77,186,16,19,4,0.84,61%,121,41%,1,3
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,459518,206938,Split,bo1,0.76,149,11,17,4,0.65,74%,107,38%,1,1
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,459518,206938,Split,bo1,0.73,218,16,19,4,0.84,57%,149,19%,4,2
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,459519,206939,LotusPICK,bo1,1.23,211,17,13,6,1.31,91%,137,29%,2,4
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,459519,206939,LotusPICK,bo1,1.20,257,20,16,8,1.25,78%,156,32%,3,1
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,459519,206939,LotusPICK,bo1,1.05,183,16,15,4,1.07,57%,138,19%,2,3
