Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Anthem,DFM,https://www.vlr.gg/player/6700/anthem,Pacific,167349,113044,IceboxPICK,bo1,0.93,190.0,13,15,3,0.87,65%,121.0,33%,3.0,1.0
xnfri,DFM,https://www.vlr.gg/player/7718/xnfri,Pacific,167349,113044,IceboxPICK,bo1,0.78,200.0,12,17,3,0.71,65%,136.0,16%,1.0,1.0
Reita,DFM,https://www.vlr.gg/player/1003/reita,Pacific,167349,113044,IceboxPICK,bo1,0.77,152.0,10,15,6,0.67,55%,105.0,45%,1.0,5.0
Suggest,DFM,https://www.vlr.gg/player/4559/suggest,Pacific,167349,113044,IceboxPICK,bo1,0.6,159.0,11,18,8,0.61,55%,92.0,22%,1.0,4.0
nukkye,GIA,https://www.vlr.gg/player/3070/nukkye,EMEA,167349,113044,IceboxPICK,bo1,1.38,249.0,20,10,4,2.0,80%,165.0,39%,4.0,2.0
hoody,GIA,https://www.vlr.gg/player/2690/hoody,EMEA,167349,113044,IceboxPICK,bo1,1.3,238.0,17,12,3,1.42,80%,185.0,36%,3.0,1.0
rhyme,GIA,https://www.vlr.gg/player/10/rhyme,EMEA,167349,113044,IceboxPICK,bo1,1.17,198.0,15,13,9,1.15,80%,137.0,37%,2.0,3.0
Cloud,GIA,https://www.vlr.gg/player/4181/cloud,EMEA,167349,113044,IceboxPICK,bo1,1.16,202.0,16,12,4,1.33,85%,146.0,41%,1.0,0.0
Fit1nho,GIA,https://www.vlr.gg/player/292/fit1nho,EMEA,167349,113044,IceboxPICK,bo1,0.85,162.0,10,12,4,0.83,65%,110.0,24%,2.0,2.0
YuChEn,FPX,https://www.vlr.gg/player/4723/yuchen,CN,167351,113049,LotusPICK,bo1,1.1,198.0,12,15,12,0.8,84%,117.0,32%,1.0,2.0
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,167351,113049,LotusPICK,bo1,0.99,256.0,16,17,5,0.94,79%,157.0,36%,0.0,3.0
Yuicaw,FPX,https://www.vlr.gg/player/11218/yuicaw,CN,167351,113049,LotusPICK,bo1,0.86,164.0,11,14,2,0.79,47%,125.0,32%,0.0,6.0
nizhaoTZH,FPX,https://www.vlr.gg/player/4880/nizhaotzh,CN,167351,113049,LotusPICK,bo1,0.64,145.0,10,16,3,0.62,58%,85.0,12%,0.0,2.0
