Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
yay,EG,https://www.vlr.gg/player/881/yay,Americas,427991,all,,1.0,209,35,33,9,1.06,57%,142,29%,8,6,bo3
NaturE,EG,https://www.vlr.gg/player/4927/nature,Americas,427991,all,,0.97,198,33,34,9,0.97,71%,132,24%,5,2,bo3
icy,EG,https://www.vlr.gg/player/8402/icy,Americas,427991,all,,0.95,193,34,35,7,0.97,65%,135,20%,4,8,bo3
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,427991,all,,0.93,162,30,31,14,0.97,69%,95,25%,3,4,bo3
Derrek,EG,https://www.vlr.gg/player/1533/derrek,Americas,427991,all,,0.81,161,25,34,23,0.74,73%,109,31%,3,6,bo3
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,427991,all,,1.26,245,41,30,8,1.37,69%,165,25%,13,6,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,427991,all,,1.22,260,41,35,11,1.17,65%,172,33%,5,8,bo3
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,427991,all,,1.19,191,33,29,27,1.14,76%,134,30%,2,3,bo3
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,427991,all,,0.98,159,28,29,19,0.97,82%,107,37%,2,2,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,427991,all,,0.71,129,24,34,15,0.71,65%,85,29%,4,4,bo3
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,427992,all,,1.16,232,30,29,6,1.03,72%,166,24%,4,5,bo3
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,427992,all,,0.87,167,21,28,8,0.75,54%,111,31%,2,4,bo3
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,427992,all,,0.73,197,25,34,16,0.74,67%,121,28%,3,4,bo3
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,427992,all,,0.57,135,17,33,8,0.52,56%,100,31%,1,8,bo3
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,427992,all,,0.55,113,17,30,3,0.57,46%,79,38%,1,7,bo3
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,427992,all,,1.46,275,38,22,9,1.73,87%,193,21%,6,2,bo3
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,427992,all,,1.41,305,41,24,11,1.71,82%,187,25%,14,4,bo3
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,427992,all,,1.29,193,30,19,14,1.58,77%,132,43%,3,0,bo3
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,427992,all,,1.02,158,24,20,18,1.2,85%,101,33%,0,2,bo3
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,427992,all,,0.87,159,21,25,13,0.84,79%,100,23%,5,3,bo3
gobera,2G,https://www.vlr.gg/player/14950/gobera,Americas,427994,all,,1.21,264,35,30,10,1.17,74%,179,32%,4,3,bo3
lz,2G,https://www.vlr.gg/player/6195/lz,Americas,427994,all,,0.98,200,26,30,13,0.87,66%,134,48%,5,5,bo3
silentzz,2G,https://www.vlr.gg/player/11921/silentzz,Americas,427994,all,,0.86,209,27,34,6,0.79,71%,140,39%,11,6,bo3
pryze,2G,https://www.vlr.gg/player/662/pryze,Americas,427994,all,,0.58,105,13,28,13,0.46,66%,66,20%,0,0,bo3
Zap,2G,https://www.vlr.gg/player/3169/zap,Americas,427994,all,,0.55,145,18,30,6,0.6,71%,103,19%,0,4,bo3
penny,FUR,https://www.vlr.gg/player/7716/penny,Americas,427994,all,,1.37,266,37,22,8,1.68,82%,166,24%,7,4,bo3
bdog,FUR,https://www.vlr.gg/player/844/bdog,Americas,427994,all,,1.28,213,28,21,21,1.33,79%,126,35%,2,0,bo3
jakee,FUR,https://www.vlr.gg/player/8742/jakee,Americas,427994,all,,1.16,221,29,25,18,1.16,82%,142,25%,1,4,bo3
stellar,FUR,https://www.vlr.gg/player/733/stellar,Americas,427994,all,,1.08,205,29,24,11,1.21,76%,143,19%,4,6,bo3
Add3r,FUR,https://www.vlr.gg/player/4931/add3r,Americas,427994,all,,0.89,195,28,28,3,1.0,66%,126,33%,4,6,bo3
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,427993,all,,1.35,277,49,35,22,1.4,82%,167,26%,9,4,bo3
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,427993,all,,1.06,235,41,39,9,1.05,67%,153,24%,10,12,bo3
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,427993,all,,1.05,183,30,28,23,1.07,73%,118,29%,1,2,bo3
Verno,NRG,https://www.vlr.gg/player/21668/verno,Americas,427993,all,,0.92,174,31,31,8,1.0,80%,113,35%,5,2,bo3
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,427993,all,,0.76,162,27,37,12,0.73,71%,115,27%,0,3,bo3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,427993,all,,1.21,296,54,42,11,1.29,78%,179,17%,8,5,bo3
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,427993,all,,1.03,185,30,31,20,0.97,71%,119,18%,5,5,bo3
neT,C9,https://www.vlr.gg/player/6582/net,Americas,427993,all,,0.9,161,30,32,9,0.94,78%,116,27%,3,4,bo3
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,427993,all,,0.82,207,33,42,16,0.79,73%,135,17%,5,10,bo3
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,427993,all,,0.79,137,23,32,17,0.72,73%,92,27%,3,2,bo3
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,427995,all,,1.16,222,37,28,6,1.32,74%,141,25%,8,8,bo3
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,427995,all,,1.15,197,31,28,9,1.11,74%,125,37%,3,1,bo3
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,427995,all,,0.78,142,19,28,12,0.68,65%,92,33%,4,3,bo3
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,427995,all,,0.68,131,20,33,6,0.61,63%,97,27%,3,2,bo3
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,427995,all,,0.65,168,25,35,10,0.71,60%,117,30%,4,7,bo3
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,427995,all,,1.25,232,37,23,6,1.61,74%,145,20%,7,6,bo3
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,427995,all,,1.08,187,29,24,5,1.21,74%,119,46%,4,4,bo3
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,427995,all,,1.03,178,29,27,15,1.07,79%,122,37%,2,4,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,427995,all,,1.0,191,26,29,15,0.9,70%,133,26%,3,5,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,427995,all,,0.99,208,31,29,8,1.07,70%,130,28%,5,3,bo3
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,427996,all,,1.34,225,51,36,15,1.42,80%,143,27%,3,0,bo3
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,427996,all,,1.09,212,45,46,30,0.98,79%,149,26%,5,1,bo3
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,427996,all,,1.04,217,48,44,14,1.09,80%,144,15%,14,14,bo3
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,427996,all,,0.97,188,42,42,18,1.0,79%,129,32%,5,6,bo3
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,427996,all,,0.87,164,32,41,20,0.78,74%,105,27%,5,8,bo3
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,427996,all,,1.25,247,53,42,18,1.26,80%,160,37%,10,7,bo3
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,427996,all,,0.93,195,42,44,26,0.95,75%,132,41%,2,5,bo3
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,427996,all,,0.92,225,47,49,13,0.96,70%,142,17%,9,11,bo3
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,427996,all,,0.9,158,32,37,22,0.86,72%,99,20%,3,5,bo3
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,427996,all,,0.71,159,34,46,16,0.74,64%,103,20%,5,4,bo3
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,427998,all,,1.43,250,37,23,15,1.61,83%,147,41%,5,4,bo3
C0M,LEV,https://www.vlr.gg/player/619/c0m,Americas,427998,all,,1.34,276,41,27,9,1.52,80%,193,26%,3,3,bo3
nataNk,LEV,https://www.vlr.gg/player/5004/natank,Americas,427998,all,,1.28,203,27,20,22,1.35,80%,127,27%,4,4,bo3
tex,LEV,https://www.vlr.gg/player/1818/tex,Americas,427998,all,,0.86,162,24,25,4,0.96,70%,104,31%,4,4,bo3
Demon1,LEV,https://www.vlr.gg/player/26171/demon1,Americas,427998,all,,0.8,163,22,26,5,0.85,68%,112,22%,5,4,bo3
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Americas,427998,all,,0.98,188,28,29,9,0.97,78%,121,43%,3,3,bo3
havoc,FUR,https://www.vlr.gg/player/8706/havoc,Americas,427998,all,,0.97,237,29,33,11,0.88,78%,159,26%,9,5,bo3
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Americas,427998,all,,0.92,188,25,28,10,0.89,68%,119,12%,4,3,bo3
raafa,FUR,https://www.vlr.gg/player/25743/raafa,Americas,427998,all,,0.66,123,17,29,9,0.59,58%,90,16%,0,2,bo3
heat,FUR,https://www.vlr.gg/player/8673/heat,Americas,427998,all,,0.63,156,22,32,2,0.69,50%,106,37%,3,8,bo3
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,427997,all,,1.56,284,44,23,7,1.91,75%,187,31%,7,2,bo3
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,427997,all,,1.37,203,30,20,27,1.5,88%,132,37%,3,1,bo3
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,427997,all,,1.18,192,31,19,5,1.63,75%,140,39%,3,5,bo3
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Americas,427997,all,,1.12,213,29,26,17,1.12,78%,142,21%,11,4,bo3
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,427997,all,,1.08,193,25,25,21,1.0,85%,120,17%,2,2,bo3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,427997,all,,1.09,203,27,28,13,0.96,70%,144,23%,1,2,bo3
neT,C9,https://www.vlr.gg/player/6582/net,Americas,427997,all,,0.74,179,25,32,4,0.78,53%,116,43%,2,7,bo3
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,427997,all,,0.73,189,28,34,3,0.82,55%,132,24%,5,11,bo3
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,427997,all,,0.66,137,16,32,17,0.5,60%,92,14%,3,3,bo3
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,427997,all,,0.63,143,17,33,18,0.52,60%,86,24%,3,3,bo3
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Americas,428003,all,,1.22,235,34,29,12,1.17,80%,154,36%,4,0,bo3
heat,FUR,https://www.vlr.gg/player/8673/heat,Americas,428003,all,,0.95,189,27,27,5,1.0,73%,126,46%,4,2,bo3
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Americas,428003,all,,0.83,145,19,27,13,0.7,65%,104,27%,3,4,bo3
havoc,FUR,https://www.vlr.gg/player/8706/havoc,Americas,428003,all,,0.76,204,28,33,7,0.85,63%,134,22%,5,8,bo3
raafa,FUR,https://www.vlr.gg/player/25743/raafa,Americas,428003,all,,0.53,150,18,34,11,0.53,53%,98,26%,2,8,bo3
NaturE,EG,https://www.vlr.gg/player/4927/nature,Americas,428003,all,,1.24,184,29,21,13,1.38,73%,125,26%,0,2,bo3
icy,EG,https://www.vlr.gg/player/8402/icy,Americas,428003,all,,1.21,276,38,30,9,1.27,75%,177,24%,8,8,bo3
yay,EG,https://www.vlr.gg/player/881/yay,Americas,428003,all,,1.2,202,28,23,12,1.22,80%,133,26%,8,0,bo3
Derrek,EG,https://www.vlr.gg/player/1533/derrek,Americas,428003,all,,1.09,205,31,27,11,1.15,80%,132,36%,1,6,bo3
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,428003,all,,0.99,182,24,25,18,0.96,80%,126,46%,5,2,bo3
v1c,C9,https://www.vlr.gg/player/17433/v1c,Americas,428004,all,,1.32,223,53,37,26,1.43,78%,147,28%,4,2,bo3
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,428004,all,,1.04,254,57,51,11,1.12,67%,163,28%,15,12,bo3
neT,C9,https://www.vlr.gg/player/6582/net,Americas,428004,all,,0.85,181,40,46,22,0.87,70%,116,50%,8,4,bo3
mitch,C9,https://www.vlr.gg/player/612/mitch,Americas,428004,all,,0.74,162,32,47,33,0.68,68%,102,19%,4,10,bo3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,428004,all,,0.68,121,26,45,17,0.58,67%,87,28%,2,1,bo3
aspas,MIBR,https://www.vlr.gg/player/8480/aspas,Americas,428004,all,,1.27,246,57,40,10,1.43,75%,166,21%,11,13,bo3
xenom,MIBR,https://www.vlr.gg/player/20240/xenom,Americas,428004,all,,1.17,175,43,35,27,1.23,75%,115,30%,1,1,bo3
nzr,MIBR,https://www.vlr.gg/player/725/nzr,Americas,428004,all,,1.12,196,41,38,24,1.08,75%,138,25%,3,3,bo3
artzin,MIBR,https://www.vlr.gg/player/5957/artzin,Americas,428004,all,,1.03,213,45,47,28,0.96,70%,127,20%,8,10,bo3
cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,Americas,428004,all,,0.74,154,35,48,11,0.73,71%,111,40%,6,6,bo3
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,428006,all,,1.5,295,33,16,7,2.06,84%,186,23%,6,3,bo3
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,428006,all,,1.46,241,28,14,9,2.0,87%,158,42%,4,3,bo3
Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,Americas,428006,all,,1.24,217,23,18,22,1.28,84%,143,24%,2,3,bo3
adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,Americas,428006,all,,1.11,201,22,18,13,1.22,77%,123,32%,2,4,bo3
Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,Americas,428006,all,,1.06,193,23,19,8,1.21,81%,132,24%,3,1,bo3
gobera,2G,https://www.vlr.gg/player/14950/gobera,Americas,428006,all,,1.09,216,23,24,10,0.96,77%,130,32%,3,1,bo3
pryze,2G,https://www.vlr.gg/player/662/pryze,Americas,428006,all,,0.85,195,19,24,8,0.79,77%,133,24%,2,1,bo3
silentzz,2G,https://www.vlr.gg/player/11921/silentzz,Americas,428006,all,,0.61,169,17,28,5,0.61,58%,100,41%,4,5,bo3
lz,2G,https://www.vlr.gg/player/6195/lz,Americas,428006,all,,0.59,143,16,27,5,0.59,55%,99,39%,3,7,bo3
Zap,2G,https://www.vlr.gg/player/3169/zap,Americas,428006,all,,0.47,112,10,27,11,0.37,52%,81,18%,2,3,bo3
eeiu,100T,https://www.vlr.gg/player/796/eeiu,Americas,428005,all,,1.11,204,57,44,15,1.3,81%,125,39%,5,3,bo3
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,428005,all,,0.93,196,44,49,23,0.9,66%,136,25%,10,12,bo3
zander,100T,https://www.vlr.gg/player/8082/zander,Americas,428005,all,,0.9,193,47,51,21,0.92,71%,117,30%,10,9,bo3
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,428005,all,,0.89,194,47,51,14,0.92,79%,127,29%,7,4,bo3
Boostio,100T,https://www.vlr.gg/player/604/boostio,Americas,428005,all,,0.49,104,23,53,22,0.43,64%,63,20%,4,6,bo3
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,428005,all,,1.46,300,73,47,14,1.55,81%,184,17%,17,15,bo3
Verno,NRG,https://www.vlr.gg/player/21668/verno,Americas,428005,all,,1.13,208,56,43,18,1.3,81%,134,35%,4,3,bo3
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,428005,all,,1.12,196,47,43,34,1.09,83%,117,20%,7,5,bo3
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,428005,all,,1.1,169,39,38,31,1.03,77%,112,14%,4,4,bo3
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,428005,all,,0.77,145,33,47,24,0.7,69%,100,26%,2,9,bo3
dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,Americas,427999,all,,1.27,253,61,44,10,1.39,74%,161,28%,14,5,bo3
pANcada,LOUD,https://www.vlr.gg/player/683/pancada,Americas,427999,all,,1.08,204,53,46,28,1.15,70%,132,37%,7,4,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,427999,all,,0.93,215,49,53,22,0.92,66%,138,23%,13,10,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,427999,all,,0.82,133,35,42,7,0.83,73%,85,34%,4,5,bo3
v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,Americas,427999,all,,0.68,126,31,50,19,0.62,67%,91,41%,2,6,bo3
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,427999,all,,1.21,253,61,47,21,1.3,81%,161,24%,15,12,bo3
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,427999,all,,1.04,183,45,43,16,1.05,73%,127,26%,4,4,bo3
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,427999,all,,1.02,191,45,46,21,0.98,70%,118,17%,5,11,bo3
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,427999,all,,1.0,186,48,46,17,1.04,74%,117,30%,5,7,bo3
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,427999,all,,0.89,150,36,47,29,0.77,71%,102,14%,1,6,bo3
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,428000,all,,1.53,298,44,24,9,1.83,80%,196,26%,8,2,bo3
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,428000,all,,1.53,237,37,21,12,1.76,90%,166,32%,3,3,bo3
