Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,642914,all,,bo1,1.25,257,64,49,24,1.31,84%,166,38%,8,7
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,642914,all,,bo1,1.07,191,47,46,23,1.02,74%,132,31%,5,5
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,642914,all,,bo1,0.94,165,40,43,24,0.93,74%,116,33%,2,3
Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,CN,642914,all,,bo1,0.89,201,49,54,17,0.91,71%,129,18%,9,14
Spitfires,TEC,https://www.vlr.gg/player/4881/spitfires,CN,642914,all,,bo1,0.75,180,44,53,19,0.83,71%,116,27%,6,10
f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,CN,642914,all,,bo1,1.32,259,65,48,13,1.35,75%,168,41%,12,6
Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,CN,642914,all,,bo1,1.14,182,48,41,22,1.17,68%,113,26%,3,7
iamgrq,AG,https://www.vlr.gg/player/58959/iamgrq,CN,642914,all,,bo1,1.01,238,52,58,27,0.9,71%,151,16%,11,6
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,642914,all,,bo1,1.00,191,47,46,13,1.02,75%,132,21%,9,8
Septem7,AG,https://www.vlr.gg/player/3031/septem7,CN,642914,all,,bo1,0.73,147,33,51,22,0.65,81%,100,25%,4,3
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,642915,all,,bo1,0.99,222,23,27,9,0.85,71%,141,27%,2,1
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,642915,all,,bo1,0.74,153,17,27,3,0.63,61%,92,35%,1,2
qiutiaN,NOVA,https://www.vlr.gg/player/43007/qiutian,CN,642915,all,,bo1,0.56,122,10,27,12,0.37,58%,91,20%,1,1
swagzor,NOVA,https://www.vlr.gg/player/45492/swagzor,CN,642915,all,,bo1,0.53,158,16,28,5,0.57,58%,89,27%,5,11
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,642915,all,,bo1,0.47,107,11,25,1,0.44,52%,68,23%,3,4
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,CN,642915,all,,bo1,1.74,300,36,15,9,2.4,74%,202,32%,6,2
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,642915,all,,bo1,1.40,243,27,15,11,1.8,87%,160,36%,1,2
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,642915,all,,bo1,1.29,248,29,15,4,1.93,81%,155,15%,7,5
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,642915,all,,bo1,1.26,202,22,14,8,1.57,81%,130,29%,3,1
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,642915,all,,bo1,0.88,188,20,18,12,1.11,77%,117,36%,2,2
zhe,JDG,https://www.vlr.gg/player/49476/zhe,CN,642916,all,,bo1,1.33,246,51,37,19,1.38,84%,162,24%,8,3
Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,CN,642916,all,,bo1,1.17,219,48,37,8,1.3,67%,152,38%,7,5
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,642916,all,,bo1,1.10,236,51,42,14,1.21,72%,161,22%,12,9
coconut,JDG,https://www.vlr.gg/player/12365/coconut,CN,642916,all,,bo1,0.96,156,37,36,12,1.03,74%,104,36%,3,4
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,642916,all,,bo1,0.87,174,39,41,19,0.95,77%,110,28%,5,5
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,642916,all,,bo1,1.09,195,43,40,12,1.07,72%,125,28%,4,1
KovaQ,FPX,https://www.vlr.gg/player/7987/kovaq,CN,642916,all,,bo1,0.96,208,46,47,12,0.98,74%,138,22%,3,3
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,642916,all,,bo1,0.89,180,33,46,28,0.72,77%,117,23%,6,3
Setrod,FPX,https://www.vlr.gg/player/50025/setrod,CN,642916,all,,bo1,0.80,179,39,45,5,0.87,64%,109,22%,6,14
Ben1Ley,FPX,https://www.vlr.gg/player/55823/ben1ley,CN,642916,all,,bo1,0.72,161,32,48,9,0.67,61%,104,29%,7,14
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,642917,all,,bo1,1.17,222,34,31,10,1.1,73%,156,28%,2,2
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,642917,all,,bo1,1.13,252,33,33,7,1.0,68%,148,27%,10,6
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,642917,all,,bo1,0.96,165,22,30,24,0.73,76%,116,32%,0,5
Life,DRG,https://www.vlr.gg/player/3028/life,CN,642917,all,,bo1,0.80,203,26,34,8,0.76,73%,126,52%,6,8
Flex1n,DRG,https://www.vlr.gg/player/4705/flex1n,CN,642917,all,,bo1,0.61,140,19,34,14,0.56,56%,97,22%,2,0
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,642917,all,,bo1,1.38,279,42,26,8,1.62,88%,196,45%,7,3
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,CN,642917,all,,bo1,1.32,217,33,22,25,1.5,85%,141,27%,1,0
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,642917,all,,bo1,1.02,192,29,25,4,1.16,78%,126,38%,3,5
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,CN,642917,all,,bo1,0.98,182,26,27,22,0.96,78%,111,42%,2,3
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,642917,all,,bo1,0.86,237,32,34,12,0.94,68%,144,18%,8,9
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,642918,all,,bo1,1.19,259,39,34,11,1.15,77%,187,32%,3,4
jowa,WOL,https://www.vlr.gg/player/19292/jowa,CN,642918,all,,bo1,1.00,184,27,30,13,0.9,77%,121,37%,3,4
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,642918,all,,bo1,0.95,180,26,32,11,0.81,67%,118,33%,3,3
