Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,EMEA,248282,all,,0.52,128,26,48,14,0.54,54%,91,24%,1,8,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,248282,all,,1.34,244,54,36,25,1.5,78%,150,28%,9,5,bo3
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,248282,all,,1.28,258,59,39,12,1.51,83%,169,23%,13,2,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,248282,all,,1.08,207,41,39,12,1.05,73%,143,22%,5,5,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,248282,all,,1.02,195,38,40,37,0.95,85%,121,18%,7,6,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,248282,all,,0.72,130,26,39,28,0.67,71%,86,21%,2,5,bo3
Demon1,EG,https://www.vlr.gg/player/26171/demon1,Americas,248283,all,,1.22,257,101,81,23,1.25,77%,175,41%,13,9,bo5
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,248283,all,,1.02,192,68,72,65,0.94,81%,127,24%,5,8,bo5
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,248283,all,,0.93,221,82,80,18,1.02,67%,133,15%,10,12,bo5
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,248283,all,,0.91,166,61,72,36,0.85,70%,110,20%,6,14,bo5
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,248283,all,,0.87,194,69,77,26,0.9,74%,127,23%,16,12,bo5
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,248283,all,,1.16,252,95,81,14,1.17,75%,164,25%,18,16,bo5
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,248283,all,,1.14,238,91,77,22,1.18,77%,157,21%,13,9,bo5
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,248283,all,,1.0,198,67,74,53,0.91,75%,128,20%,10,11,bo5
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,248283,all,,0.97,201,70,80,46,0.88,73%,134,23%,11,9,bo5
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,248283,all,,0.89,154,58,69,49,0.84,70%,101,25%,3,5,bo5
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,248277,all,,1.07,186,61,58,33,1.05,74%,129,28%,0,4,bo5
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,248277,all,,1.06,207,66,66,18,1.0,70%,137,25%,13,7,bo5
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,248277,all,,0.91,234,63,77,20,0.82,65%,158,20%,19,11,bo5
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,248277,all,,0.87,181,54,67,31,0.81,63%,124,26%,13,15,bo5
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Pacific,248277,all,,0.75,152,46,67,29,0.69,63%,99,32%,0,6,bo5
Demon1,EG,https://www.vlr.gg/player/26171/demon1,Americas,248277,all,,1.35,230,79,48,17,1.65,75%,163,41%,12,6,bo5
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,248277,all,,1.25,281,85,62,25,1.37,76%,179,16%,17,11,bo5
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,248277,all,,1.01,209,62,67,28,0.93,76%,144,24%,6,11,bo5
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,248277,all,,0.96,181,56,54,22,1.04,73%,116,17%,5,6,bo5
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,248277,all,,0.93,168,53,59,51,0.9,75%,109,24%,3,11,bo5
