Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Proxh,M8,https://www.vlr.gg/player/45494/proxh,EMEA,712806,all,,bo3,1.05,177.0,38,32,14,77%,119.0,31%,2.0,6.0,1.19
bipo,M8,https://www.vlr.gg/player/18400/bipo,EMEA,712806,all,,bo3,1.01,195.0,37,34,10,74%,129.0,28%,10.0,2.0,1.09
starxo,M8,https://www.vlr.gg/player/565/starxo,EMEA,712806,all,,bo3,0.84,143.0,28,32,11,70%,95.0,32%,5.0,2.0,0.88
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,698884,all,,bo3,1.48,277.0,52,29,16,80%,182.0,44%,4.0,0.0,1.79
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,698884,all,,bo3,1.07,242.0,43,32,5,70%,147.0,28%,9.0,6.0,1.34
Raxcal,GEN,https://www.vlr.gg/player/48925/raxcal,Pacific,698884,all,,bo3,0.93,190.0,31,33,16,74%,125.0,23%,2.0,5.0,0.94
Efina,GEN,https://www.vlr.gg/player/985/efina,Pacific,698884,all,,bo3,0.91,159.0,30,32,14,80%,111.0,24%,3.0,1.0,0.94
Ash,GEN,https://www.vlr.gg/player/25017/ash,Pacific,698884,all,,bo3,0.8,202.0,32,40,11,68%,137.0,31%,6.0,14.0,0.8
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Pacific,698884,all,,bo3,1.33,239.0,39,33,21,78%,151.0,43%,4.0,0.0,1.18
SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,Pacific,698884,all,,bo3,1.06,236.0,41,38,12,76%,155.0,30%,5.0,5.0,1.08
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Pacific,698884,all,,bo3,0.95,185.0,34,37,13,70%,107.0,29%,4.0,6.0,0.92
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Pacific,698884,all,,bo3,0.75,191.0,31,42,9,62%,119.0,19%,8.0,10.0,0.74
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,698884,all,,bo3,0.68,136.0,21,38,23,70%,92.0,30%,5.0,3.0,0.55
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,698885,all,,bo3,1.34,274.0,64,46,11,82%,180.0,33%,18.0,10.0,1.39
