Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
BuZz,T1,https://www.vlr.gg/player/804/buzz,Pacific,595648,all,,0.92,213,50,50,9,1.0,71%,127,21%,11,12,bo3
stax,T1,https://www.vlr.gg/player/485/stax,Pacific,595648,all,,0.88,164,36,46,15,0.78,77%,124,38%,5,3,bo3
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,595653,all,,1.18,248,53,42,11,1.26,73%,154,28%,12,5,bo3
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,595653,all,,1.04,207,45,43,23,1.05,73%,131,26%,3,2,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,595653,all,,1.01,191,41,41,21,1.0,68%,120,33%,8,6,bo3
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,595653,all,,0.94,182,40,41,12,0.98,69%,119,28%,4,5,bo3
Hermes,KRX,https://www.vlr.gg/player/17049/hermes,Pacific,595653,all,,0.88,180,39,41,12,0.95,79%,121,39%,7,10,bo3
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,595653,all,,1.16,227,50,45,28,1.11,74%,135,36%,5,5,bo3
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Pacific,595653,all,,1.07,193,46,40,13,1.15,76%,119,17%,10,6,bo3
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Pacific,595653,all,,0.9,196,44,44,8,1.0,66%,123,28%,7,12,bo3
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Pacific,595653,all,,0.88,155,32,43,22,0.74,69%,115,34%,4,5,bo3
SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,Pacific,595653,all,,0.79,152,35,46,11,0.76,66%,105,40%,2,6,bo3
UdoTan,GE,https://www.vlr.gg/player/4428/udotan,Pacific,595654,all,,1.2,246,70,58,8,1.21,70%,157,49%,10,6,bo3
Autumn,GE,https://www.vlr.gg/player/872/autumn,Pacific,595654,all,,1.18,257,71,53,19,1.34,70%,157,29%,11,18,bo3
xavi8k,GE,https://www.vlr.gg/player/7754/xavi8k,Pacific,595654,all,,1.04,194,52,51,28,1.02,72%,111,26%,7,3,bo3
PatMen,GE,https://www.vlr.gg/player/13744/patmen,Pacific,595654,all,,0.87,168,46,53,31,0.87,78%,110,30%,8,6,bo3
Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,Pacific,595654,all,,0.82,143,36,50,18,0.72,62%,106,24%,3,4,bo3
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,595654,all,,1.2,237,66,53,15,1.25,75%,160,31%,6,3,bo3
ZynX,GEN,https://www.vlr.gg/player/51099/zynx,Pacific,595654,all,,1.03,241,66,61,14,1.08,68%,160,34%,12,11,bo3
