Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,378662,all,,1.38,257,38,23,8,1.65,83%,160,30%,7,6,bo3
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,378662,all,,1.29,225,34,23,23,1.48,88%,138,33%,2,3,bo3
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,378662,all,,1.25,227,35,20,6,1.75,80%,156,30%,3,6,bo3
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Pacific,378662,all,,0.99,204,27,28,21,0.96,83%,132,23%,5,2,bo3
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,378662,all,,0.75,141,21,25,6,0.84,73%,100,23%,4,3,bo3
Sacy,SEN,https://www.vlr.gg/player/659/sacy,Americas,378662,all,,1.35,248,34,27,17,1.26,78%,163,23%,4,1,bo3
TenZ,SEN,https://www.vlr.gg/player/9/tenz,Americas,378662,all,,0.86,182,25,32,14,0.78,73%,118,23%,5,7,bo3
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,378662,all,,0.84,142,21,30,15,0.7,63%,89,26%,6,4,bo3
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,378662,all,,0.74,129,19,30,7,0.63,61%,85,32%,2,0,bo3
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,378662,all,,0.49,146,19,36,7,0.53,54%,96,12%,3,9,bo3
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Pacific,378663,all,,1.12,205,54,46,26,1.17,75%,137,30%,9,6,bo3
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,EMEA,378663,all,,1.07,222,65,52,11,1.25,68%,142,35%,8,4,bo3
Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,CN,378663,all,,1.01,217,55,56,29,0.98,76%,146,19%,5,3,bo3
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,EMEA,378663,all,,0.93,163,45,49,27,0.92,72%,110,27%,8,6,bo3
Life,FPX,https://www.vlr.gg/player/3028/life,EMEA,378663,all,,0.74,185,47,57,12,0.82,63%,123,30%,12,15,bo3
RieNs,TH,https://www.vlr.gg/player/10971/riens,EMEA,378663,all,,1.49,260,71,44,19,1.61,70%,173,36%,8,2,bo3
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,EMEA,378663,all,,1.01,185,50,52,32,0.96,80%,119,34%,6,7,bo3
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,EMEA,378663,all,,0.99,196,52,54,20,0.96,68%,139,35%,5,13,bo3
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,378663,all,,0.85,172,47,56,29,0.84,71%,107,28%,2,4,bo3
MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,EMEA,378663,all,,0.7,155,40,60,14,0.67,57%,109,30%,13,16,bo3
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,CN,378657,all,,1.19,238,51,34,9,1.5,83%,154,24%,6,2,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,378657,all,,1.04,247,43,41,12,1.05,68%,162,15%,9,9,bo3
Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,Pacific,378657,all,,0.96,190,36,37,20,0.97,66%,129,32%,2,7,bo3
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,378657,all,,0.91,169,35,36,10,0.97,66%,114,27%,4,5,bo3
