Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,506946,all,,bo1,1.00,186,38,39,16,0.97,70%,120,25%,5,5
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,506946,all,,bo1,0.90,162,37,42,24,0.88,76%,104,20%,2,8
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,506946,all,,bo1,1.07,226,50,46,20,1.09,76%,146,44%,5,7
Flex1n,DRG,https://www.vlr.gg/player/4705/flex1n,CN,506946,all,,bo1,1.02,184,41,40,18,1.02,73%,110,25%,8,1
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,506946,all,,bo1,1.00,187,40,44,15,0.91,71%,139,31%,2,2
Akeman,DRG,https://www.vlr.gg/player/52904/akeman,CN,506946,all,,bo1,0.78,167,36,46,17,0.78,62%,112,30%,10,7
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,506946,all,,bo1,0.77,180,39,50,10,0.78,62%,117,30%,11,10
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,506947,all,,bo1,1.16,243,51,46,13,1.11,80%,158,27%,7,6
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,506947,all,,bo1,1.12,208,46,42,20,1.1,70%,139,23%,6,5
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,506947,all,,bo1,0.90,191,45,48,11,0.94,72%,115,29%,10,7
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,506947,all,,bo1,0.87,167,39,47,11,0.83,70%,113,25%,5,9
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,506947,all,,bo1,0.70,146,32,49,21,0.65,78%,94,38%,4,5
Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,CN,506947,all,,bo1,1.37,267,63,42,20,1.5,81%,169,31%,8,2
HanChe,AG,https://www.vlr.gg/player/42537/hanche,CN,506947,all,,bo1,1.07,196,44,38,15,1.16,78%,134,33%,6,6
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,506947,all,,bo1,1.05,185,43,37,18,1.16,73%,118,34%,3,6
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,506947,all,,bo1,0.91,191,40,47,22,0.85,77%,133,29%,7,10
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,506947,all,,bo1,0.81,184,42,49,12,0.86,67%,116,25%,8,8
Scales,TYL,https://www.vlr.gg/player/39485/scales,CN,506948,all,,bo1,1.19,249,41,33,2,1.24,62%,159,29%,6,4
slowly,TYL,https://www.vlr.gg/player/41739/slowly,CN,506948,all,,bo1,1.08,198,32,31,11,1.03,71%,137,27%,8,6
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,506948,all,,bo1,0.82,164,24,33,11,0.73,69%,111,19%,3,2
Yoyo,TYL,https://www.vlr.gg/player/11843/yoyo,CN,506948,all,,bo1,0.62,139,23,35,9,0.66,64%,100,23%,3,5
sword9,TYL,https://www.vlr.gg/player/3049/sword9,CN,506948,all,,bo1,0.59,149,20,36,10,0.56,62%,103,28%,5,3
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,506948,all,,bo1,1.31,233,39,26,9,1.5,73%,158,35%,3,3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,506948,all,,bo1,1.23,220,35,28,12,1.25,82%,149,36%,2,2
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,CN,506948,all,,bo1,1.14,203,32,28,18,1.14,78%,131,28%,1,2
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,506948,all,,bo1,0.99,156,26,25,8,1.04,67%,106,35%,3,4
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,506948,all,,bo1,0.96,226,36,33,7,1.09,67%,148,29%,11,14
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,506949,all,,bo1,1.15,215,54,43,16,1.26,71%,143,31%,6,5
TvirusLuke,TEC,https://www.vlr.gg/player/7841/tvirusluke,CN,506949,all,,bo1,1.13,258,62,50,10,1.24,63%,160,24%,11,11
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,506949,all,,bo1,1.09,196,47,43,22,1.09,74%,122,42%,6,5
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,506949,all,,bo1,0.92,178,44,47,14,0.94,76%,116,29%,7,5
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,506949,all,,bo1,0.70,141,31,47,19,0.66,68%,96,22%,7,5
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,506949,all,,bo1,1.24,220,54,45,26,1.2,74%,139,31%,9,9
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,506949,all,,bo1,1.15,254,61,53,8,1.15,68%,159,34%,11,10
Babyblue,JDG,https://www.vlr.gg/player/15302/babyblue,CN,506949,all,,bo1,0.97,168,42,44,16,0.95,72%,110,39%,3,2
Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,CN,506949,all,,bo1,0.84,179,42,47,17,0.89,71%,114,33%,7,8
kklin,JDG,https://www.vlr.gg/player/55828/kklin,CN,506949,all,,bo1,0.67,134,31,49,15,0.63,56%,92,33%,1,8
whzy,BLG,https://www.vlr.gg/player/4885/whzy,CN,506950,all,,bo1,1.33,269,65,44,4,1.48,65%,157,38%,16,16
rushia,BLG,https://www.vlr.gg/player/48878/rushia,CN,506950,all,,bo1,1.15,195,42,39,26,1.08,77%,127,24%,5,5
nephh,BLG,https://www.vlr.gg/player/10698/nephh,CN,506950,all,,bo1,1.08,186,37,43,41,0.86,85%,120,18%,3,6
Levius,BLG,https://www.vlr.gg/player/40845/levius,CN,506950,all,,bo1,1.07,176,45,40,6,1.12,68%,127,23%,2,7
Knight,BLG,https://www.vlr.gg/player/4774/knight,CN,506950,all,,bo1,0.80,132,27,37,12,0.73,73%,84,32%,3,3
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,506950,all,,bo1,1.08,248,55,48,14,1.15,65%,155,22%,15,8
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,506950,all,,bo1,0.97,197,43,45,23,0.96,73%,127,26%,10,6
Biank,TE,https://www.vlr.gg/player/3021/biank,CN,506950,all,,bo1,0.89,152,32,39,19,0.82,65%,101,21%,2,6
MarT1n,TE,https://www.vlr.gg/player/36668/mart1n,CN,506950,all,,bo1,0.82,132,36,39,9,0.92,62%,94,20%,1,5
