Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
runi,C9,https://www.vlr.gg/player/16003/runi,Americas,314622,all,,1.1,192,49,46,20,1.07,68%,146,38%,3,4,bo3
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,314622,all,,1.09,226,55,51,34,1.08,77%,144,32%,7,7,bo3
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,314622,all,,1.09,241,64,59,11,1.08,70%,157,27%,15,16,bo3
moose,C9,https://www.vlr.gg/player/7458/moose,Americas,314622,all,,0.89,164,40,48,18,0.83,72%,121,26%,4,5,bo3
vanity,C9,https://www.vlr.gg/player/7870/vanity,Americas,314622,all,,0.78,151,38,51,27,0.75,76%,100,26%,4,9,bo3
aspas,LEV,https://www.vlr.gg/player/8480/aspas,Americas,314622,all,,1.43,306,78,46,15,1.7,74%,200,29%,9,6,bo3
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,314622,all,,1.18,204,56,45,30,1.24,78%,140,27%,8,8,bo3
tex,LEV,https://www.vlr.gg/player/1818/tex,Americas,314622,all,,0.83,175,44,51,21,0.86,74%,116,33%,12,8,bo3
Mazino,LEV,https://www.vlr.gg/player/7603/mazino,Americas,314622,all,,0.82,164,44,53,16,0.83,68%,103,34%,3,5,bo3
C0M,LEV,https://www.vlr.gg/player/619/c0m,Americas,314622,all,,0.66,147,32,51,16,0.63,73%,96,11%,9,6,bo3
Demon1,NRG,https://www.vlr.gg/player/26171/demon1,Americas,314623,all,,1.38,303,38,28,10,1.36,87%,190,36%,12,2,bo3
Marved,NRG,https://www.vlr.gg/player/263/marved,Americas,314623,all,,1.34,228,33,23,7,1.43,66%,158,34%,4,4,bo3
crashies,NRG,https://www.vlr.gg/player/4/crashies,Americas,314623,all,,1.31,221,34,21,6,1.62,87%,147,39%,2,0,bo3
Victor,NRG,https://www.vlr.gg/player/261/victor,Americas,314623,all,,0.95,191,27,26,7,1.04,74%,124,26%,2,2,bo3
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,314623,all,,0.78,170,19,28,15,0.68,71%,118,13%,3,7,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,Americas,314623,all,,1.27,264,36,30,11,1.2,71%,174,27%,3,2,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,314623,all,,0.87,163,24,26,11,0.92,68%,123,34%,1,4,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,Americas,314623,all,,0.75,184,22,33,18,0.67,71%,123,23%,4,4,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,314623,all,,0.69,175,21,32,16,0.66,74%,108,22%,1,2,bo3
ambitioN,LOUD,https://www.vlr.gg/player/1575/ambition,Americas,314623,all,,0.66,163,23,30,1,0.77,55%,98,36%,6,11,bo3
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,314624,all,,1.6,274,39,19,17,2.05,81%,166,32%,6,3,bo3
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,314624,all,,1.45,241,33,20,18,1.65,89%,155,29%,4,1,bo3
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,314624,all,,1.33,252,33,23,19,1.43,73%,164,24%,4,4,bo3
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,314624,all,,1.28,235,32,21,10,1.52,81%,151,15%,4,1,bo3
