Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,674859,all,,bo3,0.94,179,64,71,33,74%,120,19%,10,8,0.9
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,674859,all,,bo3,0.87,178,66,75,16,65%,112,25%,15,9,0.88
lovers rock,BBL,https://www.vlr.gg/player/40935/lovers-rock,EMEA,674861,all,,bo3,1.49,301,59,35,4,76%,185,18%,10,5,1.69
Rosé,BBL,https://www.vlr.gg/player/5565/ros,EMEA,674861,all,,bo3,1.09,208,37,35,19,72%,146,22%,5,3,1.06
Loita,BBL,https://www.vlr.gg/player/24344/loita,EMEA,674861,all,,bo3,1.03,167,31,33,21,74%,109,34%,1,4,0.94
Lar0k,BBL,https://www.vlr.gg/player/31305/lar0k,EMEA,674861,all,,bo3,0.89,164,32,36,7,67%,118,22%,6,10,0.89
Crewen,BBL,https://www.vlr.gg/player/12795/crewen,EMEA,674861,all,,bo3,0.88,178,35,40,13,63%,123,29%,3,7,0.88
Izzy,EF,https://www.vlr.gg/player/10160/izzy,EMEA,674861,all,,bo3,1.04,238,46,41,6,67%,147,22%,15,10,1.12
echo,EF,https://www.vlr.gg/player/49346/echo,EMEA,674861,all,,bo3,0.95,173,31,35,17,69%,116,32%,8,5,0.89
audaz,EF,https://www.vlr.gg/player/40843/audaz,EMEA,674861,all,,bo3,0.94,178,33,38,23,72%,114,32%,1,2,0.87
Favian,EF,https://www.vlr.gg/player/41720/favian,EMEA,674861,all,,bo3,0.84,190,33,40,15,74%,127,23%,2,5,0.82
nekky,EF,https://www.vlr.gg/player/12670/nekky,EMEA,674861,all,,bo3,0.84,173,36,40,9,69%,117,20%,3,3,0.9
CyvOph,FNC,https://www.vlr.gg/player/13258/cyvoph,EMEA,674862,all,,bo3,1.15,231,58,55,30,72%,150,31%,9,7,1.05
crashies,FNC,https://www.vlr.gg/player/4/crashies,EMEA,674862,all,,bo3,1.07,181,48,46,26,75%,125,29%,8,4,1.04
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,EMEA,674862,all,,bo3,1.04,208,57,50,9,70%,141,34%,10,7,1.14
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,EMEA,674862,all,,bo3,0.92,193,53,56,15,71%,138,25%,9,13,0.95
Boaster,FNC,https://www.vlr.gg/player/438/boaster,EMEA,674862,all,,bo3,0.91,178,46,51,25,71%,119,33%,6,3,0.9
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,674862,all,,bo3,1.10,191,55,48,26,75%,124,28%,5,4,1.15
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,674862,all,,bo3,1.00,207,56,55,18,68%,139,21%,6,9,1.02
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,674862,all,,bo3,0.99,202,56,53,11,59%,135,37%,3,3,1.06
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,674862,all,,bo3,0.91,147,39,47,18,68%,99,20%,1,4,0.83
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,674862,all,,bo3,0.84,202,52,59,14,67%,123,20%,19,22,0.88
xeus,FUT,https://www.vlr.gg/player/12793/xeus,EMEA,674863,all,,bo3,1.22,232,54,40,11,77%,163,40%,12,10,1.35
s0pp,FUT,https://www.vlr.gg/player/39357/s0pp,EMEA,674863,all,,bo3,1.09,234,52,42,13,78%,154,24%,12,3,1.24
KROSTALY,FUT,https://www.vlr.gg/player/15735/krostaly,EMEA,674863,all,,bo3,0.93,181,36,39,24,68%,125,29%,3,4,0.92
sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,EMEA,674863,all,,bo3,0.88,197,40,44,20,77%,123,20%,9,3,0.91
yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,EMEA,674863,all,,bo3,0.54,127,22,41,15,63%,91,17%,3,1,0.54
Crewen,BBL,https://www.vlr.gg/player/12795/crewen,EMEA,674863,all,,bo3,1.16,191,44,36,16,73%,133,32%,1,5,1.22
Loita,BBL,https://www.vlr.gg/player/24344/loita,EMEA,674863,all,,bo3,1.11,192,44,38,24,72%,128,45%,2,9,1.16
Lar0k,BBL,https://www.vlr.gg/player/31305/lar0k,EMEA,674863,all,,bo3,1.03,193,38,42,17,75%,124,23%,9,7,0.9
lovers rock,BBL,https://www.vlr.gg/player/40935/lovers-rock,EMEA,674863,all,,bo3,0.98,204,42,41,10,78%,114,13%,5,14,1.02
Rosé,BBL,https://www.vlr.gg/player/5565/ros,EMEA,674863,all,,bo3,0.83,187,38,47,19,72%,106,28%,4,4,0.81
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,674864,all,,bo5,1.17,208,53,46,28,65%,132,18%,6,6,1.15
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,674864,all,,bo5,0.93,177,46,48,11,64%,123,34%,6,6,0.96
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,674864,all,,bo5,0.93,161,42,47,26,74%,105,24%,3,2,0.89
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,674864,all,,bo5,0.87,205,47,57,18,71%,142,31%,6,12,0.82
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,674864,all,,bo5,0.76,174,41,53,16,65%,108,22%,11,14,0.77
lovers rock,BBL,https://www.vlr.gg/player/40935/lovers-rock,EMEA,674864,all,,bo5,1.27,252,60,42,18,67%,157,19%,18,10,1.43
Rosé,BBL,https://www.vlr.gg/player/5565/ros,EMEA,674864,all,,bo5,1.19,203,52,44,23,75%,139,24%,4,3,1.18
Loita,BBL,https://www.vlr.gg/player/24344/loita,EMEA,674864,all,,bo5,1.11,203,54,47,25,79%,141,38%,4,3,1.15
Lar0k,BBL,https://www.vlr.gg/player/31305/lar0k,EMEA,674864,all,,bo5,0.94,202,48,50,19,75%,125,34%,7,9,0.96
Crewen,BBL,https://www.vlr.gg/player/12795/crewen,EMEA,674864,all,,bo5,0.81,154,37,46,8,63%,94,28%,7,7,0.8
