Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,510156,all,,bo3,0.95,206,31,34,19,55%,134,26%,3,9,0.91
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,510156,all,,bo3,0.95,196,29,32,10,64%,126,35%,5,3,0.91
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,510156,all,,bo3,0.83,195,27,39,15,68%,127,24%,8,3,0.69
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,510156,all,,bo3,1.35,262,43,29,22,82%,151,19%,2,4,1.48
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,510156,all,,bo3,1.11,197,32,27,8,73%,130,37%,1,1,1.19
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,510156,all,,bo3,1.07,227,33,30,24,80%,132,24%,6,6,1.1
Ash,GEN,https://www.vlr.gg/player/25017/ash,Mixed,510156,all,,bo3,0.96,187,31,27,6,64%,131,42%,4,1,1.15
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,510156,all,,bo3,0.89,212,32,35,13,68%,145,23%,9,10,0.91
Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,Mixed,510155,all,,bo5,1.21,236,79,62,33,78%,154,22%,12,5,1.27
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,Mixed,510155,all,,bo5,1.20,229,84,61,19,66%,152,40%,12,14,1.38
crashies,FNC,https://www.vlr.gg/player/4/crashies,Mixed,510155,all,,bo5,1.19,219,78,58,32,74%,137,43%,10,7,1.34
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,Mixed,510155,all,,bo5,0.97,201,70,71,16,69%,131,37%,14,16,0.99
Boaster,FNC,https://www.vlr.gg/player/438/boaster,Mixed,510155,all,,bo5,0.95,155,54,62,45,78%,106,26%,6,5,0.87
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,Mixed,510155,all,,bo5,1.03,186,70,74,27,64%,137,39%,15,9,0.95
RieNs,TH,https://www.vlr.gg/player/10971/riens,Mixed,510155,all,,bo5,1.01,208,69,72,26,71%,144,38%,7,7,0.96
Boo,TH,https://www.vlr.gg/player/1144/boo,Mixed,510155,all,,bo5,0.97,173,61,69,35,69%,110,36%,7,8,0.88
MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,Mixed,510155,all,,bo5,0.79,165,63,78,18,64%,119,31%,12,20,0.81
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,Mixed,510155,all,,bo5,0.71,146,51,73,11,61%,101,34%,6,10,0.7
