match_id,map_num,killer,victim,kills,deaths
167350,113047,k1Ng,Less,4,4
167350,113047,k1Ng,tuyz,6,2
167350,113047,k1Ng,aspas,4,4
167350,113047,k1Ng,cauanzin,5,6
167350,113047,eKo,saadhak,3,3
167350,113047,eKo,Less,3,7
167350,113047,eKo,tuyz,1,6
167350,113047,eKo,aspas,4,2
167350,113047,eKo,cauanzin,1,2
167351,113049,BerLIN,Nivera,2,7
167351,113049,BerLIN,xms,1,4
167351,113049,BerLIN,ScreaM,4,2
167351,113049,BerLIN,Newzera,0,0
167351,113049,BerLIN,sh1n,0,4
167351,113049,Yuicaw,Nivera,2,3
167351,113049,Yuicaw,xms,1,4
167351,113049,Yuicaw,ScreaM,4,3
167351,113049,Yuicaw,Newzera,1,1
167351,113049,Yuicaw,sh1n,3,3
167351,113049,nizhaoTZH,Nivera,2,4
167351,113049,nizhaoTZH,xms,2,2
167351,113049,nizhaoTZH,ScreaM,2,2
167351,113049,nizhaoTZH,Newzera,2,4
167351,113049,nizhaoTZH,sh1n,2,4
167351,113049,YuChEn,Nivera,1,4
167351,113049,YuChEn,xms,3,4
167351,113049,YuChEn,ScreaM,2,3
167351,113049,YuChEn,Newzera,1,0
167351,113049,YuChEn,sh1n,5,4
167351,113049,AAAAY,Nivera,4,3
167351,113049,AAAAY,xms,4,3
167351,113049,AAAAY,ScreaM,2,5
167351,113049,AAAAY,Newzera,5,1
167351,113049,AAAAY,sh1n,1,5
167351,113050,BerLIN,Nivera,3,1
167351,113050,BerLIN,xms,2,4
167351,113050,BerLIN,ScreaM,6,5
167351,113050,BerLIN,Newzera,2,2
167351,113050,BerLIN,sh1n,4,3
167351,113050,Yuicaw,Nivera,6,3
167351,113050,Yuicaw,xms,3,2
167351,113050,Yuicaw,ScreaM,2,3
167351,113050,Yuicaw,Newzera,4,3
167351,113050,Yuicaw,sh1n,5,0
167351,113050,nizhaoTZH,Nivera,2,5
167351,113050,nizhaoTZH,xms,3,1
167351,113050,nizhaoTZH,ScreaM,2,3
167351,113050,nizhaoTZH,Newzera,2,2
167351,113050,nizhaoTZH,sh1n,2,3
167351,113050,YuChEn,Nivera,4,3
167351,113050,YuChEn,xms,1,1
167351,113050,YuChEn,ScreaM,4,5
167351,113050,YuChEn,Newzera,4,1
167351,113050,YuChEn,sh1n,5,3
167351,113050,AAAAY,Nivera,3,4
167351,113050,AAAAY,xms,5,1
167351,113050,AAAAY,ScreaM,2,4
167351,113050,AAAAY,Newzera,3,3
167351,113050,AAAAY,sh1n,2,3
167351,113051,BerLIN,Nivera,1,7
167351,113051,BerLIN,xms,3,0
167351,113051,BerLIN,ScreaM,4,0
