match_id,map_num,map_name,player,org,player_id,mk2,mk3,mk4,mk5,c1v1,c1v2,c1v3,c1v4,c1v5,econ,plants,defuses,date,event
167349,113044,IceboxPICK,Cloud,GIA,4181,3,1,0,0,0,0,0,0,0,63,3,1,2023-02-13,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,k1Ng,GEN,771,2,3,0,0,0,0,0,0,0,89,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,TS,GEN,983,0,1,0,0,0,0,0,0,0,38,2,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,eKo,GEN,1960,3,0,0,0,0,0,0,0,0,52,6,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,Secret,GEN,4054,2,0,1,0,0,0,0,0,0,34,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,Meteor,GEN,13039,3,0,0,0,0,0,0,0,0,46,0,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,saadhak,LOUD,727,3,2,0,0,0,1,0,0,0,71,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,tuyz,LOUD,2408,2,0,0,0,0,1,0,0,0,28,5,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,cauanzin,LOUD,6193,6,2,0,0,0,0,0,0,0,71,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,Less,LOUD,8447,0,1,0,0,0,0,0,0,0,48,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113046,PearlPICK,aspas,LOUD,8480,5,1,0,0,1,0,0,0,0,50,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,k1Ng,GEN,771,4,2,0,0,0,1,0,0,0,58,1,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,TS,GEN,983,4,3,0,0,0,0,0,0,0,55,1,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,eKo,GEN,1960,1,1,0,0,0,0,0,0,0,32,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,Secret,GEN,4054,4,0,0,0,0,0,0,0,0,25,7,1,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,Meteor,GEN,13039,5,1,0,0,0,0,0,0,0,52,2,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
167350,113047,FracturePICK,saadhak,LOUD,727,2,1,0,0,0,0,0,0,0,51,0,0,2023-02-15,Champions Tour 2023: LOCK//IN São Paulo
