Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,Sayonara,VIT,https://www.vlr.gg/player/33902/sayonara,38%31%15%+1,310,1.17,227,1.18,74%,153.8,0.79,0.30,0.08,0.07,30%,30%,6/20,31,246,208,92,25,22
EMEA,marteen,M8,https://www.vlr.gg/player/10307/marteen,60%40%,95,1.15,242,1.18,71%,159.0,0.84,0.29,0.14,0.15,29%,10%,1/10,23,80,68,28,13,14
EMEA,Minny,M8,https://www.vlr.gg/player/23169/minny,80%20%,95,1.12,208,1.10,74%,143.6,0.73,0.28,0.09,0.07,28%,18%,3/17,19,69,63,27,9,7
EMEA,Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,40%20%20%+1,111,1.09,219,1.09,65%,138.8,0.78,0.15,0.14,0.09,39%,21%,4/19,31,87,80,17,16,10
EMEA,benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,55%30%15%,439,1.08,195,1.15,75%,127.9,0.73,0.25,0.05,0.07,33%,21%,10/48,25,320,279,111,21,30
EMEA,Chronicle,VIT,https://www.vlr.gg/player/458/chronicle,31%31%23%+1,310,1.07,212,1.18,73%,144.3,0.75,0.22,0.11,0.12,23%,9%,4/47,27,231,195,68,35,38
EMEA,Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,45%35%15%+1,439,1.07,229,1.14,75%,147.8,0.81,0.18,0.16,0.12,25%,4%,1/23,27,357,312,78,72,53
EMEA,Boo,TH,https://www.vlr.gg/player/1144/boo,55%15%15%+1,439,1.06,178,1.00,77%,115.4,0.62,0.50,0.06,0.05,33%,11%,8/76,21,270,271,218,28,24
EMEA,RieNs,TH,https://www.vlr.gg/player/10971/riens,55%45%,439,1.06,200,1.09,74%,136.0,0.71,0.25,0.05,0.06,34%,16%,8/51,24,312,285,110,22,28
EMEA,Jamppi,VIT,https://www.vlr.gg/player/9780/jamppi,38%31%31%,310,1.05,200,1.03,75%,129.1,0.69,0.46,0.08,0.08,23%,4%,1/24,25,215,209,142,26,24
