Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,tomaszy,KC,https://www.vlr.gg/player/19691/tomaszy,50%50%,85,0.76,162,0.72,68%,107.8,0.55,0.32,0.09,0.07,36%,0%,0/14,15,47,65,27,8,6
EMEA,ANGE1,NAVI,https://www.vlr.gg/player/109/ange1,50%50%,46,0.71,177,0.69,76%,131.9,0.59,0.33,0.04,0.15,29%,33%,1/3,15,27,39,15,2,7
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,85%15%,261,1.20,251,1.33,77%,164.9,0.88,0.21,0.17,0.07,21%,6%,1/17,24,229,172,54,44,18
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,54%46%,261,1.20,237,1.29,75%,154.5,0.85,0.25,0.23,0.13,27%,23%,3/13,25,223,173,66,59,34
Pacific,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,57%43%,301,1.19,246,1.24,77%,160.0,0.89,0.18,0.23,0.12,27%,16%,5/31,28,267,216,53,69,37
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,54%23%8%+2,261,1.13,204,1.16,82%,134.1,0.72,0.46,0.05,0.07,31%,0%,0/28,21,187,161,120,13,18
Pacific,invy,TS,https://www.vlr.gg/player/8504/invy,50%50%,44,1.10,216,0.97,75%,145.8,0.75,0.41,0.07,0.09,30%,17%,1/6,18,33,34,18,3,4
Pacific,Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,50%43%7%,301,1.09,200,1.04,73%,132.0,0.67,0.48,0.06,0.07,25%,23%,9/40,22,203,195,143,17,22
Pacific,Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,83%17%,127,1.08,203,1.13,72%,131.5,0.76,0.14,0.07,0.06,37%,19%,5/26,24,97,86,18,9,8
Pacific,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,50%33%17%,127,1.07,199,0.95,69%,130.9,0.69,0.37,0.05,0.07,23%,23%,5/22,19,88,93,47,6,9
Pacific,Karon,GEN,https://www.vlr.gg/player/34974/karon,57%21%14%+1,301,1.06,190,1.04,73%,123.4,0.68,0.45,0.07,0.09,29%,23%,7/30,25,204,196,136,21,28
Pacific,Crws,TLN,https://www.vlr.gg/player/3977/crws,33%33%33%,55,1.04,204,0.84,76%,135.4,0.67,0.38,0.07,0.04,27%,14%,1/7,23,37,44,21,4,2
Pacific,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,54%23%8%+2,261,1.03,190,1.07,77%,125.5,0.68,0.35,0.07,0.10,33%,20%,5/25,25,178,167,92,18,26
Pacific,Meteor,GEN,https://www.vlr.gg/player/13039/meteor,43%43%7%+1,301,1.02,222,1.05,68%,147.8,0.77,0.20,0.16,0.09,34%,6%,2/35,23,231,220,61,47,27
Pacific,Rossy,T1,https://www.vlr.gg/player/1129/rossy,50%30%10%+1,202,1.01,209,0.95,72%,131.7,0.72,0.42,0.06,0.08,28%,14%,4/29,22,146,153,84,12,16
Pacific,Jremy,TS,https://www.vlr.gg/player/7405/jremy,100%,44,1.01,247,0.94,73%,170.3,0.77,0.27,0.18,0.23,20%,0%,0/6,18,34,36,12,8,10
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,69%23%8%,261,0.96,178,1.05,74%,114.7,0.66,0.36,0.06,0.06,31%,6%,2/34,20,173,164,93,15,16
Pacific,Surf,TLN,https://www.vlr.gg/player/23062/surf,100%,33,0.96,213,0.82,70%,137.2,0.70,0.18,0.18,0.12,36%,0%,0/6,17,23,28,6,6,4
Pacific,xccurate,T1,https://www.vlr.gg/player/10816/xccurate,30%30%20%+2,202,0.95,200,0.98,67%,129.7,0.73,0.19,0.09,0.11,29%,12%,3/26,21,147,150,38,18,22
Pacific,carpe,T1,https://www.vlr.gg/player/31207/carpe,40%30%20%+1,202,0.95,177,0.91,74%,117.7,0.65,0.29,0.05,0.05,29%,6%,2/31,20,131,144,59,10,10
Pacific,Lakia,GEN,https://www.vlr.gg/player/773/lakia,43%21%14%+2,301,0.92,170,0.86,74%,120.4,0.58,0.33,0.05,0.06,25%,0%,0/25,19,174,202,98,14,19
Pacific,lenne,TLN,https://www.vlr.gg/player/8137/lenne,100%,22,0.91,163,0.65,82%,113.4,0.50,0.55,0.14,0.00,19%,0%,0/4,11,11,17,12,3,0
Pacific,JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,50%50%,44,0.90,180,0.85,59%,122.5,0.66,0.14,0.07,0.09,21%,17%,1/6,20,29,34,6,3,4
Pacific,MaKo,KRX,https://www.vlr.gg/player/4462/mako,83%17%,127,0.90,186,0.80,72%,128.8,0.63,0.33,0.06,0.10,32%,21%,3/14,18,80,100,42,7,13
Pacific,stax,KRX,https://www.vlr.gg/player/485/stax,67%17%17%,127,0.85,162,0.72,65%,103.8,0.53,0.54,0.09,0.16,30%,7%,1/14,14,67,93,68,12,20
Pacific,JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,67%33%,55,0.83,155,0.75,67%,99.9,0.55,0.36,0.05,0.16,27%,0%,0/7,18,30,40,20,3,9
Pacific,Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,60%20%10%+1,202,0.82,193,0.86,66%,127.9,0.66,0.13,0.14,0.20,26%,12%,2/17,25,134,155,27,29,41
Pacific,ban,TLN,https://www.vlr.gg/player/5129/ban,33%33%33%,55,0.82,176,0.83,55%,121.0,0.64,0.24,0.02,0.13,31%,0%,0/6,16,35,42,13,1,7
Pacific,iZu,T1,https://www.vlr.gg/player/29833/izu,60%20%10%+1,202,0.82,182,0.82,70%,116.6,0.64,0.28,0.07,0.14,24%,24%,5/21,20,129,158,56,15,29
Pacific,BORKUM,TS,https://www.vlr.gg/player/2333/borkum,100%,44,0.80,144,0.76,64%,89.0,0.57,0.27,0.05,0.05,27%,17%,1/6,14,25,33,12,2,2
Pacific,NDG,TS,https://www.vlr.gg/player/12322/ndg,50%50%,44,0.76,182,0.77,73%,126.3,0.61,0.23,0.14,0.05,24%,17%,1/6,17,27,35,10,6,2
Pacific,BuZz,KRX,https://www.vlr.gg/player/804/buzz,67%33%,127,0.75,185,0.79,62%,118.4,0.63,0.12,0.13,0.21,26%,0%,0/7,17,80,101,15,16,27
Pacific,Governor,TLN,https://www.vlr.gg/player/3980/governor,67%33%,55,0.72,166,0.73,64%,110.4,0.58,0.20,0.09,0.20,17%,0%,0/3,15,32,44,11,5,11
