Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,Ivy,NS,https://www.vlr.gg/player/31829/ivy,(+5),319,1.11,195.8,1.16,78%,124.4,0.73,0.35,0.07,0.05,30%,26%,12/47,35,232,200,112,22,16
Pacific,HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,,297,1.11,245.4,1.15,73%,165.5,0.86,0.16,0.22,0.13,28%,11%,2/18,29,255,221,49,65,40
Pacific,Francis,NS,https://www.vlr.gg/player/31828/francis,(+3),319,1.10,218.8,1.07,76%,144.7,0.74,0.39,0.08,0.08,23%,11%,4/38,23,235,219,126,24,24
Pacific,Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,,164,1.10,207.3,1.07,72%,139.0,0.70,0.28,0.10,0.09,24%,18%,4/22,19,115,107,46,17,14
Pacific,JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,,111,1.10,217.8,1.09,68%,155.5,0.78,0.23,0.07,0.06,36%,14%,3/22,22,87,80,25,8,7
Pacific,Persia,NS,https://www.vlr.gg/player/4122/persia,,319,1.09,191.2,1.06,78%,125.5,0.68,0.47,0.05,0.06,27%,22%,8/37,35,216,203,151,17,19
Pacific,JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,,217,1.09,190.2,1.08,73%,125.0,0.71,0.32,0.09,0.06,34%,20%,5/25,19,154,143,69,20,14
Pacific,Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,(+2),269,1.08,181.4,1.04,77%,122.0,0.64,0.46,0.06,0.07,31%,20%,8/41,28,173,166,125,17,18
Pacific,BuZz,T1,https://www.vlr.gg/player/804/buzz,,483,1.07,236.6,1.08,71%,154.8,0.81,0.21,0.21,0.16,19%,20%,7/35,28,391,362,101,100,76
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,,140,1.04,218.1,1.10,71%,143.6,0.77,0.16,0.14,0.16,20%,8%,1/12,21,108,98,23,20,22
Pacific,Dep,ZETA,https://www.vlr.gg/player/424/dep,,83,1.04,227.0,1.03,64%,135.2,0.78,0.19,0.14,0.19,28%,33%,2/6,21,65,63,16,12,16
Pacific,Famouz,BME,https://www.vlr.gg/player/2348/famouz,,123,1.04,230.5,1.07,72%,142.9,0.79,0.20,0.20,0.20,13%,15%,2/13,24,97,91,24,24,24
Pacific,Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,(+1),304,1.03,202.4,1.03,75%,130.3,0.67,0.37,0.10,0.09,24%,6%,2/31,22,205,199,113,30,26
Pacific,carpe,T1,https://www.vlr.gg/player/31207/carpe,,297,1.02,180.8,0.91,75%,117.9,0.63,0.54,0.06,0.05,34%,14%,6/43,19,187,206,159,19,16
Pacific,yoman,GEN,https://www.vlr.gg/player/25081/yoman,,304,1.00,172.1,1.00,74%,108.5,0.61,0.31,0.06,0.06,30%,6%,2/35,22,185,185,93,18,17
Pacific,Akame,DFM,https://www.vlr.gg/player/13002/akame,(+1),180,1.00,201.9,0.94,76%,129.5,0.68,0.32,0.11,0.08,31%,12%,2/17,24,123,131,58,19,14
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,(+3),140,1.00,194.0,0.99,79%,139.0,0.69,0.31,0.06,0.07,32%,13%,2/15,27,97,98,44,9,10
Pacific,dos9,BME,https://www.vlr.gg/player/16215/dos9,,123,1.00,180.2,0.90,78%,114.6,0.63,0.41,0.07,0.04,28%,13%,3/23,20,77,86,50,9,5
Pacific,iZu,T1,https://www.vlr.gg/player/29833/izu,(+4),483,1.00,183.5,1.02,72%,126.7,0.66,0.22,0.07,0.09,28%,10%,6/59,29,321,316,108,34,42
Pacific,Papi,GE,https://www.vlr.gg/player/13219/papi,,164,1.00,174.0,0.99,73%,112.8,0.63,0.32,0.08,0.04,39%,19%,5/27,16,103,104,52,13,7
Pacific,stax,T1,https://www.vlr.gg/player/485/stax,(+2),483,0.99,169.7,0.93,72%,116.8,0.60,0.39,0.06,0.06,26%,10%,6/62,28,292,314,190,27,29
Pacific,Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,(+1),269,0.99,187.9,1.02,72%,120.3,0.67,0.32,0.07,0.12,31%,23%,3/13,27,179,175,87,18,31
Pacific,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,,304,0.99,222.4,1.12,65%,141.8,0.82,0.13,0.18,0.23,24%,18%,3/17,35,248,222,41,56,69
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,,140,0.98,210.4,1.01,72%,131.3,0.74,0.22,0.16,0.14,22%,14%,3/22,21,103,102,31,22,20
Pacific,UdoTan,GE,https://www.vlr.gg/player/4428/udotan,,164,0.98,217.9,1.00,66%,138.5,0.76,0.13,0.13,0.20,26%,,0/8,23,125,125,22,22,32
Pacific,Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,,304,0.97,194.5,1.03,66%,125.3,0.69,0.16,0.08,0.08,34%,21%,7/33,23,211,204,48,25,25
Pacific,xffero,RRQ,https://www.vlr.gg/player/4871/xffero,,269,0.97,180.6,1.02,75%,121.3,0.66,0.25,0.09,0.09,27%,11%,4/35,31,177,173,68,23,23
Pacific,margaret,NS,https://www.vlr.gg/player/33576/margaret,(+1),319,0.96,180.7,0.96,72%,122.0,0.65,0.23,0.13,0.08,28%,8%,3/36,31,206,215,73,43,27
Pacific,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,(+1),297,0.95,159.9,0.88,75%,106.1,0.56,0.40,0.05,0.05,27%,9%,3/33,23,165,187,118,15,15
Pacific,Flashback,KRX,https://www.vlr.gg/player/35013/flashback,(+1),297,0.94,183.9,0.95,74%,121.8,0.63,0.25,0.08,0.11,24%,10%,4/39,22,188,197,74,25,34
Pacific,Sylvan,T1,https://www.vlr.gg/player/4056/sylvan,,186,0.93,176.3,0.87,76%,118.7,0.60,0.53,0.05,0.11,26%,25%,5/20,19,111,128,98,10,20
Pacific,Meteor,T1,https://www.vlr.gg/player/13039/meteor,(+3),483,0.93,203.2,0.97,66%,136.6,0.72,0.18,0.10,0.13,28%,9%,4/46,25,346,357,86,50,61
Pacific,Shiro,BME,https://www.vlr.gg/player/10739/shiro,,123,0.92,174.5,0.82,75%,114.0,0.59,0.46,0.12,0.10,20%,14%,1/7,18,72,88,57,15,12
Pacific,Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,(+1),180,0.92,169.6,0.92,70%,111.8,0.62,0.23,0.06,0.12,34%,13%,3/24,21,111,121,41,11,21
Pacific,gyen,DFM,https://www.vlr.gg/player/48577/gyen,,180,0.91,168.0,0.90,66%,110.1,0.61,0.28,0.08,0.07,27%,11%,3/27,27,110,122,51,14,13
