Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,Rb,TEC,https://www.vlr.gg/player/488/rb,(+1),297,,233.9,1.20,,,0.84,0.24,,,,,,29,250,209,70,0,0
CN,PangH,NOVA,https://www.vlr.gg/player/4727/pangh,,124,,156.3,0.69,,,0.54,0.13,,,,,,25,67,97,16,0,0
CN,o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,,124,,186.7,0.87,,,0.69,0.27,,,,,,23,86,99,34,0,0
CN,OBONE,NOVA,https://www.vlr.gg/player/36670/obone,,124,,162.8,0.75,,,0.56,0.34,,,,,,18,70,93,42,0,0
CN,cb,NOVA,https://www.vlr.gg/player/39697/cb,(+1),124,,173.7,0.73,,,0.56,0.38,,,,,,17,69,94,47,0,0
CN,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,,124,,243.3,1.03,,,0.82,0.22,,,,,,29,102,99,27,0,0
CN,stew,JDG,https://www.vlr.gg/player/16924/stew,,163,,265.9,1.32,,,0.93,0.18,,,,,,35,152,115,30,0,0
CN,Viva,JDG,https://www.vlr.gg/player/36415/viva,,163,,214.1,1.21,,,0.75,0.23,,,,,,22,122,101,38,0,0
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,(+1),163,,180.6,0.87,,,0.64,0.23,,,,,,21,104,120,38,0,0
CN,YiHao,JDG,https://www.vlr.gg/player/4320/yihao,(+1),163,,155.9,0.82,,,0.56,0.35,,,,,,22,91,111,57,0,0
CN,MarT1n,JDG,https://www.vlr.gg/player/36668/mart1n,,163,,199.1,0.93,,,0.67,0.13,,,,,,22,109,117,22,0,0
CN,QiuYe,TEC,https://www.vlr.gg/player/19531/qiuye,(+1),297,,166.4,0.74,,,0.57,0.30,,,,,,23,170,229,90,0,0
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,,211,,188.2,0.99,,,0.66,0.46,,,,,,20,139,140,97,0,0
