Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,Lmemore,RRQ,https://www.vlr.gg/player/7764/lmemore,,40,0.86,203.0,0.87,60%,131.4,0.68,0.30,0.13,0.08,34%,,0/2,15,27,31,12,5,3
EMEA,xms,KC,https://www.vlr.gg/player/4603/xms,,103,0.86,157.8,0.81,67%,108.4,0.54,0.24,0.08,0.05,28%,,0/11,17,56,69,25,8,5
Americas,saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,,380,0.85,192.2,0.82,72%,130.2,0.61,0.28,0.11,0.19,21%,25%,5/20,19,230,279,105,42,71
Americas,ambitioN,FUR,https://www.vlr.gg/player/1575/ambition,,76,0.85,190.7,0.87,64%,124.3,0.63,0.24,0.11,0.12,32%,22%,2/9,19,48,55,18,8,9
EMEA,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,,59,0.85,202.0,0.80,75%,128.8,0.66,0.34,0.02,0.10,31%,,0/5,16,39,49,20,1,6
Americas,mazin,FUR,https://www.vlr.gg/player/8872/mazin,,76,0.84,168.0,0.86,71%,98.9,0.58,0.39,0.07,0.07,35%,20%,1/5,17,44,51,30,5,5
Pacific,ban,T1,https://www.vlr.gg/player/5129/ban,,20,0.84,194.0,0.87,75%,117.6,0.65,0.10,0.10,0.00,18%,,0/5,13,13,15,2,2,0
Americas,RgLMeister,MIBR,https://www.vlr.gg/player/5351/rglmeister,,45,0.83,174.5,0.72,71%,110.6,0.51,0.62,0.04,0.07,18%,50%,2/4,12,23,32,28,2,3
Pacific,Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,,20,0.83,157.0,0.73,55%,100.6,0.55,0.45,0.00,0.25,18%,,0/2,11,11,15,9,0,5
Pacific,BORKUM,TS,https://www.vlr.gg/player/2333/borkum,,79,0.83,175.5,0.67,62%,109.2,0.53,0.54,0.05,0.11,21%,25%,2/8,14,42,63,43,4,9
Pacific,Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,,20,0.82,196.0,0.82,70%,136.6,0.70,0.00,0.25,0.25,50%,,0/1,14,14,17,0,5,5
Pacific,carpe,T1,https://www.vlr.gg/player/31207/carpe,,20,0.82,172.0,0.71,60%,115.4,0.60,0.20,0.00,0.00,28%,,0/2,12,12,17,4,0,0
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,,71,0.82,173.3,0.83,69%,114.1,0.62,0.15,0.07,0.06,31%,14%,2/14,16,44,53,11,5,4
Pacific,AYRIN,GE,https://www.vlr.gg/player/824/ayrin,,58,0.82,184.0,0.80,57%,112.8,0.62,0.12,0.07,0.07,21%,21%,3/14,15,36,45,7,4,4
Americas,nzr,LEV,https://www.vlr.gg/player/725/nzr,(+1),125,0.82,144.5,0.78,73%,98.2,0.49,0.31,0.06,0.03,20%,,0/16,12,61,78,39,7,4
Pacific,Jremy,TS,https://www.vlr.gg/player/7405/jremy,,79,0.82,163.0,0.78,66%,97.0,0.59,0.30,0.13,0.10,15%,29%,2/7,19,47,60,24,10,8
EMEA,SouhcNi,BBL,https://www.vlr.gg/player/556/souhcni,,60,0.82,154.3,0.77,67%,102.1,0.55,0.28,0.05,0.12,29%,,0/7,13,33,43,17,3,7
EMEA,AsLanM4shadoW,BBL,https://www.vlr.gg/player/1481/aslanm4shadow,,60,0.81,149.0,0.75,63%,107.4,0.55,0.13,0.03,0.07,23%,10%,1/10,15,33,44,8,2,4
EMEA,nizhaoTZH,FPX,https://www.vlr.gg/player/4880/nizhaotzh,,59,0.81,162.3,0.83,63%,89.4,0.59,0.27,0.07,0.08,23%,18%,2/11,14,35,42,16,4,5
Americas,Sacy,SEN,https://www.vlr.gg/player/659/sacy,,39,0.81,171.5,0.77,72%,112.7,0.62,0.26,0.08,0.15,36%,14%,1/7,13,24,31,10,3,6
CN,Haodong,EDG,https://www.vlr.gg/player/4720/haodong,,71,0.80,163.0,0.73,66%,113.1,0.52,0.34,0.08,0.07,26%,,0/7,17,37,51,24,6,5
EMEA,Sayf,TL,https://www.vlr.gg/player/312/sayf,,41,0.80,172.5,0.84,63%,115.2,0.63,0.22,0.07,0.02,26%,,0/6,18,26,31,9,3,1
Pacific,Dep,ZETA,https://www.vlr.gg/player/424/dep,,41,0.80,178.5,0.87,59%,113.5,0.63,0.10,0.10,0.24,34%,,0/3,15,26,30,4,4,10
Pacific,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,,38,0.79,210.0,0.74,61%,148.9,0.66,0.05,0.26,0.16,23%,25%,1/4,17,25,34,2,10,6
EMEA,BONECOLD,VIT,https://www.vlr.gg/player/3672/bonecold,(+1),104,0.78,151.2,0.68,72%,103.3,0.50,0.38,0.07,0.14,25%,,0/5,15,52,77,39,7,15
EMEA,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,,59,0.78,182.0,0.72,76%,122.8,0.58,0.39,0.12,0.19,28%,33%,1/3,17,34,47,23,7,11
EMEA,Boo,TH,https://www.vlr.gg/player/1144/boo,,42,0.77,125.0,0.66,71%,90.2,0.45,0.21,0.00,0.12,24%,10%,1/10,11,19,29,9,0,5
Pacific,Bazzi,GE,https://www.vlr.gg/player/805/bazzi,,58,0.77,168.7,0.64,74%,102.8,0.52,0.40,0.05,0.03,16%,,0/7,11,30,47,23,3,2
Pacific,eKo,GEN,https://www.vlr.gg/player/1960/eko,,48,0.76,158.0,0.69,69%,105.8,0.50,0.44,0.10,0.15,15%,,0/5,12,24,35,21,5,7
Pacific,DubsteP,TS,https://www.vlr.gg/player/2679/dubstep,,79,0.74,139.0,0.68,61%,100.3,0.49,0.16,0.10,0.13,24%,8%,1/13,14,39,57,13,8,10
Pacific,EJAY,RRQ,https://www.vlr.gg/player/7403/ejay,,16,0.74,189.0,0.71,69%,127.8,0.63,0.19,0.00,0.38,25%,,0/1,10,10,14,3,0,6
Americas,Melser,KRÜ,https://www.vlr.gg/player/1311/melser,,41,0.74,135.0,0.63,68%,86.1,0.49,0.27,0.07,0.15,34%,,0/8,13,20,32,11,3,6
Americas,axeddy,KRÜ,https://www.vlr.gg/player/2021/axeddy,,41,0.73,164.0,0.66,61%,103.9,0.51,0.37,0.05,0.10,21%,14%,1/7,12,21,32,15,2,4
