Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,slowly,TYL,https://www.vlr.gg/player/41739/slowly,(+2),281,1.37,250.4,1.32,79%,164.8,0.89,0.35,0.08,0.05,30%,,,28,249,188,99,14,10
CN,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,(+2),509,1.25,260.0,1.29,73%,168.8,0.91,0.17,0.21,0.18,33%,,,35,465,360,89,76,65
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,,577,1.21,264.4,1.28,73%,166.9,0.93,0.23,0.20,0.14,26%,,,29,538,421,130,97,66
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,(+1),424,1.19,203.1,1.15,74%,132.1,0.72,0.41,0.06,0.04,33%,,,27,307,267,175,20,14
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,(+1),409,1.17,236.6,1.29,72%,151.1,0.87,0.23,0.08,0.08,31%,,,30,356,277,94,30,30
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,,349,1.17,244.6,1.24,73%,154.7,0.88,0.19,0.25,0.12,27%,,,34,308,249,68,52,24
CN,rushia,BLG,https://www.vlr.gg/player/48878/rushia,(+1),577,1.13,200.0,1.07,78%,129.1,0.71,0.48,0.11,0.09,24%,,,28,410,383,275,55,45
CN,Scales,TYL,https://www.vlr.gg/player/39485/scales,,63,1.12,210.3,1.18,76%,142.9,0.75,0.46,0.14,0.17,42%,,,22,47,40,29,9,11
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+1),424,1.11,207.8,1.11,74%,141.8,0.74,0.22,0.07,0.05,29%,,,28,313,283,94,23,16
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,,577,1.09,196.1,1.06,75%,136.1,0.68,0.30,0.07,0.09,22%,,,26,395,373,175,35,42
CN,Rb,TEC,https://www.vlr.gg/player/488/rb,(+3),382,1.08,197.9,1.03,71%,131.8,0.73,0.28,0.07,0.06,29%,,,29,277,269,108,23,18
CN,stew,JDG,https://www.vlr.gg/player/16924/stew,(+3),257,1.08,217.9,1.05,72%,140.4,0.77,0.23,0.18,0.18,28%,,,24,198,188,59,31,31
