Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
EMEA,purp0,TL,https://www.vlr.gg/player/1885/purp0,50%50%,4,91,0.96,168,0.97,69%,120.0,0.62,0.12,1.25,0.05,0.04,36%,21%,3/14,16,56,58,11,5,4
EMEA,chloric,NAVI,https://www.vlr.gg/player/15639/chloric,73%27%,15,347,0.96,163,0.93,72%,108.3,0.57,0.31,0.94,0.04,0.05,20%,14%,8/58,18,198,212,107,15,16
EMEA,sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,63%25%13%,8,173,0.95,196,0.99,71%,117.3,0.69,0.32,2.11,0.11,0.05,24%,4%,1/23,21,120,121,56,19,9
EMEA,Boaster,FNC,https://www.vlr.gg/player/438/boaster,30%30%20%+1,10,218,0.94,177,0.90,70%,116.8,0.59,0.39,1.08,0.06,0.06,28%,11%,4/36,21,129,144,84,13,12
EMEA,Rosé,BBL,https://www.vlr.gg/player/5565/ros,50%50%,10,225,0.92,175,0.86,69%,119.6,0.61,0.30,0.81,0.06,0.07,24%,5%,1/21,22,138,161,67,13,16
EMEA,GLYPH,M8,https://www.vlr.gg/player/8286/glyph,80%20%,5,113,0.92,158,0.81,73%,102.4,0.51,0.53,0.42,0.04,0.11,22%,45%,5/11,17,58,72,60,5,12
EMEA,xeus,FUT,https://www.vlr.gg/player/12793/xeus,38%25%25%+1,8,173,0.92,197,0.95,75%,131.4,0.71,0.20,0.88,0.12,0.14,37%,13%,1/8,25,122,129,35,21,24
EMEA,KROSTALY,FUT,https://www.vlr.gg/player/15735/krostaly,63%38%,8,173,0.92,174,0.96,71%,114.9,0.62,0.26,0.83,0.06,0.07,28%,25%,4/16,17,107,112,45,10,12
EMEA,Izzy,EF,https://www.vlr.gg/player/10160/izzy,60%40%,5,123,0.90,204,0.98,64%,130.7,0.75,0.12,0.72,0.17,0.24,24%,25%,2/8,27,92,94,15,21,29
EMEA,ara,GX,https://www.vlr.gg/player/11332/ara,57%29%14%,7,135,0.89,188,0.89,69%,121.1,0.67,0.12,0.82,0.13,0.16,28%,18%,3/17,19,91,102,16,18,22
EMEA,NINJA,PCF,https://www.vlr.gg/player/28948/ninja,50%33%17%,6,139,0.89,165,0.86,68%,120.3,0.57,0.21,1.00,0.04,0.04,30%,18%,3/17,17,79,92,29,5,5
EMEA,Favian,EF,https://www.vlr.gg/player/41720/favian,40%20%20%+1,5,123,0.88,182,0.83,72%,117.7,0.59,0.29,0.40,0.05,0.12,22%,0%,0/8,18,73,88,36,6,15
EMEA,Cloud,GX,https://www.vlr.gg/player/4181/cloud,71%14%14%,7,135,0.87,183,0.83,61%,130.0,0.63,0.24,0.92,0.08,0.09,31%,0%,0/11,16,85,103,32,11,12
EMEA,ExiT,NAVI,https://www.vlr.gg/player/11917/exit,100%,15,347,0.87,209,0.90,70%,125.0,0.69,0.22,1.04,0.22,0.21,18%,0%,0/15,22,240,267,76,77,74
EMEA,grubinho,GX,https://www.vlr.gg/player/5550/grubinho,71%14%14%,7,135,0.86,159,0.76,67%,103.4,0.56,0.37,0.29,0.04,0.13,28%,11%,2/18,17,75,99,50,5,17
EMEA,Flickless,GX,https://www.vlr.gg/player/6959/flickless,43%29%14%+1,7,135,0.86,163,0.77,69%,110.5,0.56,0.32,0.69,0.08,0.12,27%,21%,3/14,21,75,98,43,11,16
EMEA,westside,GX,https://www.vlr.gg/player/34684/westside,43%29%14%+1,7,135,0.84,173,0.80,61%,117.2,0.60,0.13,1.56,0.10,0.07,43%,8%,2/25,15,81,101,17,14,9
EMEA,nekky,EF,https://www.vlr.gg/player/12670/nekky,60%20%20%,5,123,0.77,156,0.76,64%,106.8,0.57,0.19,0.88,0.06,0.07,22%,17%,4/24,25,70,92,23,7,8
EMEA,wayne,TL,https://www.vlr.gg/player/24628/wayne,75%25%,4,91,0.72,148,0.62,73%,97.7,0.48,0.44,0.22,0.02,0.10,32%,0%,0/10,14,44,71,40,2,9
EMEA,qpert,PCF,https://www.vlr.gg/player/7105/qpert,67%33%,6,139,0.63,108,0.49,68%,69.3,0.34,0.38,0.55,0.04,0.08,29%,6%,1/18,16,47,95,53,6,11
EMEA,GSR,TL,https://www.vlr.gg/player/50813/gsr,50%50%,2,44,0.44,102,0.39,59%,70.2,0.30,0.32,0.43,0.07,0.16,23%,0%,0/4,7,13,33,14,3,7
