Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,,358,1.07,210.1,1.10,72%,134.2,0.75,0.20,0.18,0.14,22%,12%,5/41,31,269,245,73,64,50
Americas,Ethan,EG,https://www.vlr.gg/player/11225/ethan,(+1),459,1.06,193.5,1.00,78%,125.4,0.66,0.58,0.07,0.08,21%,31%,14/45,24,303,303,265,34,36
Americas,C0M,EG,https://www.vlr.gg/player/619/c0m,,459,1.06,195.7,1.12,74%,126.5,0.72,0.31,0.07,0.07,21%,29%,20/69,28,330,294,144,32,30
CN,MaKo,KRX,https://www.vlr.gg/player/4462/mako,,283,1.06,190.5,0.97,73%,120.1,0.65,0.51,0.06,0.05,31%,20%,6/30,20,183,189,145,16,13
Americas,DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,,90,1.06,182.3,1.12,72%,130.2,0.64,0.17,0.07,0.04,23%,7%,1/14,21,58,52,15,6,4
CN,yosemite,BLG,https://www.vlr.gg/player/6022/yosemite,,237,1.05,207.7,1.04,73%,133.3,0.73,0.27,0.10,0.08,23%,19%,7/37,26,172,166,64,24,18
EMEA,Derke,FNC,https://www.vlr.gg/player/5022/derke,,270,1.04,218.4,1.14,66%,145.7,0.76,0.16,0.22,0.20,24%,20%,2/10,19,206,180,44,60,54
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,(+1),130,1.03,180.2,1.07,75%,117.4,0.68,0.41,0.07,0.05,28%,13%,1/8,23,88,82,53,7,5
CN,Zest,KRX,https://www.vlr.gg/player/772/zest,,283,1.02,200.9,0.98,67%,133.9,0.70,0.32,0.10,0.11,35%,21%,7/33,26,197,201,91,28,30
EMEA,Shao,NAVI,https://www.vlr.gg/player/384/shao,(+1),204,1.01,168.4,0.98,72%,115.1,0.62,0.34,0.06,0.05,32%,22%,8/36,24,126,129,70,12,11
Pacific,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,(+2),358,1.01,205.1,1.00,71%,139.5,0.72,0.34,0.10,0.12,26%,6%,2/36,30,256,255,121,37,42
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,(+1),358,1.01,226.4,1.05,65%,145.1,0.80,0.18,0.14,0.17,18%,13%,4/30,27,286,273,66,50,62
CN,BuZz,KRX,https://www.vlr.gg/player/804/buzz,,283,1.00,228.1,1.02,71%,146.7,0.78,0.19,0.21,0.19,22%,8%,1/13,27,221,216,54,60,55
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,(+1),358,1.00,164.7,0.97,72%,110.4,0.60,0.37,0.04,0.05,30%,20%,11/55,23,214,220,132,13,19
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,,358,1.00,234.1,1.02,72%,157.0,0.80,0.26,0.16,0.15,22%,6%,1/17,24,285,279,92,56,55
Americas,ardiis,NRG,https://www.vlr.gg/player/98/ardiis,,130,0.98,234.4,1.13,72%,147.8,0.82,0.25,0.19,0.14,22%,,0/9,27,106,94,32,19,14
Pacific,xeta,T1,https://www.vlr.gg/player/474/xeta,,129,0.98,187.7,0.94,71%,120.7,0.64,0.26,0.05,0.10,24%,19%,3/16,17,82,87,34,7,13
EMEA,qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,,216,0.98,192.9,0.94,72%,130.0,0.67,0.42,0.05,0.06,31%,8%,2/24,20,145,155,91,11,13
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,,358,0.98,198.3,0.93,72%,137.2,0.69,0.33,0.10,0.14,30%,18%,7/39,27,248,266,117,36,49
EMEA,AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,,216,0.98,196.7,0.88,70%,128.5,0.63,0.54,0.09,0.12,30%,14%,3/22,20,136,154,116,19,25
Americas,tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,(+1),515,0.98,163.1,0.96,75%,107.4,0.59,0.48,0.05,0.06,29%,19%,14/73,23,304,317,247,26,33
Americas,crashies,NRG,https://www.vlr.gg/player/4/crashies,,130,0.97,191.8,1.01,73%,123.2,0.69,0.34,0.03,0.05,29%,18%,3/17,20,90,89,44,3,5
EMEA,MOJJ,FUT,https://www.vlr.gg/player/3604/mojj,,216,0.97,192.8,0.93,67%,129.7,0.65,0.28,0.13,0.12,30%,20%,7/35,22,141,152,60,28,25
Pacific,Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,,129,0.97,211.7,0.93,64%,139.7,0.70,0.22,0.12,0.12,24%,8%,2/24,17,90,97,29,16,15
Pacific,Dep,ZETA,https://www.vlr.gg/player/424/dep,,79,0.96,253.7,1.08,61%,156.3,0.89,0.08,0.12,0.08,28%,,0/5,29,70,65,6,6,4
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,(+2),358,0.96,201.0,0.98,69%,134.8,0.73,0.22,0.09,0.09,30%,8%,3/40,25,261,265,77,34,34
CN,stax,KRX,https://www.vlr.gg/player/485/stax,(+1),283,0.95,175.9,0.92,68%,111.3,0.64,0.36,0.05,0.07,33%,17%,5/30,27,182,198,101,14,21
CN,Biank,BLG,https://www.vlr.gg/player/3021/biank,,237,0.95,188.5,0.89,71%,128.5,0.65,0.36,0.07,0.09,22%,16%,4/25,25,155,174,85,16,21
EMEA,rhyme,GIA,https://www.vlr.gg/player/10/rhyme,(+1),161,0.94,174.0,0.83,74%,113.9,0.58,0.54,0.04,0.08,32%,11%,2/18,20,94,113,87,6,13
EMEA,Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,,85,0.94,208.5,0.95,72%,133.8,0.71,0.16,0.07,0.12,31%,,0/8,18,60,63,14,6,10
EMEA,Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,,270,0.94,169.1,0.89,72%,113.1,0.58,0.43,0.07,0.05,23%,,0/18,17,156,176,116,20,14
Americas,saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,(+2),515,0.94,185.7,0.87,73%,120.1,0.60,0.49,0.10,0.12,19%,11%,5/47,21,310,355,252,53,64
EMEA,Boaster,FNC,https://www.vlr.gg/player/438/boaster,,270,0.94,177.6,0.90,72%,110.2,0.60,0.42,0.10,0.06,23%,39%,11/28,19,163,182,114,28,16
EMEA,nukkye,GIA,https://www.vlr.gg/player/3070/nukkye,,161,0.92,185.7,0.88,65%,131.2,0.65,0.19,0.06,0.06,21%,6%,2/31,22,105,119,31,10,10
EMEA,Yuicaw,FPX,https://www.vlr.gg/player/11218/yuicaw,,85,0.91,206.8,0.87,66%,129.1,0.69,0.15,0.19,0.16,29%,,0/6,18,59,68,13,16,14
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,(+1),237,0.90,188.8,0.91,70%,123.1,0.66,0.32,0.06,0.13,28%,13%,4/31,19,157,172,76,14,30
CN,Haodong,EDG,https://www.vlr.gg/player/4720/haodong,,358,0.89,168.4,0.83,74%,107.1,0.59,0.47,0.05,0.09,30%,18%,6/34,22,212,254,167,19,33
EMEA,Zyppan,NAVI,https://www.vlr.gg/player/11/zyppan,,204,0.89,198.3,0.88,69%,138.0,0.67,0.29,0.11,0.14,27%,15%,2/13,21,136,154,59,22,29
CN,Rb,KRX,https://www.vlr.gg/player/488/rb,,283,0.88,162.8,0.85,65%,113.5,0.58,0.16,0.08,0.08,23%,21%,12/57,23,163,191,45,23,24
Americas,Boostio,EG,https://www.vlr.gg/player/604/boostio,(+1),459,0.88,187.7,0.87,70%,128.7,0.63,0.26,0.11,0.11,23%,10%,4/41,26,291,335,119,51,52
EMEA,qw1,FUT,https://www.vlr.gg/player/10125/qw1,,216,0.86,190.6,0.93,64%,123.2,0.70,0.08,0.16,0.17,28%,12%,2/17,21,151,163,18,35,37
Pacific,ban,T1,https://www.vlr.gg/player/5129/ban,,129,0.86,176.3,0.82,66%,109.9,0.62,0.33,0.05,0.12,33%,11%,2/19,16,80,98,43,6,16
Americas,FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,,130,0.84,181.4,0.72,74%,122.5,0.52,0.41,0.10,0.10,16%,10%,1/10,16,67,93,53,10,10
Americas,NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,,90,0.79,149.5,0.72,61%,103.5,0.48,0.32,0.04,0.06,18%,,0/14,13,43,60,29,4,5
CN,DK,BLG,https://www.vlr.gg/player/3024/dk,,237,0.79,144.9,0.73,66%,91.9,0.51,0.34,0.05,0.07,23%,8%,2/24,16,122,167,81,12,17
EMEA,soulcas,TL,https://www.vlr.gg/player/101/soulcas,,92,0.79,134.8,0.76,65%,81.7,0.48,0.27,0.04,0.03,39%,6%,1/17,13,44,58,25,4,3
EMEA,ANGE1,NAVI,https://www.vlr.gg/player/109/ange1,,204,0.78,176.8,0.75,70%,117.7,0.59,0.44,0.10,0.14,26%,18%,2/11,24,120,161,89,21,29
EMEA,Jamppi,TL,https://www.vlr.gg/player/9780/jamppi,(+1),92,0.78,162.5,0.85,55%,108.4,0.61,0.07,0.13,0.20,21%,27%,3/11,22,56,66,6,12,18
EMEA,nizhaoTZH,FPX,https://www.vlr.gg/player/4880/nizhaotzh,,85,0.75,137.3,0.71,66%,95.2,0.49,0.27,0.06,0.07,37%,6%,1/16,17,42,59,23,5,6
EMEA,Redgar,TL,https://www.vlr.gg/player/1427/redgar,,92,0.74,162.8,0.69,68%,110.5,0.53,0.35,0.08,0.10,32%,,0/7,19,49,71,32,7,9
Americas,Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,,90,0.74,157.3,0.71,64%,106.6,0.54,0.28,0.07,0.18,31%,,0/3,14,49,69,25,6,16
Americas,Melser,KRÜ,https://www.vlr.gg/player/1311/melser,,90,0.69,145.5,0.64,69%,94.3,0.49,0.27,0.10,0.14,26%,,0/11,14,44,69,24,9,13
EMEA,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,,85,0.68,155.8,0.60,65%,106.1,0.47,0.34,0.12,0.13,37%,,0/7,13,40,67,29,10,11
Pacific,carpe,T1,https://www.vlr.gg/player/31207/carpe,(+1),129,0.68,149.8,0.68,60%,99.1,0.54,0.25,0.04,0.12,26%,33%,2/6,17,70,103,32,5,16
Pacific,TENNN,ZETA,https://www.vlr.gg/player/1395/tennn,,79,0.66,160.7,0.67,51%,111.8,0.56,0.11,0.08,0.25,18%,,0/7,16,44,66,9,4,13
Pacific,Laz,ZETA,https://www.vlr.gg/player/999/laz,,79,0.66,143.7,0.80,51%,84.8,0.61,0.14,0.06,0.22,26%,7%,1/14,20,48,60,11,3,11
Pacific,SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,,79,0.64,120.7,0.66,63%,72.8,0.48,0.30,0.02,0.12,20%,,0/4,17,38,58,24,1,6
Pacific,crow,ZETA,https://www.vlr.gg/player/1000/crow,,79,0.47,108.3,0.48,53%,73.1,0.37,0.29,0.02,0.04,16%,,0/7,13,29,61,23,1,2
