Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,Abo,TEC,https://www.vlr.gg/player/5011/abo,42%33%25%,12,266,,183,0.83,,,0.61,0.20,,,,,,,28,163,196,54,0,0
CN,BDRRR,XLG,https://www.vlr.gg/player/58012/bdrrr,50%50%,2,35,,98,0.38,,,0.34,0.17,,,,,,,8,12,32,6,0,0
CN,Coco,TEC,https://www.vlr.gg/player/47629/coco,92%8%,12,266,,200,1.07,,,0.72,0.22,,,,,,,25,192,180,58,0,0
CN,lucas,TEC,https://www.vlr.gg/player/19677/lucas,58%33%8%,12,266,,245,1.28,,,0.88,0.25,,,,,,,27,235,183,67,0,0
CN,Croudy,DRG,https://www.vlr.gg/player/49612/croudy,67%33%,3,72,,150,0.64,,,0.49,0.29,,,,,,,13,35,55,21,0,0
CN,Verse,DRG,https://www.vlr.gg/player/55817/verse,100%,3,72,,191,0.94,,,0.68,0.13,,,,,,,22,49,52,9,0,0
CN,Rachel,DRG,https://www.vlr.gg/player/58028/rachel,67%33%,3,72,,213,1.12,,,0.81,0.24,,,,,,,25,58,52,17,0,0
CN,T1an,DRG,https://www.vlr.gg/player/58001/t1an,67%33%,3,72,,209,1.00,,,0.72,0.31,,,,,,,19,52,52,22,0,0
CN,YiMingGuNai,DRG,https://www.vlr.gg/player/58002/yiminggunai,100%,3,72,,196,0.80,,,0.65,0.19,,,,,,,18,47,59,14,0,0
CN,cb,NOVA,https://www.vlr.gg/player/39697/cb,60%40%,5,89,,187,1.03,,,0.67,0.27,,,,,,,19,60,58,24,0,0
CN,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,40%20%20%+1,5,89,,212,1.28,,,0.78,0.24,,,,,,,19,69,54,21,0,0
CN,Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,80%20%,5,89,,237,1.27,,,0.84,0.46,,,,,,,19,75,59,41,0,0
CN,o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,60%40%,5,89,,134,0.63,,,0.44,0.37,,,,,,,13,39,62,33,0,0
CN,Maozi7,EDG,https://www.vlr.gg/player/41773/maozi7,100%,2,38,,199,0.91,,,0.76,0.18,,,,,,,23,29,32,7,0,0
CN,Natsu,EDG,https://www.vlr.gg/player/58004/natsu,100%,2,38,,149,0.63,,,0.50,0.08,,,,,,,10,19,30,3,0,0
CN,kodeth,NOVA,https://www.vlr.gg/player/39060/kodeth,40%20%20%+1,5,89,,213,1.02,,,0.73,0.20,,,,,,,22,65,64,18,0,0
CN,na1t,EDG,https://www.vlr.gg/player/58029/na1t,100%,2,38,,198,0.84,,,0.71,0.13,,,,,,,17,27,32,5,0,0
CN,xYU,EDG,https://www.vlr.gg/player/14443/xyu,100%,2,38,,156,0.59,,,0.45,0.24,,,,,,,9,17,29,9,0,0
CN,Knyzl,EDG,https://www.vlr.gg/player/58006/knyzl,50%50%,2,38,,112,0.56,,,0.39,0.29,,,,,,,11,15,27,11,0,0
CN,stew,JDG,https://www.vlr.gg/player/16924/stew,36%36%18%+1,11,214,,277,1.53,,,1.02,0.21,,,,,,,35,219,143,45,0,0
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,73%27%,11,214,,186,1.09,,,0.69,0.46,,,,,,,20,147,135,99,0,0
CN,Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,36%27%18%+2,11,214,,207,1.08,,,0.71,0.26,,,,,,,23,152,141,55,0,0
CN,Babyblue,JDG,https://www.vlr.gg/player/15302/babyblue,64%36%,11,214,,210,1.18,,,0.76,0.39,,,,,,,24,163,138,83,0,0
CN,kklin,JDG,https://www.vlr.gg/player/55828/kklin,36%36%18%+1,11,214,,209,1.10,,,0.73,0.27,,,,,,,23,157,143,57,0,0
CN,Tonk,XLG,https://www.vlr.gg/player/58008/tonk,50%50%,2,35,,132,0.47,,,0.43,0.26,,,,,,,10,15,32,9,0,0
CN,Krst1Ng,XLG,https://www.vlr.gg/player/58009/krst1ng,50%50%,2,35,,230,0.93,,,0.80,0.09,,,,,,,15,28,30,3,0,0
CN,Long,XLG,https://www.vlr.gg/player/58010/long,50%50%,2,35,,135,0.47,,,0.40,0.46,,,,,,,10,14,30,16,0,0
CN,Mentality,XLG,https://www.vlr.gg/player/54491/mentality,100%,2,35,,219,0.90,,,0.77,0.26,,,,,,,14,27,30,9,0,0
CN,Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,58%25%17%,12,266,,190,0.94,,,0.68,0.21,,,,,,,22,181,192,56,0,0
CN,Haodong,TEC,https://www.vlr.gg/player/4720/haodong,92%8%,12,266,,186,0.95,,,0.66,0.36,,,,,,,24,176,186,95,0,0
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,67%33%,9,191,,231,1.31,,,0.84,0.25,,,,,,,24,161,123,47,0,0
CN,Autumn,FPX,https://www.vlr.gg/player/872/autumn,33%22%11%+3,9,191,,239,1.17,,,0.84,0.21,,,,,,,22,161,138,41,0,0
CN,Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,75%25%,12,254,,202,1.08,,,0.73,0.19,,,,,,,21,186,173,48,0,0
CN,Juicy,WOL,https://www.vlr.gg/player/7426/juicy,42%33%25%,12,254,,225,1.05,,,0.79,0.17,,,,,,,29,200,191,44,0,0
CN,M1ng929,BLG,https://www.vlr.gg/player/56259/m1ng929,100%,3,66,,149,0.76,,,0.52,0.44,,,,,,,14,34,45,29,0,0
CN,DK,BLG,https://www.vlr.gg/player/3024/dk,67%33%,3,66,,122,0.67,,,0.44,0.29,,,,,,,13,29,43,19,0,0
CN,gin,BLG,https://www.vlr.gg/player/14254/gin,67%33%,3,66,,231,1.10,,,0.80,0.20,,,,,,,21,53,48,13,0,0
CN,Baibai,BLG,https://www.vlr.gg/player/56261/baibai,33%33%33%,3,66,,252,1.04,,,0.88,0.18,,,,,,,27,58,56,12,0,0
CN,bud,BLG,https://www.vlr.gg/player/56260/bud,67%33%,3,66,,188,0.90,,,0.65,0.20,,,,,,,19,43,48,13,0,0
CN,waituu,TYL,https://www.vlr.gg/player/47102/waituu,100%,3,61,,187,0.88,,,0.62,0.33,,,,,,,16,38,43,20,0,0
CN,slowly,TYL,https://www.vlr.gg/player/41739/slowly,33%33%33%,3,61,,214,0.93,,,0.70,0.28,,,,,,,17,43,46,17,0,0
CN,Scales,TYL,https://www.vlr.gg/player/39485/scales,67%33%,3,61,,205,1.10,,,0.72,0.33,,,,,,,17,44,40,20,0,0
CN,splash,TYL,https://www.vlr.gg/player/36685/splash,67%33%,3,61,,246,1.08,,,0.87,0.11,,,,,,,24,53,49,7,0,0
CN,sword9,TYL,https://www.vlr.gg/player/3049/sword9,67%33%,3,61,,131,0.72,,,0.51,0.10,,,,,,,19,31,43,6,0,0
CN,Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,33%25%25%+1,12,254,,211,0.94,,,0.69,0.52,,,,,,,21,175,187,132,0,0
CN,Spring,WOL,https://www.vlr.gg/player/14125/spring,25%25%25%+2,12,254,,228,1.19,,,0.82,0.31,,,,,,,31,209,176,79,0,0
CN,Life,FPX,https://www.vlr.gg/player/3028/life,56%11%11%+2,9,191,,162,0.75,,,0.58,0.17,,,,,,,23,110,146,33,0,0
CN,yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,67%22%11%,9,191,,188,0.98,,,0.64,0.31,,,,,,,18,123,126,59,0,0
CN,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,89%11%,9,191,,173,0.82,,,0.55,0.48,,,,,,,20,106,130,92,0,0
CN,Midi,TE,https://www.vlr.gg/player/37017/midi,67%33%,3,63,,152,0.93,,,0.63,0.14,,,,,,,21,40,43,9,0,0
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,100%,3,63,,254,1.11,,,0.83,0.30,,,,,,,18,52,47,19,0,0
CN,LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,100%,3,63,,171,0.78,,,0.57,0.40,,,,,,,13,36,46,25,0,0
CN,FKEY,TE,https://www.vlr.gg/player/51249/fkey,100%,3,63,,247,1.13,,,0.84,0.24,,,,,,,24,53,47,15,0,0
CN,MarT1n,TE,https://www.vlr.gg/player/36668/mart1n,67%33%,3,63,,183,1.00,,,0.65,0.24,,,,,,,17,41,41,15,0,0
CN,Zhubibi,AG,https://www.vlr.gg/player/58013/zhubibi,33%33%33%,3,65,,167,0.80,,,0.60,0.15,,,,,,,16,39,49,10,0,0
CN,Leav3u,AG,https://www.vlr.gg/player/58014/leav3u,67%33%,3,65,,155,0.74,,,0.57,0.29,,,,,,,17,37,50,19,0,0
CN,K1ra,AG,https://www.vlr.gg/player/46748/k1ra,33%33%33%,3,65,,229,1.16,,,0.78,0.25,,,,,,,21,51,44,16,0,0
CN,XcurlyHair,AG,https://www.vlr.gg/player/58015/xcurlyhair,100%,3,65,,154,0.65,,,0.49,0.58,,,,,,,12,32,49,38,0,0
CN,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,50%25%25%,12,254,,153,0.79,,,0.52,0.32,,,,,,,16,132,167,82,0,0
CN,Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,67%33%,3,65,,292,1.79,,,1.08,0.37,,,,,,,27,70,39,24,0,0
