Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,aspas,MIBR,https://www.vlr.gg/player/8480/aspas,(+1),330,1.33,261.6,1.66,79%,164.7,0.97,0.13,0.20,0.07,26%,8%,2/26,32,319,192,44,67,23
EMEA,RieNs,TH,https://www.vlr.gg/player/10971/riens,,256,1.17,226.1,1.14,73%,148.9,0.79,0.33,0.07,0.05,34%,20%,7/35,23,203,178,85,18,12
Americas,brawk,NRG,https://www.vlr.gg/player/2172/brawk,,377,1.16,224.6,1.17,76%,144.7,0.73,0.34,0.07,0.06,17%,9%,4/47,28,275,236,128,26,23
EMEA,kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,(+1),453,1.15,228.4,1.20,71%,148.2,0.82,0.20,0.21,0.13,32%,13%,4/30,30,372,311,90,95,59
Americas,johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,,126,1.14,187.0,1.13,79%,118.7,0.67,0.27,0.04,0.04,33%,9%,2/22,17,85,75,34,5,5
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,,119,1.13,206.0,1.09,77%,135.3,0.74,0.40,0.09,0.04,25%,17%,4/23,26,88,81,48,11,5
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,(+1),268,1.11,222.8,1.13,71%,151.5,0.79,0.26,0.11,0.09,21%,15%,5/33,30,213,188,69,30,24
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,,356,1.10,220.4,1.17,72%,141.0,0.79,0.26,0.16,0.13,25%,13%,5/38,28,281,240,94,57,48
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,,95,1.10,196.8,0.97,67%,135.4,0.68,0.28,0.08,0.09,26%,12%,2/17,20,65,67,27,8,9
Americas,skuba,NRG,https://www.vlr.gg/player/11118/skuba,(+1),377,1.09,190.1,1.17,76%,124.9,0.71,0.25,0.06,0.06,30%,21%,12/58,28,266,228,94,21,24
CN,SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,,98,1.08,237.0,1.03,79%,155.7,0.82,0.33,0.21,0.11,30%,,0/2,27,80,78,32,21,11
CN,NoMan,XLG,https://www.vlr.gg/player/11527/noman,(+3),157,1.08,221.4,1.18,73%,140.7,0.78,0.19,0.10,0.10,32%,5%,1/19,23,123,104,30,16,16
Americas,cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,(+1),330,1.08,196.4,1.27,75%,130.2,0.72,0.21,0.11,0.07,33%,8%,3/40,25,237,186,68,35,22
EMEA,Cloud,GX,https://www.vlr.gg/player/4181/cloud,,261,1.07,202.5,1.02,70%,135.2,0.69,0.33,0.07,0.06,29%,7%,3/43,23,179,176,85,18,16
EMEA,Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,(+1),453,1.07,204.2,1.07,70%,138.7,0.72,0.28,0.09,0.08,29%,7%,4/60,31,326,304,125,42,35
EMEA,Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,(+3),391,1.06,211.7,1.14,69%,141.3,0.76,0.18,0.14,0.10,34%,5%,2/40,25,299,263,72,53,41
Americas,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,,268,1.05,230.4,1.09,68%,141.7,0.80,0.20,0.20,0.14,28%,19%,6/31,28,214,196,54,53,38
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,,356,1.05,224.3,1.10,74%,146.0,0.78,0.24,0.12,0.13,22%,12%,3/25,28,278,252,84,43,47
Americas,Verno,MIBR,https://www.vlr.gg/player/21668/verno,,330,1.05,199.3,1.15,76%,129.3,0.67,0.33,0.10,0.06,25%,17%,4/24,22,220,191,110,32,19
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,119,1.04,237.4,1.08,62%,143.5,0.82,0.18,0.21,0.19,24%,,0/15,23,97,90,22,25,23
Pacific,iZu,T1,https://www.vlr.gg/player/29833/izu,,148,1.04,212.2,1.09,70%,124.8,0.76,0.15,0.14,0.10,26%,21%,4/19,22,113,104,22,21,15
Pacific,Meteor,T1,https://www.vlr.gg/player/13039/meteor,,148,1.04,219.0,0.96,68%,144.2,0.74,0.18,0.17,0.07,36%,11%,3/27,29,110,114,26,25,11
CN,Flashback,KRX,https://www.vlr.gg/player/35013/flashback,,477,1.04,223.2,1.12,66%,144.3,0.80,0.16,0.17,0.16,24%,10%,3/30,26,380,338,78,80,78
Americas,valyn,G2,https://www.vlr.gg/player/3885/valyn,,268,1.03,192.3,0.97,75%,124.1,0.65,0.37,0.09,0.07,26%,14%,3/21,21,173,179,100,24,20
Pacific,f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,,356,1.03,213.1,1.04,73%,135.5,0.75,0.42,0.09,0.12,31%,17%,5/29,28,266,257,149,31,44
EMEA,Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,(+2),256,1.03,209.9,1.05,71%,138.2,0.75,0.16,0.13,0.12,30%,26%,7/27,25,193,183,40,34,30
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,,157,1.03,216.4,1.06,70%,145.8,0.75,0.32,0.10,0.15,39%,10%,2/21,24,118,111,50,15,23
CN,HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,,477,1.02,212.7,1.11,68%,141.3,0.76,0.19,0.11,0.09,40%,6%,2/36,36,362,327,92,53,44
EMEA,nAts,TL,https://www.vlr.gg/player/457/nats,,148,1.02,194.4,1.06,69%,126.7,0.69,0.18,0.11,0.11,26%,19%,4/21,27,102,96,27,16,16
CN,MaKo,KRX,https://www.vlr.gg/player/4462/mako,,477,1.01,171.7,1.02,72%,108.9,0.61,0.37,0.08,0.09,25%,13%,9/68,21,291,284,177,36,42
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,,356,1.01,186.9,1.03,71%,127.3,0.67,0.26,0.05,0.09,27%,17%,9/54,20,238,230,93,19,31
CN,Viva,XLG,https://www.vlr.gg/player/36415/viva,,157,1.01,166.6,0.96,73%,119.6,0.60,0.29,0.06,0.07,34%,13%,3/24,23,94,98,46,10,11
EMEA,westside,GX,https://www.vlr.gg/player/34684/westside,,261,1.00,187.1,1.00,66%,121.3,0.69,0.19,0.09,0.10,41%,11%,4/35,20,181,181,49,23,27
Americas,mada,NRG,https://www.vlr.gg/player/5132/mada,(+2),377,1.00,214.2,1.06,66%,137.2,0.75,0.19,0.17,0.20,26%,15%,3/20,31,284,268,71,65,77
EMEA,crashies,FNC,https://www.vlr.gg/player/4/crashies,,453,1.00,179.5,0.97,71%,120.3,0.62,0.28,0.06,0.08,31%,14%,7/49,22,283,292,129,28,35
EMEA,keiko,TL,https://www.vlr.gg/player/11494/keiko,,148,1.00,200.3,0.94,70%,131.0,0.68,0.26,0.13,0.08,35%,14%,2/14,18,101,108,38,19,12
CN,Demon1,DRG,https://www.vlr.gg/player/26171/demon1,,98,1.00,174.8,1.02,73%,117.0,0.65,0.16,0.04,0.04,38%,10%,2/21,21,64,63,16,4,4
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,,119,0.99,171.0,0.97,69%,115.2,0.62,0.16,0.04,0.07,30%,27%,3/11,20,74,76,19,5,8
