Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,Proxh,M8,https://www.vlr.gg/player/45494/proxh,100%,53,1.05,177,1.19,77%,118.9,0.72,0.26,0.04,0.11,31%,33%,2/6,17,38,32,14,2,6
EMEA,bipo,M8,https://www.vlr.gg/player/18400/bipo,67%33%,53,1.01,195,1.09,74%,128.6,0.70,0.19,0.19,0.04,28%,0%,0/6,16,37,34,10,10,2
EMEA,Jesse,GX,https://www.vlr.gg/player/2653/jesse,50%50%,50,0.97,192,0.94,70%,138.5,0.66,0.30,0.06,0.10,26%,0%,0/5,17,33,35,15,3,5
EMEA,KROSTALY,FUT,https://www.vlr.gg/player/15735/krostaly,50%50%,41,0.95,181,0.93,76%,115.5,0.66,0.20,0.10,0.05,38%,50%,2/4,16,27,29,8,4,2
EMEA,chloric,NAVI,https://www.vlr.gg/player/15639/chloric,50%50%,41,0.93,173,0.96,80%,106.6,0.66,0.29,0.12,0.07,25%,25%,1/4,14,27,28,12,5,3
EMEA,xeus,FUT,https://www.vlr.gg/player/12793/xeus,50%50%,41,0.91,200,0.97,56%,140.4,0.73,0.07,0.02,0.10,35%,0%,0/5,18,30,31,3,1,4
EMEA,kamo,TL,https://www.vlr.gg/player/14681/kamo,100%,34,0.88,232,0.90,68%,148.5,0.82,0.21,0.09,0.24,34%,0%,0/3,18,28,31,7,3,8
EMEA,kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,100%,50,0.87,185,0.86,64%,128.8,0.64,0.16,0.14,0.12,38%,0%,0/4,17,32,37,8,7,6
EMEA,Boaster,FNC,https://www.vlr.gg/player/438/boaster,100%,50,0.86,157,0.88,76%,99.0,0.58,0.34,0.02,0.10,24%,0%,0/2,16,29,33,17,1,5
EMEA,starxo,M8,https://www.vlr.gg/player/565/starxo,67%33%,53,0.84,143,0.88,70%,95.4,0.53,0.21,0.09,0.04,32%,20%,1/5,14,28,32,11,5,2
EMEA,neT,GX,https://www.vlr.gg/player/6582/net,100%,50,0.83,163,0.73,66%,105.8,0.54,0.22,0.08,0.06,30%,14%,1/7,15,27,37,11,4,3
EMEA,sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,50%50%,41,0.79,186,0.79,61%,122.4,0.66,0.29,0.07,0.22,22%,17%,1/6,14,27,34,12,3,9
EMEA,Kicks,TL,https://www.vlr.gg/player/11134/kicks,50%50%,34,0.74,168,0.60,65%,112.5,0.53,0.24,0.00,0.06,28%,0%,0/10,9,18,30,8,0,2
EMEA,s0pp,FUT,https://www.vlr.gg/player/39357/s0pp,100%,41,0.74,175,0.62,63%,126.1,0.56,0.20,0.20,0.15,27%,0%,0/1,15,23,37,8,8,6
EMEA,purp0,TL,https://www.vlr.gg/player/1885/purp0,50%50%,34,0.72,145,0.69,56%,95.2,0.59,0.12,0.12,0.18,34%,29%,2/7,14,20,29,4,4,6
EMEA,trexx,TL,https://www.vlr.gg/player/2168/trexx,50%50%,34,0.71,162,0.55,65%,113.2,0.50,0.44,0.03,0.09,22%,0%,0/6,9,17,31,15,1,3
