Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Mixed,Kyu,SEN,https://www.vlr.gg/player/30470/kyu,67%33%,3,71,0.92,176,0.87,63%,122.3,0.56,0.30,0.30,0.04,0.14,20%,20%,1/5,21,40,46,21,3,10
Mixed,skuba,NRG,https://www.vlr.gg/player/11118/skuba,43%29%29%,7,139,0.91,174,0.89,77%,118.6,0.59,0.23,2.17,0.09,0.04,23%,10%,2/20,18,82,92,32,13,6
Mixed,Eggsterr,ENVY,https://www.vlr.gg/player/35302/eggsterr,100%,2,49,0.90,210,0.88,69%,131.4,0.73,0.24,0.27,0.06,0.22,27%,0%,0/4,20,36,41,12,3,11
Mixed,Yassien,RAAD,https://www.vlr.gg/player/20688/yassien,50%50%,2,45,0.89,195,0.79,67%,142.7,0.67,0.22,0.29,0.04,0.16,23%,20%,1/5,17,30,38,10,2,7
Mixed,kpro,BLX,https://www.vlr.gg/player/31058/kpro,50%50%,2,41,0.89,151,0.85,76%,100.6,0.54,0.29,,0.05,0.00,21%,0%,0/7,13,22,26,12,2,0
Mixed,Boaster,FNC,https://www.vlr.gg/player/438/boaster,75%25%,4,80,0.88,166,0.85,68%,112.9,0.59,0.34,1.67,0.06,0.04,29%,30%,3/10,18,47,55,27,5,3
Mixed,RamsZZ,BXLZ,https://www.vlr.gg/player/6115/ramszz,50%50%,2,42,0.88,167,0.83,76%,109.0,0.57,0.48,0.50,0.02,0.05,24%,0%,0/3,13,24,29,20,1,2
Mixed,Absol,ZETA,https://www.vlr.gg/player/34776/absol,50%33%17%,6,105,0.87,174,0.92,68%,115.2,0.63,0.18,1.08,0.12,0.11,20%,11%,1/9,25,66,72,19,13,12
Mixed,Kramz,FTC,https://www.vlr.gg/player/48984/kramz,67%33%,3,52,0.85,185,0.81,69%,117.9,0.65,0.29,0.14,0.02,0.13,24%,29%,2/7,18,34,42,15,1,7
Mixed,v1c,LUDWIG,https://www.vlr.gg/player/17433/v1c,67%17%17%,6,129,0.84,164,0.88,67%,103.5,0.57,0.33,0.62,0.06,0.10,24%,0%,0/15,16,73,83,42,8,13
Mixed,disisjohn,SGE,https://www.vlr.gg/player/12528/disisjohn,100%,3,67,0.83,169,0.81,66%,115.6,0.63,0.30,0.30,0.04,0.15,33%,0%,0/5,23,42,52,20,3,10
Mixed,Ali,RAAD,https://www.vlr.gg/player/9835/ali,50%50%,2,45,0.82,193,0.82,64%,124.5,0.69,0.29,1.33,0.18,0.13,24%,17%,1/6,16,31,38,13,8,6
Mixed,Shniider,RAAD,https://www.vlr.gg/player/14366/shniider,50%50%,2,45,0.82,197,0.81,62%,125.9,0.64,0.31,2.25,0.20,0.09,38%,25%,1/4,16,29,36,14,9,4
Mixed,kubfu,BNK,https://www.vlr.gg/player/36402/kubfu,100%,2,41,0.82,172,0.71,68%,125.3,0.54,0.22,0.50,0.05,0.10,28%,0%,0/3,12,22,31,9,2,4
Mixed,canezerra,ENVY,https://www.vlr.gg/player/36560/canezerra,50%50%,2,49,0.82,225,0.82,65%,138.1,0.73,0.20,0.63,0.10,0.16,19%,25%,1/4,20,36,44,10,5,8
Mixed,johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,33%33%33%,3,71,0.81,118,0.62,69%,84.6,0.39,0.28,3.00,0.04,0.01,24%,10%,1/10,11,28,45,20,3,1
Mixed,Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,33%33%33%,6,105,0.81,154,0.78,68%,104.3,0.54,0.21,0.70,0.07,0.10,26%,31%,4/13,15,57,73,22,7,10
Mixed,HoneyBunny,ZETA,https://www.vlr.gg/player/49906/honeybunny,50%33%17%,6,105,0.78,168,0.76,67%,105.2,0.57,0.16,1.00,0.10,0.10,30%,6%,1/17,16,60,79,17,10,10
Mixed,Inspire,ENVY,https://www.vlr.gg/player/53/inspire,50%50%,2,49,0.77,136,0.63,63%,107.4,0.45,0.20,0.75,0.06,0.08,30%,18%,2/11,19,22,35,10,3,4
Mixed,Shalaby,RAAD,https://www.vlr.gg/player/5639/shalaby,100%,2,45,0.76,143,0.65,69%,98.9,0.49,0.31,0.25,0.02,0.09,23%,20%,2/10,16,22,34,14,1,4
Mixed,Corsa,BNK,https://www.vlr.gg/player/45836/corsa,50%50%,2,41,0.76,178,0.72,56%,125.1,0.56,0.17,0.60,0.07,0.12,31%,0%,0/6,15,23,32,7,3,5
Mixed,tunaso,FTC,https://www.vlr.gg/player/50459/tunaso,67%33%,3,52,0.76,167,0.73,60%,110.8,0.58,0.12,0.88,0.13,0.15,34%,14%,1/7,11,30,41,6,7,8
Mixed,Kajuks,Klan,https://www.vlr.gg/player/15064/kajuks,100%,3,64,0.72,167,0.76,58%,113.0,0.58,0.13,0.60,0.14,0.23,26%,0%,0/1,15,37,49,8,9,15
Mixed,tarik,LUDWIG,https://www.vlr.gg/player/31376/tarik,100%,1,20,0.71,161,0.79,55%,99.4,0.55,0.00,6.00,0.30,0.05,43%,0%,0/2,11,11,14,0,6,1
Mixed,mrtnssj,FTC,https://www.vlr.gg/player/48864/mrtnssj,33%33%33%,3,52,0.71,155,0.65,56%,107.1,0.54,0.13,0.40,0.08,0.19,31%,0%,0/4,11,28,43,7,4,10
Mixed,ianto,BNK,https://www.vlr.gg/player/30901/ianto,50%50%,2,41,0.68,158,0.62,59%,101.0,0.51,0.29,3.00,0.07,0.02,20%,0%,0/9,15,21,34,12,3,1
Mixed,JohnieBoy,BXLZ,https://www.vlr.gg/player/4613/johnieboy,50%50%,2,42,0.66,143,0.56,64%,87.5,0.43,0.36,2.00,0.10,0.05,14%,0%,0/3,10,18,32,15,4,2
Mixed,Luca,FL,https://www.vlr.gg/player/37393/luca,50%50%,2,40,0.63,112,0.52,60%,78.9,0.35,0.18,0.50,0.03,0.05,19%,0%,0/6,10,14,27,7,1,2
Mixed,Ludwig,LUDWIG,https://www.vlr.gg/player/35084/ludwig,100%,1,20,0.60,142,0.63,75%,84.2,0.50,0.05,1.00,0.05,0.05,8%,0%,0/3,10,10,16,1,1,1
Mixed,YoWamu,FL,https://www.vlr.gg/player/34785/yowamu,100%,2,40,0.51,104,0.39,53%,76.9,0.33,0.28,0.20,0.03,0.13,35%,0%,0/1,10,13,33,11,1,5
Mixed,DH,T1,https://www.vlr.gg/player/43057/dh,67%33%,3,64,0.51,118,0.52,56%,89.3,0.42,0.17,0.55,0.09,0.17,33%,0%,0/8,13,27,52,11,6,11
Mixed,leadssj,FTC,https://www.vlr.gg/player/59095/leadssj,33%33%33%,3,52,0.46,128,0.50,42%,92.1,0.44,0.06,0.38,0.06,0.15,21%,14%,1/7,17,23,46,3,3,8
Mixed,Wezy,BLX,https://www.vlr.gg/player/10457/wezy,50%50%,2,41,0.45,133,0.49,71%,96.6,0.41,0.22,0.20,0.05,0.24,38%,0%,0/2,9,17,35,9,2,10
