Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
Pacific,something,PRX,https://www.vlr.gg/player/17086/something,56%22%22%,9,190,1.20,237,1.30,74%,152.4,0.86,0.24,1.52,0.17,0.11,31%,19%,4/21,27,163,125,46,32,21
Pacific,MaKo,KRX,https://www.vlr.gg/player/4462/mako,67%33%,9,195,1.18,220,1.23,73%,141.3,0.79,0.34,0.95,0.11,0.11,33%,15%,4/26,23,155,126,67,21,22
Pacific,Deryeon,GE,https://www.vlr.gg/player/9152/deryeon,80%20%,5,108,1.18,237,1.26,78%,151.2,0.86,0.20,2.60,0.12,0.05,31%,0%,0/14,25,93,74,22,13,5
Pacific,Kr1stal,GE,https://www.vlr.gg/player/5796/kr1stal,100%,5,108,1.16,222,1.07,77%,151.0,0.75,0.30,1.10,0.10,0.09,20%,25%,3/12,23,81,76,32,11,10
Pacific,BerserX,BME,https://www.vlr.gg/player/4874/berserx,67%33%,3,69,1.15,183,1.31,84%,128.5,0.68,0.13,5.00,0.07,0.01,25%,17%,2/12,22,47,36,9,5,1
Pacific,Dambi,NS,https://www.vlr.gg/player/31827/dambi,67%33%,3,65,1.14,237,1.13,72%,143.6,0.83,0.29,0.85,0.17,0.20,24%,25%,1/4,24,54,48,19,11,13
Pacific,Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,67%22%11%,9,190,1.11,228,1.21,73%,148.7,0.80,0.24,1.64,0.22,0.13,28%,11%,1/9,24,152,126,46,41,25
Pacific,invy,TS,https://www.vlr.gg/player/8504/invy,40%40%20%,5,105,1.11,241,1.14,71%,164.5,0.85,0.23,1.57,0.10,0.07,28%,0%,0/13,25,89,78,24,11,7
Pacific,yoman,GE,https://www.vlr.gg/player/25081/yoman,60%20%20%,5,108,1.08,193,1.03,78%,123.4,0.69,0.53,1.17,0.06,0.06,24%,16%,3/19,17,75,73,57,7,6
Pacific,iZu,T1,https://www.vlr.gg/player/29833/izu,33%33%33%,3,61,1.08,187,1.03,70%,121.5,0.67,0.18,0.67,0.03,0.05,28%,25%,2/8,21,41,40,11,2,3
Pacific,ZesBeeW,TS,https://www.vlr.gg/player/2380/zesbeew,60%40%,5,105,1.07,180,1.10,70%,112.2,0.70,0.26,0.50,0.03,0.06,28%,18%,4/22,20,74,67,27,3,6
Pacific,Persia,NS,https://www.vlr.gg/player/4122/persia,33%33%33%,3,65,1.05,192,0.90,69%,124.7,0.66,0.46,4.00,0.12,0.03,22%,0%,0/7,22,43,48,30,8,2
Pacific,primmie,TLN,https://www.vlr.gg/player/25255/primmie,67%33%,3,65,1.05,245,1.00,68%,160.6,0.80,0.15,1.43,0.15,0.11,31%,33%,1/3,19,52,52,10,10,7
Pacific,d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,33%22%22%+2,9,190,1.04,197,1.13,76%,130.6,0.71,0.29,1.40,0.07,0.05,29%,6%,1/17,23,135,119,55,14,10
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,44%44%11%,9,190,0.99,159,1.05,75%,103.7,0.61,0.27,0.44,0.04,0.08,32%,16%,4/25,16,115,110,52,7,16
Pacific,BuZz,T1,https://www.vlr.gg/player/804/buzz,33%33%33%,3,61,0.98,229,1.02,64%,137.5,0.80,0.15,1.09,0.20,0.18,26%,17%,1/6,18,49,48,9,12,11
Pacific,HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,56%33%11%,9,195,0.98,215,1.03,68%,147.3,0.75,0.18,0.90,0.13,0.15,33%,10%,1/10,30,146,142,35,26,29
Pacific,BeYN,KRX,https://www.vlr.gg/player/4678/beyn,67%22%11%,9,195,0.97,192,0.98,74%,123.6,0.63,0.24,1.15,0.08,0.07,25%,10%,2/21,19,123,125,46,15,13
Pacific,NcSlasher,BME,https://www.vlr.gg/player/7043/ncslasher,67%33%,3,69,0.96,175,1.07,67%,107.1,0.64,0.28,0.57,0.06,0.10,35%,33%,2/6,19,44,41,19,4,7
Pacific,kellyS,TS,https://www.vlr.gg/player/7437/kellys,40%40%20%,5,105,0.96,192,0.93,67%,129.0,0.68,0.26,1.00,0.10,0.10,30%,6%,1/18,18,71,76,27,11,11
Pacific,stax,T1,https://www.vlr.gg/player/485/stax,100%,3,61,0.95,210,0.96,74%,148.9,0.72,0.21,1.00,0.07,0.07,36%,18%,2/11,16,44,46,13,4,4
Pacific,free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,56%33%11%,9,195,0.95,187,0.98,70%,125.8,0.67,0.18,0.89,0.09,0.10,28%,8%,2/25,22,131,133,35,17,19
Pacific,JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,100%,3,65,0.94,206,0.96,66%,127.2,0.78,0.15,0.80,0.12,0.15,41%,19%,3/16,18,51,53,10,8,10
Pacific,Shiro,BME,https://www.vlr.gg/player/10739/shiro,33%33%33%,3,69,0.93,189,0.88,67%,127.5,0.61,0.33,1.40,0.10,0.07,23%,17%,1/6,16,42,48,23,7,5
Pacific,Ivy,NS,https://www.vlr.gg/player/31829/ivy,33%33%33%,3,65,0.92,175,0.89,62%,117.4,0.62,0.23,0.67,0.06,0.09,38%,0%,0/5,18,40,45,15,4,6
Pacific,Killua,TLN,https://www.vlr.gg/player/13784/killua,67%33%,3,65,0.91,181,0.84,72%,124.7,0.65,0.32,0.75,0.05,0.06,39%,10%,1/10,19,42,50,21,3,4
Pacific,Papi,GE,https://www.vlr.gg/player/13219/papi,80%20%,5,108,0.90,148,0.80,72%,99.6,0.51,0.44,0.70,0.06,0.09,22%,20%,3/15,19,55,69,47,7,10
Pacific,Famouz,BME,https://www.vlr.gg/player/2348/famouz,33%33%33%,3,69,0.85,171,0.85,65%,113.5,0.59,0.20,1.22,0.16,0.13,33%,0%,0/4,17,41,48,14,11,9
Pacific,UdoTan,GE,https://www.vlr.gg/player/4428/udotan,80%20%,5,108,0.84,190,0.88,67%,119.5,0.70,0.19,0.86,0.17,0.19,20%,50%,1/2,23,76,86,21,18,21
Pacific,Estrella,KRX,https://www.vlr.gg/player/25025/estrella,33%33%22%+1,9,195,0.83,156,0.84,70%,107.2,0.55,0.28,0.57,0.06,0.11,32%,15%,3/20,16,108,129,55,12,21
Pacific,Meteor,T1,https://www.vlr.gg/player/13039/meteor,33%33%33%,3,61,0.81,178,0.79,61%,123.8,0.62,0.18,2.40,0.20,0.08,35%,0%,0/4,16,38,48,11,12,5
Pacific,Francis,NS,https://www.vlr.gg/player/31828/francis,33%33%33%,3,65,0.79,158,0.69,65%,107.1,0.52,0.34,0.63,0.08,0.12,16%,0%,0/6,15,34,49,22,5,8
Pacific,n1zzy,TS,https://www.vlr.gg/player/14225/n1zzy,40%20%20%+1,5,105,0.75,158,0.71,66%,106.2,0.51,0.22,1.80,0.09,0.05,28%,38%,3/8,16,54,76,23,9,5
Pacific,Wild0reoo,TS,https://www.vlr.gg/player/9740/wild0reoo,60%20%20%,5,105,0.72,165,0.74,65%,105.2,0.58,0.19,0.56,0.14,0.26,22%,0%,0/2,17,61,82,20,15,27
Pacific,margaret,NS,https://www.vlr.gg/player/33576/margaret,67%33%,3,65,0.69,138,0.62,57%,97.3,0.45,0.17,0.33,0.03,0.09,26%,0%,0/13,11,29,47,11,2,6
Pacific,DH,T1,https://www.vlr.gg/player/43057/dh,100%,3,61,0.68,134,0.60,66%,94.7,0.44,0.38,0.14,0.02,0.11,37%,13%,1/8,11,27,45,23,1,7
Pacific,Crws,TLN,https://www.vlr.gg/player/3977/crws,67%33%,3,65,0.62,134,0.47,69%,102.5,0.40,0.34,0.25,0.03,0.12,23%,14%,1/7,12,26,55,22,2,8
Pacific,thyy,TLN,https://www.vlr.gg/player/42901/thyy,100%,3,65,0.61,131,0.58,58%,84.6,0.48,0.22,0.63,0.08,0.12,42%,22%,2/9,14,31,53,14,5,8
