MatchID,MapNum,WinnerOrg,Score,MatchName
183775,118926,FUR,13-11,Regular Season: Week 1
183775,118927,FUR,13-5,Regular Season: Week 1
183775,all,FUR,2-0,Regular Season: Week 1
183776,118929,LOUD,13-5,Regular Season: Week 1
183776,118930,MIBR,13-11,Regular Season: Week 1
183776,118931,LOUD,13-11,Regular Season: Week 1
183776,all,LOUD,2-1,Regular Season: Week 1
183777,118932,C9,13-11,Regular Season: Week 1
183777,118933,C9,13-9,Regular Season: Week 1
183777,all,C9,2-0,Regular Season: Week 1
183778,118935,LEV,13-11,Regular Season: Week 1
183778,118936,LEV,13-4,Regular Season: Week 1
183778,all,LEV,2-0,Regular Season: Week 1
183779,118938,C9,13-7,Regular Season: Week 2
183779,118939,LOUD,13-8,Regular Season: Week 2
183779,118940,LOUD,13-7,Regular Season: Week 2
183779,all,LOUD,2-1,Regular Season: Week 2
183780,118941,LEV,13-11,Regular Season: Week 2
183780,118942,FUR,13-5,Regular Season: Week 2
183780,118943,FUR,13-10,Regular Season: Week 2
183780,all,FUR,2-1,Regular Season: Week 2
183781,118944,NRG,13-10,Regular Season: Week 2
183781,118945,NRG,13-2,Regular Season: Week 2
183781,all,NRG,2-0,Regular Season: Week 2
183782,118947,KRÜ,13-9,Regular Season: Week 2
183782,118948,MIBR,13-11,Regular Season: Week 2
183782,118949,MIBR,14-12,Regular Season: Week 2
183782,all,MIBR,2-1,Regular Season: Week 2
183783,118950,100T,13-9,Regular Season: Week 2
183783,118951,100T,13-5,Regular Season: Week 2
183783,all,100T,2-0,Regular Season: Week 2
183785,118953,C9,13-7,Regular Season: Week 3
183785,118954,C9,14-12,Regular Season: Week 3
183785,all,C9,2-0,Regular Season: Week 3
183786,118956,MIBR,13-10,Regular Season: Week 3
183786,118957,NRG,16-14,Regular Season: Week 3
183786,118958,MIBR,16-14,Regular Season: Week 3
183786,all,MIBR,2-1,Regular Season: Week 3
183787,118959,LEV,14-12,Regular Season: Week 3
183787,118960,SEN,13-11,Regular Season: Week 3
183787,118961,LEV,13-4,Regular Season: Week 3
183787,all,LEV,2-1,Regular Season: Week 3
183788,118962,EG,13-11,Regular Season: Week 3
183788,118963,KRÜ,13-11,Regular Season: Week 3
183788,118964,EG,13-7,Regular Season: Week 3
183788,all,EG,2-1,Regular Season: Week 3
183789,118965,LOUD,13-9,Regular Season: Week 3
183789,118966,LOUD,13-4,Regular Season: Week 3
183789,all,LOUD,2-0,Regular Season: Week 3
183791,118968,SEN,13-6,Regular Season: Week 4
