Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,(+1),281,1.20,228.8,1.23,75%,148.0,0.81,0.38,0.09,0.06,25%,7%,3/44,24,227,184,106,25,17
EMEA,Sayonara,VIT,https://www.vlr.gg/player/33902/sayonara,(+1),534,1.13,222.3,1.17,73%,149.6,0.78,0.26,0.09,0.07,29%,23%,10/44,31,414,353,137,46,40
EMEA,marteen,M8,https://www.vlr.gg/player/10307/marteen,(+1),351,1.10,229.1,1.10,73%,151.6,0.78,0.29,0.13,0.14,26%,14%,5/36,26,274,250,103,46,48
EMEA,kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,,364,1.10,235.6,1.21,69%,152.1,0.86,0.16,0.18,0.15,31%,13%,3/24,28,312,258,57,65,56
EMEA,Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,(+4),364,1.10,225.6,1.16,69%,148.3,0.82,0.18,0.14,0.12,37%,17%,8/46,33,299,257,65,51,44
EMEA,hiro,NAVI,https://www.vlr.gg/player/29867/hiro,(+2),281,1.08,217.3,1.11,69%,146.4,0.76,0.22,0.06,0.09,31%,9%,3/33,22,214,193,63,16,25
EMEA,RieNs,TH,https://www.vlr.gg/player/10971/riens,,682,1.08,209.9,1.10,76%,138.3,0.73,0.30,0.06,0.06,35%,16%,12/74,29,500,456,206,43,40
EMEA,Favian,EF,https://www.vlr.gg/player/41720/favian,(+3),503,1.07,216.3,1.07,70%,146.9,0.77,0.26,0.10,0.10,27%,19%,8/42,27,385,359,133,49,49
EMEA,Flickless,GX,https://www.vlr.gg/player/6959/flickless,(+1),278,1.06,194.7,1.02,71%,134.5,0.67,0.33,0.08,0.08,27%,19%,6/31,24,187,184,93,21,22
EMEA,Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,(+2),682,1.06,224.3,1.11,74%,146.0,0.79,0.20,0.17,0.12,26%,11%,4/36,27,537,483,138,113,85
EMEA,yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,,497,1.06,182.8,1.06,72%,125.0,0.67,0.21,0.06,0.06,28%,17%,16/94,27,331,313,102,31,28
EMEA,Minny,M8,https://www.vlr.gg/player/23169/minny,(+1),351,1.06,189.2,1.03,71%,129.0,0.68,0.28,0.07,0.08,31%,14%,9/63,23,239,231,99,26,28
EMEA,Veqaj,FNC,https://www.vlr.gg/player/12928/veqaj,,161,1.06,213.7,1.08,75%,138.4,0.70,0.32,0.12,0.06,34%,8%,1/13,21,112,104,52,20,9
EMEA,purp0,TL,https://www.vlr.gg/player/1885/purp0,(+1),362,1.05,180.1,1.11,76%,120.3,0.67,0.23,0.06,0.05,39%,13%,6/47,26,244,219,84,22,19
EMEA,ara,GX,https://www.vlr.gg/player/11332/ara,,278,1.05,212.0,1.12,71%,132.4,0.77,0.17,0.17,0.15,28%,13%,4/32,25,215,192,46,46,43
EMEA,Boo,TH,https://www.vlr.gg/player/1144/boo,(+1),682,1.05,173.1,0.99,75%,111.1,0.60,0.45,0.06,0.06,33%,15%,19/124,21,407,411,307,44,43
EMEA,crashies,FNC,https://www.vlr.gg/player/4/crashies,,364,1.05,172.3,1.09,72%,114.1,0.63,0.32,0.05,0.05,28%,10%,5/52,24,228,210,117,20,17
EMEA,Jamppi,VIT,https://www.vlr.gg/player/9780/jamppi,,534,1.04,199.3,1.04,75%,125.4,0.69,0.40,0.08,0.08,27%,16%,9/55,25,370,357,213,45,42
EMEA,kamo,TL,https://www.vlr.gg/player/14681/kamo,,362,1.04,220.8,1.09,72%,147.5,0.78,0.25,0.13,0.09,31%,10%,2/21,23,281,257,89,48,32
EMEA,benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,(+1),682,1.04,189.0,1.08,75%,124.9,0.69,0.27,0.06,0.07,31%,22%,14/63,25,473,440,187,44,51
EMEA,MiniBoo,TL,https://www.vlr.gg/player/18350/miniboo,,362,1.03,213.5,1.10,67%,135.0,0.77,0.14,0.17,0.17,28%,24%,7/29,22,278,253,49,60,63
EMEA,Chronicle,VIT,https://www.vlr.gg/player/458/chronicle,(+2),534,1.03,201.5,1.11,72%,138.0,0.71,0.23,0.10,0.11,23%,11%,8/71,27,377,340,121,51,57
EMEA,Derke,VIT,https://www.vlr.gg/player/5022/derke,,534,1.02,219.7,1.09,72%,137.0,0.77,0.22,0.18,0.15,21%,20%,7/35,27,411,378,119,94,82
EMEA,s0pp,FUT,https://www.vlr.gg/player/39357/s0pp,,497,1.02,227.8,1.04,73%,147.4,0.80,0.24,0.23,0.16,24%,14%,5/36,31,397,382,120,113,80
EMEA,audaz,EF,https://www.vlr.gg/player/40843/audaz,,503,1.02,179.6,0.97,76%,117.6,0.64,0.39,0.06,0.05,35%,16%,12/77,19,323,332,194,28,24
EMEA,echo,EF,https://www.vlr.gg/player/49346/echo,,503,1.01,213.4,1.06,70%,138.3,0.77,0.20,0.13,0.12,33%,11%,5/45,25,385,363,103,64,62
