Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,(+2),438,0.90,172.4,0.88,71%,112.1,0.62,0.36,0.05,0.09,33%,,,22,273,312,156,24,41
CN,NoMan,XLG,https://www.vlr.gg/player/11527/noman,(+3),639,0.90,181.1,0.93,72%,115.6,0.63,0.27,0.10,0.13,29%,,,22,405,436,171,66,84
CN,swagzor,NOVA,https://www.vlr.gg/player/45492/swagzor,,207,0.89,213.8,0.92,68%,141.3,0.74,0.22,0.21,0.23,30%,,,26,154,168,45,43,47
CN,Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,(+2),438,0.89,189.5,0.86,67%,123.0,0.65,0.24,0.13,0.14,30%,,,26,283,329,105,57,60
CN,jowa,WOL,https://www.vlr.gg/player/19292/jowa,(+3),253,0.89,158.1,0.74,73%,107.3,0.53,0.40,0.07,0.09,31%,,,17,133,180,102,17,24
CN,Life,DRG,https://www.vlr.gg/player/3028/life,,581,0.87,204.1,0.89,69%,131.3,0.69,0.19,0.16,0.17,37%,,,26,400,449,112,91,98
CN,glacier,WOL,https://www.vlr.gg/player/49973/glacier,,253,0.87,206.3,0.85,69%,130.9,0.70,0.21,0.19,0.21,29%,,,19,176,208,53,48,53
CN,Haodong,TEC,https://www.vlr.gg/player/4720/haodong,(+2),425,0.87,169.7,0.86,70%,111.1,0.60,0.30,0.07,0.09,31%,,,19,255,297,128,28,39
CN,SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,(+1),253,0.86,152.6,0.78,69%,103.5,0.53,0.30,0.03,0.07,32%,,,23,134,172,75,8,17
CN,GuanG,NOVA,https://www.vlr.gg/player/41054/guang,(+3),207,0.86,166.2,0.84,65%,110.2,0.61,0.10,0.10,0.09,29%,,,21,126,150,20,20,18
CN,Ben1Ley,FPX,https://www.vlr.gg/player/55823/ben1ley,,262,0.85,187.1,0.89,67%,126.6,0.65,0.18,0.11,0.15,26%,,,23,170,191,47,26,36
CN,sword9,TYL,https://www.vlr.gg/player/3049/sword9,(+1),517,0.84,152.4,0.80,70%,105.2,0.53,0.28,0.04,0.06,23%,,,21,276,346,147,20,31
CN,Viva,TE,https://www.vlr.gg/player/36415/viva,(+1),406,0.83,163.3,0.76,71%,113.5,0.53,0.30,0.07,0.10,26%,,,18,217,286,123,24,35
CN,Bai,AG,https://www.vlr.gg/player/52101/bai,,124,0.80,179.5,0.78,71%,117.3,0.61,0.23,0.07,0.14,16%,,,18,76,97,29,9,17
CN,GREEN,NOVA,https://www.vlr.gg/player/34181/green,(+1),207,0.77,157.0,0.68,67%,105.4,0.51,0.29,0.06,0.07,31%,,,16,106,155,61,13,15
CN,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,,262,0.76,161.0,0.78,72%,133.7,0.55,0.39,0.06,0.11,25%,,,22,145,187,102,13,27
CN,Youze,AG,https://www.vlr.gg/player/46040/youze,,293,0.76,174.7,0.76,62%,109.7,0.59,0.22,0.12,0.18,21%,,,18,174,229,63,30,45
CN,Septem7,AG,https://www.vlr.gg/player/3031/septem7,,106,0.70,138.8,0.61,75%,90.8,0.46,0.30,0.08,0.09,26%,,,16,49,80,32,8,10
