Region,Player,Org,ProfileURL,Agents,Maps,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FK:FD,FKPR,FDPR,HS%,CL%,CL,KMAX,K,D,A,FK,FD
CN,Autumn,FPX,https://www.vlr.gg/player/872/autumn,39%26%17%+2,23,473,,240,1.23,,,0.85,0.17,,0.24,,,,,30,401,326,82,4,0
CN,B1ack,TEC,https://www.vlr.gg/player/30526/b1ack,63%25%13%,16,324,,191,0.95,,,0.65,0.35,,,,,,,23,211,222,113,0,0
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,39%35%22%+1,23,473,,215,1.23,,,0.77,0.31,,0.12,,,,,25,365,297,148,2,0
CN,Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,65%26%9%,23,473,,199,1.14,,,0.71,0.20,,0.18,,,,,28,334,292,96,3,0
CN,SWERL,RNG,https://www.vlr.gg/player/1209/swerl,62%38%,13,240,,229,1.00,,,0.87,0.21,,0.25,,,,,24,208,208,50,14,0
CN,Minimise,RNG,https://www.vlr.gg/player/5228/minimise,38%31%31%,13,240,,216,0.94,,,0.80,0.47,,0.25,,,,,23,191,204,113,15,0
CN,Xiaonuo,RNG,https://www.vlr.gg/player/17089/xiaonuo,85%8%8%,13,240,,193,0.95,,,0.73,0.51,,0.09,,,,,21,174,184,122,3,0
CN,HaTo,RNG,https://www.vlr.gg/player/36511/hato,54%38%8%,13,240,,168,0.81,,,0.61,0.24,,0.22,,,,,19,147,182,58,4,0
CN,maizi,DRG,https://www.vlr.gg/player/3517/maizi,60%20%20%,15,302,,206,1.18,,,0.75,0.25,,0.10,,,,,26,226,192,77,2,0
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,53%27%20%,15,302,,253,1.36,,,0.88,0.26,,0.12,,,,,31,266,195,79,11,0
CN,GuanG,RNG,https://www.vlr.gg/player/41054/guang,62%31%8%,13,240,,189,0.98,,,0.76,0.30,,0.16,,,,,23,183,187,72,7,0
CN,TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,60%40%,15,302,,217,1.00,,,0.76,0.15,,0.19,,,,,24,231,231,44,4,0
CN,Nicc,DRG,https://www.vlr.gg/player/11524/nicc,47%27%20%+1,15,302,,178,0.97,,,0.63,0.42,,0.05,,,,,26,191,196,126,1,0
CN,Shion7,DRG,https://www.vlr.gg/player/41774/shion7,71%21%7%,14,281,,192,0.93,,,0.66,0.36,,,,,,,21,186,199,100,0,0
CN,kawaii,TEC,https://www.vlr.gg/player/4778/kawaii,31%19%19%+3,16,324,,206,1.14,,,0.77,0.31,,0.12,,,,,24,248,217,100,5,0
CN,Abo,TEC,https://www.vlr.gg/player/5011/abo,50%25%13%+2,16,324,,218,1.18,,,0.84,0.12,,0.35,,,,,28,272,230,39,6,0
CN,QiuYe,TEC,https://www.vlr.gg/player/19531/qiuye,50%13%13%+3,16,324,,204,1.03,,,0.73,0.19,,0.23,,,,,21,238,232,61,10,0
CN,Yoyo,17,https://www.vlr.gg/player/11843/yoyo,83%8%8%,12,250,,225,1.09,,,0.80,0.19,,0.33,,,,,23,199,183,47,6,0
CN,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,39%30%13%+2,23,473,,207,1.09,,,0.71,0.41,,0.09,,,,,26,336,308,192,3,0
CN,LuXlis,17,https://www.vlr.gg/player/40610/luxlis,92%8%,12,250,,165,0.87,,,0.59,0.39,,,,,,,17,148,171,97,0,0
CN,Edge,JJH,https://www.vlr.gg/player/7128/edge,100%,1,23,,222,1.00,,,0.78,0.22,,0.13,,,,,18,18,18,5,3,0
CN,Biank,BLG,https://www.vlr.gg/player/3021/biank,45%27%18%+1,11,225,,256,1.43,,,0.91,0.28,,0.12,,,,,25,204,143,63,3,0
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,55%45%,11,225,,247,1.21,,,0.86,0.14,,0.22,,,,,23,193,159,32,5,0
CN,yosemite,BLG,https://www.vlr.gg/player/6022/yosemite,55%45%,11,225,,184,0.99,,,0.64,0.26,,0.06,,,,,22,143,145,58,1,0
CN,watasink,LGD,https://www.vlr.gg/player/1346/watasink,46%38%15%,13,280,,211,1.02,,,0.78,0.14,,0.22,,,,,30,217,212,40,21,0
CN,diseased,LGD,https://www.vlr.gg/player/7106/diseased,69%15%15%,13,280,,210,1.14,,,0.73,0.29,,0.09,,,,,24,205,180,82,7,0
CN,CHIMEI,LGD,https://www.vlr.gg/player/24302/chimei,100%,2,31,,86,0.21,,,0.19,0.16,,,,,,,4,6,29,5,0,0
CN,Kiuuuu,LGD,https://www.vlr.gg/player/24304/kiuuuu,85%15%,13,280,,162,0.76,,,0.58,0.25,,0.04,,,,,26,161,212,70,2,0
CN,eKo,TES,https://www.vlr.gg/player/1960/eko,56%25%13%+1,16,327,,224,1.20,,,0.79,0.26,,0.17,,,,,25,259,215,84,13,0
CN,coldfish,TES,https://www.vlr.gg/player/3020/coldfish,56%44%,16,327,,208,1.05,,,0.69,0.30,,0.11,,,,,23,224,213,98,4,0
CN,shameless,TEC,https://www.vlr.gg/player/40706/shameless,44%19%19%+1,16,324,,153,0.81,,,0.56,0.28,,,,,,,15,180,221,92,0,0
CN,jkuro,TES,https://www.vlr.gg/player/3519/jkuro,56%44%,16,327,,231,1.04,,,0.80,0.14,,0.16,,,,,29,261,251,47,13,0
CN,Sylvan,TES,https://www.vlr.gg/player/4056/sylvan,88%13%,16,327,,211,1.16,,,0.77,0.43,,0.05,,,,,23,251,216,142,2,0
CN,MrCANI,TES,https://www.vlr.gg/player/37674/mrcani,69%25%6%,16,327,,184,0.99,,,0.68,0.34,,0.11,,,,,24,221,223,111,4,0
CN,theDoctorr,17,https://www.vlr.gg/player/3480/thedoctorr,58%25%8%+1,12,250,,181,0.85,,,0.62,0.40,,0.04,,,,,23,155,183,101,1,0
CN,0n1y,17,https://www.vlr.gg/player/7860/0n1y,92%8%,12,250,,169,0.82,,,0.58,0.23,,,,,,,17,146,178,58,0,0
CN,deLb,17,https://www.vlr.gg/player/10821/delb,67%25%8%,12,250,,218,1.09,,,0.80,0.16,,0.21,,,,,28,200,184,41,7,0
CN,DK,BLG,https://www.vlr.gg/player/3024/dk,45%27%9%+2,11,225,,160,0.89,,,0.55,0.43,,,,,,,17,124,140,97,0,0
CN,Flex1n,TE,https://www.vlr.gg/player/4705/flex1n,82%9%9%,11,235,,164,0.92,,,0.58,0.44,,,,,,,22,137,149,103,0,0
CN,AK4777,SQM,https://www.vlr.gg/player/40998/ak4777,100%,1,24,,153,0.88,,,0.58,0.21,,0.00,,,,,14,14,16,5,0,0
CN,WsLeo,LGD,https://www.vlr.gg/player/24308/wsleo,54%31%8%+1,13,280,,197,0.92,,,0.66,0.40,,0.08,,,,,26,186,203,111,9,0
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,50%43%7%,14,307,,195,1.10,,,0.70,0.22,,,,,,,21,214,194,69,0,0
CN,FengF,TE,https://www.vlr.gg/player/4770/fengf,73%27%,11,235,,265,1.27,,,0.93,0.22,,,,,,,31,219,172,52,0,0
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,36%27%27%+1,11,235,,210,1.13,,,0.77,0.19,,,,,,,23,181,160,45,0,0
CN,YiHao,RA,https://www.vlr.gg/player/4320/yihao,50%30%20%,10,224,,211,1.22,,,0.76,0.35,,,,,,,25,170,139,79,0,0
CN,stew,RA,https://www.vlr.gg/player/16924/stew,80%20%,10,224,,250,1.27,,,0.88,0.13,,,,,,,25,196,154,30,0,0
CN,yoman,RA,https://www.vlr.gg/player/25081/yoman,40%30%20%+1,10,224,,170,0.94,,,0.60,0.33,,,,,,,21,134,143,74,0,0
CN,Viva,RA,https://www.vlr.gg/player/36415/viva,40%30%30%,10,224,,189,0.99,,,0.64,0.25,,,,,,,22,144,145,56,0,0
CN,monk,ASE,https://www.vlr.gg/player/14431/monk,89%11%,9,191,,188,1.06,,,0.70,0.43,,,,,,,23,134,126,83,0,0
CN,Life,ASE,https://www.vlr.gg/player/3028/life,67%33%,9,191,,226,1.01,,,0.77,0.17,,,,,,,24,147,145,32,0,0
CN,MarT1n,RA,https://www.vlr.gg/player/36668/mart1n,60%40%,10,224,,207,1.14,,,0.74,0.21,,,,,,,24,166,146,47,0,0
CN,zjc,ASE,https://www.vlr.gg/player/7135/zjc,33%33%33%,9,191,,191,0.95,,,0.66,0.35,,,,,,,21,127,133,66,0,0
CN,YHchen,ASE,https://www.vlr.gg/player/10486/yhchen,33%33%22%+1,9,191,,165,0.73,,,0.53,0.50,,,,,,,18,101,139,95,0,0
CN,Yuicaw,ASE,https://www.vlr.gg/player/11218/yuicaw,67%33%,9,191,,202,1.01,,,0.71,0.18,,,,,,,23,135,134,35,0,0
CN,nobody,EDG,https://www.vlr.gg/player/3017/nobody,50%29%21%,14,307,,170,0.82,,,0.56,0.36,,,,,,,22,172,211,111,0,0
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,43%29%14%+2,14,307,,232,1.14,,,0.85,0.14,,,,,,,32,262,230,42,0,0
CN,Haodong,EDG,https://www.vlr.gg/player/4720/haodong,71%14%7%+1,14,307,,177,0.94,,,0.63,0.38,,,,,,,26,193,206,117,0,0
