Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,trent,G2,https://www.vlr.gg/player/15500/trent,,663,1.24,212.6,1.29,79%,145.8,0.76,0.33,0.07,0.06,26%,27%,28/102,28,505,391,222,49,38
Americas,lukxo,LOUD,https://www.vlr.gg/player/28716/lukxo,(+1),203,1.23,270.4,1.34,67%,172.8,0.96,0.23,0.17,0.09,31%,31%,5/16,27,195,145,46,35,18
Americas,Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,(+2),408,1.23,235.4,1.31,74%,157.9,0.89,0.23,0.11,0.10,27%,15%,7/47,30,363,277,94,45,42
Americas,aspas,MIBR,https://www.vlr.gg/player/8480/aspas,,500,1.19,241.4,1.35,74%,152.3,0.87,0.14,0.19,0.15,27%,29%,12/41,30,436,323,69,97,74
Americas,Verno,MIBR,https://www.vlr.gg/player/21668/verno,,500,1.18,201.0,1.26,77%,136.7,0.71,0.29,0.05,0.05,25%,22%,16/73,22,355,281,146,26,24
Americas,johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,(+2),475,1.15,191.0,1.19,78%,128.1,0.69,0.42,0.04,0.05,25%,8%,6/76,22,327,275,199,21,22
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,(+2),475,1.15,243.1,1.23,73%,150.9,0.86,0.24,0.20,0.17,28%,24%,8/34,26,409,332,113,97,81
Americas,v1c,C9,https://www.vlr.gg/player/17433/v1c,(+1),367,1.15,203.4,1.14,77%,129.9,0.73,0.43,0.08,0.08,34%,16%,10/64,27,267,234,158,28,30
Americas,pANcada,LOUD,https://www.vlr.gg/player/683/pancada,(+1),307,1.15,214.9,1.14,75%,147.9,0.77,0.35,0.09,0.07,32%,8%,4/53,34,235,207,107,28,20
Americas,leaf,G2,https://www.vlr.gg/player/7873/leaf,(+1),663,1.14,236.0,1.19,74%,153.6,0.83,0.29,0.13,0.10,23%,11%,7/66,29,547,460,195,88,65
Americas,bang,SEN,https://www.vlr.gg/player/3880/bang,,475,1.13,212.7,1.18,76%,131.9,0.76,0.40,0.11,0.08,35%,29%,10/34,22,359,305,189,50,39
Americas,mada,NRG,https://www.vlr.gg/player/5132/mada,(+1),275,1.11,239.6,1.11,69%,159.6,0.82,0.22,0.23,0.20,25%,5%,1/20,26,225,202,61,64,54
Americas,keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,(+1),323,1.11,238.9,1.12,71%,153.4,0.84,0.25,0.24,0.15,23%,19%,5/27,25,271,242,80,76,50
Americas,Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,(+2),323,1.10,190.3,1.20,72%,130.2,0.73,0.19,0.07,0.06,25%,15%,7/48,26,236,197,62,23,19
Americas,s0m,NRG,https://www.vlr.gg/player/4164/s0m,(+1),275,1.09,202.8,1.08,80%,136.3,0.72,0.45,0.08,0.09,30%,11%,4/35,25,199,184,125,21,24
Americas,eeiu,100T,https://www.vlr.gg/player/796/eeiu,,408,1.08,189.8,1.03,76%,128.0,0.67,0.27,0.03,0.05,30%,15%,12/82,23,273,264,110,14,19
Americas,Zap,2G,https://www.vlr.gg/player/3169/zap,,45,1.07,205.0,1.10,71%,135.3,0.76,0.20,0.04,0.02,22%,22%,2/9,17,34,31,9,2,1
Americas,Ethan,NRG,https://www.vlr.gg/player/11225/ethan,(+1),275,1.07,200.4,1.01,77%,128.3,0.69,0.37,0.08,0.07,22%,17%,3/18,24,191,189,103,23,18
Americas,N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,(+3),475,1.07,205.4,1.03,76%,137.2,0.69,0.43,0.08,0.07,23%,14%,6/42,25,327,316,204,40,32
Americas,Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,(+1),367,1.07,206.4,1.09,73%,136.8,0.72,0.26,0.08,0.07,27%,26%,11/43,22,265,243,96,29,26
Americas,Demon1,LEV,https://www.vlr.gg/player/26171/demon1,(+3),229,1.05,209.2,1.06,72%,139.4,0.76,0.29,0.12,0.11,38%,11%,4/36,22,175,165,66,27,25
Americas,valyn,G2,https://www.vlr.gg/player/3885/valyn,(+1),663,1.05,200.9,1.08,76%,128.4,0.74,0.35,0.08,0.09,24%,17%,11/65,24,488,450,230,53,59
Americas,Mazino,KRÜ,https://www.vlr.gg/player/7603/mazino,(+1),323,1.05,212.8,1.01,77%,138.9,0.75,0.35,0.08,0.09,27%,12%,4/33,23,243,241,114,25,28
Americas,jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,,663,1.04,221.8,1.09,72%,138.8,0.78,0.23,0.17,0.15,23%,15%,6/41,27,514,471,150,116,102
Americas,yay,EG,https://www.vlr.gg/player/881/yay,(+3),401,1.02,224.2,1.04,68%,147.3,0.82,0.16,0.18,0.13,34%,15%,6/40,27,327,314,64,71,53
Americas,mitch,C9,https://www.vlr.gg/player/612/mitch,,367,1.01,188.4,0.95,74%,127.5,0.66,0.41,0.06,0.08,22%,30%,12/40,25,242,255,152,21,28
Americas,zander,100T,https://www.vlr.gg/player/8082/zander,(+1),408,1.00,185.1,0.93,76%,121.1,0.64,0.44,0.09,0.10,23%,17%,7/41,28,262,283,179,37,39
Americas,supamen,EG,https://www.vlr.gg/player/826/supamen,(+1),401,1.00,196.3,1.00,69%,127.9,0.70,0.28,0.06,0.08,37%,18%,12/65,23,280,281,114,25,32
Americas,brawk,NRG,https://www.vlr.gg/player/2172/brawk,,275,0.99,185.0,0.98,75%,126.7,0.67,0.31,0.04,0.07,19%,6%,2/35,19,183,186,84,12,18
Americas,OXY,C9,https://www.vlr.gg/player/18796/oxy,(+1),367,0.99,236.4,1.01,71%,150.8,0.82,0.19,0.21,0.19,27%,21%,3/14,27,300,297,69,78,70
Americas,xenom,MIBR,https://www.vlr.gg/player/20240/xenom,,500,0.99,183.1,1.07,73%,119.6,0.68,0.31,0.06,0.09,32%,16%,10/61,22,340,319,155,31,43
Americas,icy,EG,https://www.vlr.gg/player/8402/icy,(+2),401,0.99,220.3,1.03,72%,146.6,0.79,0.16,0.16,0.17,26%,23%,9/40,28,316,308,63,64,67
Americas,cortezia,MIBR,https://www.vlr.gg/player/5395/cortezia,(+1),500,0.98,196.4,1.05,71%,129.2,0.72,0.23,0.10,0.09,35%,14%,6/43,22,359,343,113,49,43
Americas,Derrek,EG,https://www.vlr.gg/player/1533/derrek,,401,0.98,182.6,0.95,73%,128.6,0.64,0.26,0.04,0.05,30%,17%,10/59,22,256,269,103,17,20
Americas,Melser,KRÜ,https://www.vlr.gg/player/1311/melser,(+1),323,0.96,177.9,0.89,76%,117.9,0.62,0.36,0.08,0.09,25%,11%,5/44,18,199,223,117,27,29
Americas,dgzin,LOUD,https://www.vlr.gg/player/8873/dgzin,(+2),307,0.95,215.1,1.00,68%,136.0,0.75,0.19,0.19,0.17,30%,5%,1/19,32,230,230,59,59,52
Americas,tex,LEV,https://www.vlr.gg/player/1818/tex,(+1),229,0.95,198.5,0.98,70%,132.1,0.69,0.18,0.11,0.10,38%,13%,4/31,23,159,163,41,26,24
Americas,lz,2G,https://www.vlr.gg/player/6195/lz,,234,0.94,193.4,0.96,75%,120.4,0.71,0.38,0.09,0.11,40%,25%,8/32,25,165,171,90,21,25
Americas,C0M,LEV,https://www.vlr.gg/player/619/c0m,,229,0.93,170.4,0.86,76%,117.9,0.59,0.28,0.04,0.05,25%,16%,5/31,21,135,157,65,10,11
Americas,Askia,2G,https://www.vlr.gg/player/20238/askia,,234,0.92,194.0,0.94,65%,134.0,0.69,0.15,0.15,0.16,32%,17%,4/24,20,161,171,35,35,37
Americas,JonahP,G2,https://www.vlr.gg/player/4581/jonahp,(+1),663,0.92,162.3,0.82,75%,103.3,0.54,0.52,0.07,0.07,19%,11%,8/75,19,359,440,345,45,48
Americas,Asuna,100T,https://www.vlr.gg/player/601/asuna,(+1),408,0.92,201.7,0.87,71%,135.2,0.68,0.29,0.17,0.18,24%,23%,5/22,21,278,318,119,69,74
Americas,NaturE,EG,https://www.vlr.gg/player/4927/nature,(+1),401,0.91,182.0,0.86,73%,118.1,0.62,0.41,0.05,0.07,23%,28%,11/39,20,250,292,166,22,30
Americas,cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,,307,0.90,178.3,0.87,68%,122.2,0.60,0.23,0.06,0.11,23%,22%,5/23,18,184,212,71,17,35
Americas,kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,(+2),229,0.89,189.1,0.89,69%,123.0,0.65,0.24,0.14,0.17,28%,16%,3/19,22,148,167,56,31,38
Americas,pryze,FUR,https://www.vlr.gg/player/662/pryze,,236,0.89,168.3,0.83,67%,114.6,0.59,0.22,0.03,0.07,27%,23%,9/40,23,140,168,52,7,16
Americas,tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,(+2),243,0.88,161.1,0.85,71%,110.7,0.56,0.35,0.05,0.05,30%,12%,6/50,16,137,162,85,11,13
Americas,adverso,KRÜ,https://www.vlr.gg/player/3826/adverso,,323,0.88,166.8,0.82,70%,116.8,0.56,0.26,0.06,0.08,20%,19%,5/26,18,181,220,85,19,27
Americas,Rossy,LEV,https://www.vlr.gg/player/1129/rossy,(+1),229,0.87,174.6,0.83,71%,115.1,0.62,0.37,0.06,0.10,29%,14%,3/22,19,143,173,85,13,23
Americas,Khalil,FUR,https://www.vlr.gg/player/1711/khalil,(+1),236,0.87,175.8,0.84,68%,116.4,0.62,0.21,0.06,0.10,27%,14%,5/35,23,147,176,50,15,24
Americas,Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,(+1),475,0.87,173.3,0.87,67%,114.5,0.59,0.26,0.08,0.11,24%,15%,7/48,21,281,322,122,40,54
Americas,gobera,2G,https://www.vlr.gg/player/14950/gobera,,234,0.86,177.7,0.86,66%,126.0,0.62,0.18,0.07,0.10,28%,3%,1/36,21,146,170,43,17,23
Americas,neT,C9,https://www.vlr.gg/player/6582/net,(+1),367,0.85,169.6,0.88,70%,107.3,0.61,0.19,0.08,0.08,29%,10%,4/41,23,223,252,68,28,28
Americas,PxS,2G,https://www.vlr.gg/player/13823/pxs,(+1),189,0.81,164.4,0.75,75%,105.9,0.56,0.40,0.08,0.11,28%,24%,7/29,16,106,141,76,15,21
Americas,silentzz,2G,https://www.vlr.gg/player/11921/silentzz,,234,0.81,188.5,0.82,66%,127.2,0.65,0.17,0.07,0.09,37%,9%,2/23,21,152,185,39,17,20
Americas,artzin,MIBR,https://www.vlr.gg/player/5957/artzin,,500,0.80,182.5,0.78,69%,118.6,0.60,0.39,0.10,0.12,23%,13%,4/32,22,299,383,197,52,61
Americas,heat,FUR,https://www.vlr.gg/player/8673/heat,(+2),236,0.80,166.4,0.81,61%,116.2,0.62,0.16,0.06,0.08,41%,12%,5/43,23,146,180,38,15,19
Americas,FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,,275,0.77,150.7,0.69,67%,104.4,0.49,0.28,0.07,0.09,19%,8%,4/49,15,135,196,78,18,24
Americas,Boostio,100T,https://www.vlr.gg/player/604/boostio,(+1),408,0.75,152.4,0.68,65%,103.7,0.52,0.27,0.08,0.09,30%,5%,2/41,24,211,309,111,31,38
Americas,havoc,FUR,https://www.vlr.gg/player/8706/havoc,(+1),236,0.73,184.6,0.78,60%,121.2,0.66,0.14,0.23,0.22,33%,,0/11,24,156,200,32,54,51
Americas,raafa,FUR,https://www.vlr.gg/player/25743/raafa,,236,0.66,136.0,0.60,66%,91.0,0.45,0.36,0.04,0.11,20%,8%,2/26,18,106,178,86,9,26
Americas,v1nny,LOUD,https://www.vlr.gg/player/1586/v1nny,,168,0.65,129.3,0.57,72%,85.8,0.44,0.45,0.02,0.09,28%,7%,1/15,15,74,130,76,4,15
EMEA,kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,(+1),489,1.24,249.9,1.38,76%,160.6,0.89,0.19,0.19,0.12,30%,10%,3/31,28,435,316,95,91,59
EMEA,marteen,KC,https://www.vlr.gg/player/10307/marteen,,326,1.22,245.3,1.31,74%,159.2,0.87,0.22,0.16,0.13,33%,28%,8/29,27,283,216,73,52,42
EMEA,SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,,326,1.11,195.3,1.20,77%,129.7,0.73,0.32,0.08,0.09,41%,8%,4/48,26,237,198,105,25,29
EMEA,sociablEE,BBL,https://www.vlr.gg/player/5568/sociablee,(+3),489,1.11,212.6,1.22,72%,142.4,0.79,0.20,0.09,0.07,26%,16%,10/64,40,385,316,97,41,33
EMEA,MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,(+1),447,1.10,241.0,1.20,72%,151.3,0.85,0.22,0.20,0.15,34%,32%,7/22,23,379,317,99,89,68
EMEA,keiko,TL,https://www.vlr.gg/player/11494/keiko,(+2),489,1.09,213.8,1.10,72%,141.6,0.77,0.24,0.11,0.07,39%,15%,7/48,25,377,343,116,54,35
EMEA,RieNs,TH,https://www.vlr.gg/player/10971/riens,(+1),447,1.09,207.1,1.13,78%,139.5,0.74,0.36,0.08,0.07,39%,16%,8/50,29,329,292,161,35,31
EMEA,PROFEK,BBL,https://www.vlr.gg/player/5554/profek,(+2),489,1.09,209.8,1.08,75%,136.7,0.74,0.43,0.08,0.06,27%,4%,2/47,37,361,334,208,37,30
EMEA,crashies,FNC,https://www.vlr.gg/player/4/crashies,,489,1.09,190.6,1.14,76%,128.8,0.68,0.32,0.05,0.06,33%,24%,13/54,26,334,294,158,26,29
EMEA,nAts,TL,https://www.vlr.gg/player/457/nats,,489,1.08,216.0,1.15,70%,141.8,0.77,0.22,0.14,0.09,26%,12%,7/58,23,376,328,106,68,44
EMEA,Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,(+3),447,1.08,222.0,1.16,73%,141.8,0.80,0.20,0.13,0.10,33%,22%,7/32,26,356,308,90,58,44
EMEA,CyvOph,VIT,https://www.vlr.gg/player/13258/cyvoph,(+1),277,1.07,209.5,1.06,71%,127.7,0.73,0.33,0.08,0.08,32%,6%,2/36,23,203,191,91,21,23
EMEA,Shao,NAVI,https://www.vlr.gg/player/384/shao,(+2),423,1.07,194.7,1.07,75%,133.7,0.69,0.26,0.06,0.05,33%,18%,12/68,26,291,271,108,25,23
EMEA,florescent,APK,https://www.vlr.gg/player/17976/florescent,(+1),255,1.07,235.8,1.11,67%,151.7,0.85,0.20,0.16,0.16,35%,8%,2/24,27,216,195,51,41,40
EMEA,kamyk,M8,https://www.vlr.gg/player/1475/kamyk,(+1),285,1.07,205.2,1.04,72%,141.0,0.76,0.32,0.05,0.07,34%,11%,4/36,34,218,210,92,14,21
EMEA,Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,(+1),423,1.06,210.4,1.05,76%,136.6,0.73,0.34,0.10,0.10,32%,12%,6/51,29,308,292,145,44,44
EMEA,Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,(+2),489,1.06,203.8,1.10,76%,131.1,0.70,0.31,0.10,0.09,23%,5%,3/55,25,341,309,153,49,43
EMEA,MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,(+1),433,1.05,186.1,0.94,70%,126.0,0.63,0.39,0.09,0.09,23%,11%,6/57,38,273,290,171,35,36
EMEA,benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,(+1),447,1.05,197.5,1.15,74%,133.9,0.74,0.17,0.07,0.06,38%,16%,10/64,26,329,287,77,31,27
EMEA,Minny,M8,https://www.vlr.gg/player/23169/minny,(+1),285,1.05,190.7,1.02,68%,131.3,0.69,0.17,0.09,0.08,35%,10%,5/48,25,198,194,48,26,22
EMEA,ara,GX,https://www.vlr.gg/player/11332/ara,,106,1.04,229.8,1.09,77%,146.7,0.80,0.15,0.20,0.16,24%,,0/11,22,85,78,16,21,17
EMEA,Avez,KC,https://www.vlr.gg/player/5654/avez,(+2),326,1.03,204.4,1.07,71%,132.9,0.70,0.26,0.07,0.12,32%,12%,3/25,25,229,215,86,22,38
EMEA,soulcas,MKOI,https://www.vlr.gg/player/101/soulcas,,230,1.03,190.6,1.00,73%,127.7,0.70,0.20,0.07,0.03,35%,16%,5/31,23,160,160,45,16,7
EMEA,LewN,BBL,https://www.vlr.gg/player/20144/lewn,(+2),489,1.03,221.0,1.10,70%,148.4,0.79,0.18,0.20,0.18,32%,19%,6/31,42,384,349,87,92,85
EMEA,MAGNUM,BBL,https://www.vlr.gg/player/2173/magnum,(+4),489,1.03,197.1,1.05,74%,127.4,0.71,0.31,0.10,0.09,23%,15%,7/48,38,346,328,152,45,40
EMEA,yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,(+2),433,1.03,189.5,1.07,69%,130.6,0.71,0.24,0.09,0.09,23%,8%,5/63,38,308,288,105,37,36
EMEA,Cloud,GX,https://www.vlr.gg/player/4181/cloud,(+1),259,1.02,206.8,1.02,72%,137.2,0.76,0.24,0.11,0.10,28%,3%,1/35,23,198,194,61,29,26
EMEA,hiro,NAVI,https://www.vlr.gg/player/29867/hiro,(+1),423,1.01,202.9,1.08,68%,135.7,0.74,0.18,0.06,0.10,31%,14%,6/42,26,315,292,75,27,44
EMEA,xeus,FUT,https://www.vlr.gg/player/12793/xeus,(+2),433,1.00,233.0,1.08,67%,144.6,0.83,0.15,0.20,0.18,39%,4%,1/23,33,359,333,66,82,75
EMEA,Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,(+2),489,0.99,213.4,1.08,70%,142.7,0.77,0.16,0.12,0.10,30%,19%,8/43,26,378,350,79,61,51
EMEA,MOLSI,APK,https://www.vlr.gg/player/1281/molsi,,255,0.99,194.4,0.97,72%,125.6,0.69,0.35,0.06,0.08,29%,8%,3/36,25,177,183,89,16,20
EMEA,koalanoob,NAVI,https://www.vlr.gg/player/3722/koalanoob,(+1),423,0.99,210.3,1.00,70%,133.8,0.72,0.20,0.19,0.14,21%,9%,3/35,24,306,307,86,81,59
EMEA,AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,(+1),433,0.99,184.9,0.89,72%,120.7,0.64,0.46,0.07,0.07,31%,20%,9/44,31,276,309,200,29,28
EMEA,Jamppi,BBL,https://www.vlr.gg/player/9780/jamppi,(+1),489,0.98,180.8,0.96,73%,115.1,0.64,0.40,0.05,0.08,23%,13%,7/54,20,313,325,195,25,37
EMEA,westside,GX,https://www.vlr.gg/player/34684/westside,,259,0.97,192.2,0.99,66%,124.3,0.72,0.19,0.07,0.08,42%,7%,3/42,23,186,187,48,19,20
EMEA,Kicks,VIT,https://www.vlr.gg/player/11134/kicks,(+1),277,0.97,167.6,0.88,71%,110.0,0.60,0.43,0.04,0.09,23%,21%,6/29,26,165,188,118,10,24
EMEA,Boo,TH,https://www.vlr.gg/player/1144/boo,(+1),447,0.96,163.9,0.92,76%,103.6,0.57,0.40,0.08,0.06,33%,13%,8/62,23,255,277,177,37,26
