Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
CN,happywei,XLG,https://www.vlr.gg/player/37927/happywei,,293,1.33,239.0,1.49,77%,156.1,0.86,0.37,0.08,0.05,34%,,,25,252,169,109,24,15
CN,Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,,357,1.21,210.0,1.05,73%,146.2,0.71,0.29,0.11,0.07,29%,,,21,255,243,105,26,17
CN,AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,,141,1.20,200.4,1.07,62%,147.3,0.76,0.06,0.06,0.05,35%,,,26,107,100,8,7,5
CN,vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,,291,1.19,219.9,1.25,71%,143.9,0.78,0.18,0.05,0.03,27%,,,29,228,182,51,16,8
CN,Shr1mp,AG,https://www.vlr.gg/player/25494/shr1mp,,264,1.15,203.9,1.14,72%,130.9,0.72,0.25,0.08,0.03,30%,,,24,191,167,66,17,6
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+2),400,1.14,202.2,1.15,74%,138.1,0.73,0.26,0.08,0.05,30%,,,23,292,254,104,29,18
CN,BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,,141,1.12,167.9,0.79,72%,119.7,0.58,0.35,0.07,0.13,36%,,,20,82,104,49,8,14
CN,f4ngeer,AG,https://www.vlr.gg/player/21216/f4ngeer,,264,1.11,230.7,1.28,72%,142.2,0.84,0.17,0.21,0.15,33%,,,35,222,173,45,46,33
CN,whzy,BLG,https://www.vlr.gg/player/4885/whzy,(+1),435,1.11,233.5,1.11,75%,149.0,0.82,0.22,0.17,0.16,25%,,,40,357,322,96,74,68
CN,splash,TYL,https://www.vlr.gg/player/36685/splash,(+1),348,1.09,251.4,1.16,69%,157.5,0.88,0.23,0.18,0.17,29%,,,28,307,264,80,56,52
CN,Erv,TYL,https://www.vlr.gg/player/55085/erv,,348,1.08,202.4,1.10,73%,124.3,0.72,0.44,0.06,0.07,32%,,,24,250,227,152,20,21
CN,deLb,TE,https://www.vlr.gg/player/10821/delb,(+1),277,1.07,215.9,1.05,69%,151.9,0.76,0.20,0.15,0.11,39%,,,26,210,200,55,33,24
CN,K1ra,AG,https://www.vlr.gg/player/46748/k1ra,(+1),264,1.07,212.1,1.13,71%,137.1,0.75,0.31,0.10,0.14,27%,,,31,197,175,83,22,29
CN,Rarga,XLG,https://www.vlr.gg/player/22047/rarga,,293,1.05,237.4,1.22,74%,148.8,0.85,0.14,0.16,0.13,35%,,,25,248,203,41,48,38
CN,iamgrq,AG,https://www.vlr.gg/player/58959/iamgrq,,264,1.05,195.3,1.04,75%,130.0,0.69,0.36,0.07,0.07,24%,,,29,181,174,95,14,16
CN,Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,,293,1.04,188.8,1.09,78%,121.2,0.67,0.30,0.05,0.04,21%,,,21,196,180,89,16,11
CN,rushia,BLG,https://www.vlr.gg/player/48878/rushia,,435,1.04,201.5,1.05,71%,131.4,0.70,0.25,0.12,0.11,25%,,,26,306,292,109,51,47
CN,Haodong,TEC,https://www.vlr.gg/player/4720/haodong,(+1),255,1.04,177.5,0.99,72%,118.4,0.64,0.35,0.07,0.07,28%,,,25,163,164,90,13,14
CN,yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,(+1),289,1.03,215.9,0.99,67%,151.6,0.74,0.22,0.10,0.11,28%,,,30,213,215,64,22,25
CN,Scales,TYL,https://www.vlr.gg/player/39485/scales,,348,1.03,196.5,1.07,70%,129.9,0.69,0.21,0.09,0.06,35%,,,22,240,224,73,28,20
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,,400,1.02,190.8,1.03,72%,119.5,0.68,0.37,0.06,0.06,35%,,,27,271,263,149,20,22
CN,Knight,BLG,https://www.vlr.gg/player/4774/knight,,234,1.02,177.8,1.06,72%,123.1,0.63,0.25,0.06,0.09,25%,,,20,148,140,59,13,21
CN,OBONE,NOVA,https://www.vlr.gg/player/36670/obone,,148,1.02,171.6,0.76,66%,127.9,0.56,0.41,0.06,0.10,34%,,,23,83,109,60,6,10
CN,jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,,357,1.01,195.1,0.99,74%,120.0,0.69,0.45,0.07,0.07,31%,,,19,245,247,160,17,16
CN,Setrod,FPX,https://www.vlr.gg/player/50025/setrod,(+1),141,1.01,184.9,0.85,75%,138.0,0.66,0.28,0.09,0.10,37%,,,27,93,110,39,10,11
CN,stew,JDG,https://www.vlr.gg/player/16924/stew,(+1),357,1.01,215.6,1.07,72%,135.6,0.77,0.19,0.15,0.13,28%,,,25,274,255,68,35,31
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,(+1),277,1.01,209.7,1.05,72%,134.5,0.75,0.15,0.16,0.13,30%,,,23,209,200,41,34,27
CN,Coco,TEC,https://www.vlr.gg/player/47629/coco,,255,1.01,199.3,1.06,71%,139.7,0.70,0.29,0.06,0.10,37%,,,25,179,169,74,12,20
CN,Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,,255,1.01,196.1,1.00,67%,129.1,0.71,0.18,0.11,0.14,27%,,,25,180,180,46,21,28
CN,lucas,TEC,https://www.vlr.gg/player/19677/lucas,(+1),255,1.01,202.6,1.06,74%,134.7,0.73,0.22,0.07,0.09,23%,,,23,185,174,57,13,17
CN,nephh,BLG,https://www.vlr.gg/player/10698/nephh,(+1),435,1.01,196.1,0.96,75%,129.4,0.67,0.34,0.08,0.08,24%,,,22,291,302,150,36,36
CN,slowly,TYL,https://www.vlr.gg/player/41739/slowly,,348,1.00,219.4,1.07,70%,139.4,0.77,0.24,0.14,0.13,30%,,,24,267,250,84,43,40
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,(+3),400,0.98,230.6,1.07,68%,148.1,0.83,0.14,0.22,0.16,23%,,,30,331,310,57,77,56
