date,team_a,team_b,kalshi_a_raw,kalshi_b_raw,kalshi_a_fair,kalshi_b_fair,volume_total,rating_a,rating_b,model_p_a,model_p_b,a_won,edge_for_a,region,cross_region
2026-05-14,FPX,BLG,0.3908579532025525,0.6696632307481301,0.3685527070251607,0.6314472929748393,5904.6900000000005,-1.6331,-1.2234,0.4616576599387609,0.538342340061239,1,0.0931049529136002,CN,False
2026-05-14,SEN,C9,0.7341575795355879,0.3038445538129124,0.7072794515048466,0.2927205484951534,29069.800000000003,0.1009,-0.2732,0.5350208246400414,0.4649791753599586,1,-0.1722586268648052,Americas,False
2026-05-14,ENVY,EG,0.5564175926311808,0.4908235781133008,0.5313175304554009,0.4686824695445991,303545.82999999996,-0.1482,-0.6754,0.5492823382114489,0.4507176617885511,0,0.017964807756048,Americas,False
2026-05-13,KC,GX,0.5485686664576978,0.5048050837734509,0.5207730554680348,0.4792269445319652,14229.78,-0.4703,-0.2094,0.4755579550193166,0.5244420449806834,1,-0.0452151004487181,EMEA,False
2026-05-13,WOL,FPX,0.421922778484745,0.5976143261738335,0.4138375901738643,0.5861624098261358,5504.79,-1.8845,-1.6331,0.4764467558555497,0.5235532441444504,0,0.0626091656816853,CN,False
2026-05-13,NOVA,BLG,0.3690370852309694,0.7217792652552927,0.338312755457379,0.6616872445426211,4333.83,-1.9765,-1.2234,0.429811419172276,0.5701885808277241,1,0.0914986637148969,CN,False
2026-05-13,C9,ENVY,0.4555745008985286,0.5464049502672472,0.4546744949394721,0.5453255050605279,93774.14,-0.2732,-0.1482,0.4882831570227208,0.5117168429772792,0,0.0336086620832487,Americas,False
2026-05-13,EG,SEN,0.3131022070586698,0.7644833365046476,0.2905590270108077,0.7094409729891923,72264.3,-0.6754,0.1009,0.427675747609206,0.5723242523907939,1,0.1371167205983983,Americas,False
2026-05-12,PCF,GX,0.34922756063649,0.6574327760472951,0.3469169767698817,0.6530830232301182,19192.32,-1.0143,-0.2094,0.4250462835985494,0.5749537164014505,0,0.0781293068286677,EMEA,False
2026-05-12,NAVI,KC,0.6046287333915888,0.4132578090629124,0.5940040546499468,0.4059959453500533,11152.47,0.12,-0.4703,0.5551405163755863,0.4448594836244137,1,-0.0388635382743605,EMEA,False
2026-05-12,BLG,WOL,0.761712111604312,0.2844309793984797,0.7281146510026315,0.2718853489973683,30058.620000000003,-1.2234,-1.8845,0.5616973040109027,0.4383026959890973,1,-0.1664173469917288,CN,False
2026-05-12,NOVA,FPX,0.3979463880054521,0.61,0.3948090818529721,0.6051909181470279,9293.29,-1.9765,-1.6331,0.4678457449043326,0.5321542550956674,1,0.0730366630513605,CN,False
2026-05-12,ZETA,GEN,0.3017395674639945,0.7121956129822061,0.2975925614211439,0.7024074385788561,7289.7,-0.6399,-0.2097,0.4597463448479987,0.5402536551520013,0,0.1621537834268548,Pacific,False
2026-05-11,NAVI,PCF,0.6976262488195238,0.2960435887616195,0.7020704689172528,0.2979295310827471,9554.5,0.12,-1.0143,0.6049352004876927,0.3950647995123073,1,-0.0971352684295601,EMEA,False
2026-05-11,GX,KC,0.5872861114848199,0.4644713968207082,0.5583854708401258,0.4416145291598741,19306.63,-0.2094,-0.4703,0.5244420449806835,0.4755579550193165,0,-0.0339434258594423,EMEA,False
2026-05-10,EF,M8,0.4857696480120619,0.5477687893372826,0.4700063688563793,0.5299936311436207,103013.59,0.7269,0.3722,0.5332096052562897,0.4667903947437103,1,0.0632032363999103,EMEA,False
2026-05-10,FNC,TH,0.5634701032318573,0.463758390759453,0.5485343392709898,0.4514656607290102,256893.47,0.758,0.5579,0.5187515542005416,0.4812484457994583,0,-0.0297827850704481,EMEA,False
2026-05-10,RRQ,T1,0.3294403174819529,0.6902469366757086,0.3230797640538279,0.6769202359461722,56420.009999999995,0.4297,1.2078,0.4275101481965947,0.5724898518034053,0,0.1044303841427667,Pacific,False
2026-05-10,MIBR,ENVY,0.719168762438714,0.2629279564838099,0.7322789584591292,0.2677210415408708,134119.91999999998,0.3196,-0.1621,0.5450504998040557,0.4549495001959442,0,-0.1872284586550734,Americas,False
2026-05-09,G2,C9,0.8156359567140937,0.1967661760572965,0.805644249762038,0.1943557502379621,109126.36,1.1577,-0.2421,0.6286090117697688,0.3713909882302312,1,-0.1770352379922691,Americas,False
2026-05-09,TL,M8,0.6714111198840944,0.3665778741696651,0.6468383804937731,0.353161619506227,131694.58000000002,0.6336,0.2389,0.5369431787617847,0.4630568212382153,0,-0.1098952017319884,EMEA,False
2026-05-09,TH,BBL,0.62354339014935,0.3958342511238948,0.6116902754218921,0.3883097245781077,100267.48,0.3519,0.1857,0.515576768102616,0.484423231897384,1,-0.0961135073192761,EMEA,False
2026-05-09,DFM,RRQ,0.381411624748886,0.6377231323633866,0.374250433602735,0.6257495663972651,165987.33000000002,-0.0266,0.4299,0.4572958151185828,0.5427041848814171,0,0.0830453815158477,Pacific,False
2026-05-09,FUR,100T,0.5311878681912391,0.4843880856215344,0.523041005645124,0.4769589943548759,330192.3,0.5455,0.6715,0.4881894531530297,0.5118105468469702,0,-0.0348515524920943,Americas,False
