Region,Player,Org,ProfileURL,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,trexx,VIT,https://www.vlr.gg/player/2168/trexx,,151,1.23,228.0,1.24,72%,155.0,0.81,0.34,0.09,0.07,23%,14%,3/21,26,123,99,52,13,10
EMEA,Derke,FNC,https://www.vlr.gg/player/5022/derke,,293,1.22,257.4,1.33,72%,167.0,0.92,0.18,0.17,0.14,24%,27%,6/22,30,269,202,54,51,42
Pacific,primmie,TLN,https://www.vlr.gg/player/25255/primmie,(+1),85,1.22,243.0,1.32,74%,152.4,0.88,0.27,0.08,0.06,37%,13%,2/15,22,75,57,23,7,5
EMEA,Chronicle,FNC,https://www.vlr.gg/player/458/chronicle,,293,1.21,224.4,1.23,73%,153.8,0.77,0.29,0.13,0.07,26%,12%,4/34,25,227,185,84,38,21
Americas,keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,(+1),156,1.18,250.8,1.16,76%,170.7,0.83,0.33,0.14,0.08,23%,13%,1/8,22,130,112,51,22,13
CN,CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,(+2),449,1.18,221.5,1.24,76%,144.5,0.79,0.29,0.11,0.06,29%,16%,9/57,27,353,284,129,50,26
Pacific,Meteor,GEN,https://www.vlr.gg/player/13039/meteor,,153,1.17,241.1,1.32,71%,160.7,0.90,0.17,0.11,0.10,37%,16%,3/19,28,137,104,26,17,16
EMEA,RieNs,TH,https://www.vlr.gg/player/10971/riens,,552,1.15,214.2,1.17,75%,145.0,0.76,0.29,0.09,0.09,38%,22%,14/65,28,419,359,158,48,50
CN,Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,(+1),449,1.14,213.1,1.21,76%,133.8,0.76,0.37,0.06,0.06,28%,15%,9/60,23,340,281,165,29,28
Pacific,t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,,153,1.14,242.6,1.17,69%,157.2,0.84,0.18,0.18,0.14,25%,19%,3/16,24,128,109,27,28,21
Americas,aspas,LEV,https://www.vlr.gg/player/8480/aspas,,407,1.14,220.5,1.19,74%,146.9,0.80,0.17,0.15,0.10,28%,16%,7/45,29,326,274,68,61,42
Americas,zekken,SEN,https://www.vlr.gg/player/4004/zekken,,361,1.12,252.2,1.17,71%,161.0,0.89,0.26,0.20,0.18,23%,27%,4/15,27,323,275,94,73,66
Americas,TenZ,SEN,https://www.vlr.gg/player/9/tenz,,361,1.10,213.4,1.08,75%,139.2,0.75,0.44,0.07,0.09,25%,5%,2/37,29,271,251,158,27,33
CN,Kai,TE,https://www.vlr.gg/player/37494/kai,,208,1.10,213.9,1.10,70%,145.8,0.76,0.17,0.14,0.13,29%,4%,1/26,25,158,143,36,29,26
CN,ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,,449,1.10,250.8,1.20,69%,160.6,0.88,0.21,0.23,0.19,24%,17%,4/23,28,394,329,95,105,85
EMEA,Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,(+1),293,1.09,209.7,1.11,73%,145.3,0.75,0.23,0.09,0.07,32%,19%,6/31,25,220,198,68,27,20
EMEA,Autumn,FPX,https://www.vlr.gg/player/872/autumn,,115,1.08,211.8,1.12,71%,134.5,0.75,0.23,0.17,0.10,32%,15%,3/20,20,86,77,27,19,11
Americas,Shyy,KRÜ,https://www.vlr.gg/player/24007/shyy,,156,1.07,211.1,1.16,69%,139.9,0.78,0.26,0.13,0.12,27%,24%,6/25,23,121,104,40,21,18
EMEA,yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,,88,1.07,231.8,1.14,69%,145.0,0.82,0.18,0.19,0.08,30%,,0/16,19,72,63,16,17,7
Pacific,mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,,140,1.06,210.1,1.04,78%,134.4,0.74,0.41,0.05,0.04,31%,19%,3/16,22,104,100,58,7,6
EMEA,Kicks,VIT,https://www.vlr.gg/player/11134/kicks,,151,1.05,187.1,0.92,72%,120.2,0.63,0.50,0.06,0.07,24%,22%,4/18,22,95,103,75,9,11
