Region,Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
Americas,spikeLEV,,186,0.99,242.0,1.07,74%,156.3,0.83,0.25,0.22,0.15,23%,13%,1/8,24,154,144,47,40,27
Americas,leafG2,(+1),165,0.99,183.4,0.98,70%,121.9,0.67,0.32,0.08,0.13,23%,6%,1/17,22,110,112,53,14,21
Americas,alymFUR,,150,0.98,234.1,1.12,67%,140.4,0.83,0.17,0.19,0.21,20%,33%,2/6,24,124,111,26,28,32
Americas,kiNggLEV,(+1),186,0.97,152.6,1.05,76%,99.8,0.55,0.34,0.04,0.05,25%,4%,1/26,17,103,98,63,8,10
Americas,Dantedeu5KRÜ,,127,0.96,222.2,1.02,66%,135.1,0.76,0.28,0.24,0.17,21%,,0/2,19,97,95,35,30,22
Americas,supamenEG,,192,0.96,189.4,0.94,69%,127.8,0.69,0.24,0.08,0.08,33%,13%,4/30,29,133,141,46,16,16
Americas,MazinoMIBR,,189,0.95,181.4,0.91,74%,117.9,0.62,0.49,0.09,0.13,21%,13%,2/16,20,117,128,92,17,25
Americas,Asuna100T,,157,0.95,191.4,0.94,75%,120.7,0.64,0.33,0.10,0.10,20%,8%,1/13,19,101,107,52,16,16
Americas,XeppaaC9,,153,0.94,180.7,0.83,70%,123.1,0.61,0.41,0.03,0.08,26%,9%,2/23,20,93,112,62,5,12
Americas,koalanoobFUR,,150,0.94,197.3,0.93,72%,129.4,0.69,0.35,0.13,0.11,24%,8%,1/13,21,103,111,52,20,17
Americas,pennyC9,(+2),153,0.94,193.3,1.00,68%,124.8,0.67,0.24,0.09,0.09,19%,,0/19,29,103,103,37,14,14
Americas,skubaNRG,,190,0.93,178.1,0.89,71%,121.2,0.60,0.26,0.07,0.10,26%,9%,2/23,19,114,128,50,13,19
Americas,v1cC9,,153,0.92,160.6,0.79,75%,114.8,0.54,0.44,0.07,0.11,30%,18%,4/22,21,83,105,68,10,17
Americas,ZellsisC9,(+2),153,0.92,177.7,0.88,71%,125.4,0.61,0.27,0.08,0.08,19%,14%,3/21,23,94,107,41,12,12
Americas,P0PPINENVY,,165,0.92,182.5,0.84,66%,120.7,0.62,0.32,0.04,0.10,16%,19%,4/21,19,103,122,53,6,17
Americas,eeiuFUR,,150,0.91,169.6,0.93,65%,111.5,0.62,0.27,0.08,0.03,31%,14%,3/22,16,93,100,40,12,5
Americas,madaNRG,(+1),190,0.91,199.2,0.94,66%,122.8,0.70,0.20,0.21,0.24,17%,33%,5/15,22,133,142,38,39,45
Americas,Timotino100T,,157,0.91,212.3,0.90,68%,138.4,0.72,0.27,0.17,0.20,20%,17%,2/12,29,113,126,43,27,31
Americas,texMIBR,,189,0.91,163.3,0.92,66%,112.8,0.59,0.21,0.06,0.08,36%,11%,3/27,25,112,122,40,12,15
Americas,cauanzinLOUD,,152,0.90,168.4,0.86,66%,110.7,0.59,0.25,0.05,0.07,19%,24%,5/21,18,90,105,38,8,10
Americas,keznitENVY,,165,0.90,205.5,0.98,68%,133.7,0.74,0.20,0.18,0.12,18%,33%,5/15,25,122,125,33,29,20
Americas,baoEG,(+2),192,0.86,178.6,0.77,69%,120.9,0.59,0.28,0.08,0.08,32%,10%,2/21,17,113,147,53,15,16
Americas,jawgemoG2,,165,0.85,200.0,0.89,65%,125.1,0.68,0.24,0.15,0.18,14%,25%,2/8,19,112,126,39,24,29
Americas,OkeanosEG,(+2),192,0.85,175.3,0.77,64%,120.7,0.60,0.25,0.06,0.10,36%,11%,2/18,20,116,151,48,11,19
Americas,JerrwinSEN,,103,0.85,195.3,0.91,64%,126.7,0.70,0.23,0.18,0.18,13%,,0/2,26,72,79,24,19,19
Americas,JonahPSEN,,146,0.84,167.3,0.81,71%,117.4,0.57,0.30,0.05,0.12,23%,9%,1/11,25,83,102,44,8,17
Americas,VirtyyLOUD,,152,0.84,185.6,0.81,70%,123.1,0.61,0.13,0.14,0.15,19%,8%,1/12,18,92,113,20,21,23
Americas,vora100T,,157,0.81,155.9,0.79,71%,111.0,0.54,0.32,0.05,0.09,24%,19%,3/16,25,85,107,51,8,14
Americas,C0MEG,,192,0.76,152.4,0.67,65%,106.0,0.47,0.29,0.04,0.07,21%,6%,2/34,13,90,134,55,8,14
Americas,EggsterrENVY,(+2),165,0.75,170.4,0.70,67%,106.7,0.56,0.30,0.13,0.11,29%,,0/13,19,92,131,50,21,18
Americas,VictorSEN,,43,0.70,192.0,0.76,56%,121.0,0.65,0.12,0.23,0.21,11%,,0/3,16,28,37,5,10,9
Americas,BatiLOUD,,152,0.70,140.0,0.61,66%,89.9,0.46,0.45,0.03,0.11,20%,,0/17,13,70,115,68,5,17
Pacific,JemkinRRQ,(+2),222,1.33,253.0,1.49,72%,164.6,0.92,0.18,0.14,0.09,30%,24%,7/29,32,204,137,40,32,19
Pacific,JingggPRX,,222,1.32,281.3,1.44,81%,175.8,0.97,0.30,0.18,0.10,26%,28%,5/18,36,215,149,66,41,23
Pacific,primmieFS,(+1),244,1.31,270.8,1.40,76%,176.9,0.94,0.25,0.20,0.12,34%,40%,8/20,24,230,164,61,49,29
Pacific,iZuT1,(+1),231,1.28,239.2,1.52,75%,157.2,0.88,0.13,0.14,0.10,26%,18%,6/33,27,204,134,31,33,22
Pacific,MaKoKRX,,239,1.21,208.7,1.24,79%,143.6,0.74,0.44,0.08,0.04,31%,24%,7/29,28,178,143,106,19,10
Pacific,PatMenGE,(+3),230,1.20,247.2,1.25,74%,156.0,0.88,0.23,0.13,0.04,35%,4%,1/27,31,203,162,54,30,9
Pacific,oonzmlpVL,(+4),275,1.16,229.1,1.19,71%,151.0,0.81,0.25,0.13,0.10,32%,10%,4/40,29,222,186,69,35,28
Pacific,HYUNMINKRX,(+1),239,1.14,232.7,1.17,74%,157.7,0.83,0.20,0.08,0.12,28%,17%,5/30,36,199,170,48,19,28
Pacific,BuZzT1,,231,1.14,247.2,1.29,77%,151.3,0.90,0.23,0.17,0.16,23%,14%,1/7,27,208,161,52,40,36
Pacific,xfferoRRQ,(+1),222,1.12,214.7,1.13,70%,142.1,0.71,0.29,0.09,0.06,26%,11%,4/38,23,158,140,64,19,14
Pacific,MeiyDFM,(+1),217,1.12,246.5,1.18,75%,153.8,0.87,0.17,0.20,0.11,24%,5%,1/20,24,188,160,37,44,23
Pacific,KilluaFS,,244,1.11,211.1,1.11,76%,138.3,0.73,0.38,0.07,0.06,33%,17%,5/29,25,179,161,92,17,15
Pacific,t3xtureGEN,(+1),282,1.10,230.8,1.10,73%,149.9,0.81,0.20,0.18,0.16,23%,7%,2/30,32,228,208,57,50,45
Pacific,SylvanTS,,269,1.09,210.0,1.07,76%,135.9,0.76,0.38,0.06,0.06,31%,11%,5/44,23,204,191,102,17,16
Pacific,XrossNS,(+1),310,1.09,208.3,1.11,73%,138.8,0.73,0.28,0.04,0.04,24%,9%,4/47,22,225,203,86,13,11
Pacific,somethingPRX,,222,1.09,218.9,1.21,73%,140.2,0.80,0.18,0.15,0.11,25%,12%,2/17,28,177,146,39,34,24
Pacific,MunchkinT1,(+1),231,1.09,192.7,1.11,77%,125.0,0.68,0.54,0.03,0.07,22%,23%,7/31,20,156,140,124,8,17
Pacific,invyPRX,(+1),222,1.07,196.1,1.09,82%,132.1,0.72,0.40,0.07,0.05,24%,22%,6/27,34,159,146,89,16,12
Pacific,CaedyeDFM,(+4),217,1.06,228.0,1.14,70%,142.9,0.79,0.19,0.14,0.09,27%,20%,4/20,23,171,150,41,31,20
Pacific,UdoTanGE,,230,1.06,213.5,1.11,76%,140.6,0.77,0.24,0.16,0.16,24%,11%,2/18,22,177,160,55,36,36
Pacific,BeYNKRX,(+1),239,1.06,185.5,1.05,76%,122.3,0.64,0.33,0.08,0.06,25%,14%,4/28,24,154,146,79,18,15
Pacific,MeteorT1,,231,1.05,209.6,1.13,74%,138.5,0.71,0.26,0.11,0.10,26%,13%,2/16,19,164,145,60,26,24
Pacific,kellySTS,(+1),269,1.05,211.6,1.03,76%,143.2,0.73,0.33,0.10,0.07,24%,18%,8/44,28,197,191,89,27,20
